Book Name,Author,Rating,Customers_Rated,Price,Link
The Four Winds: A Novel,Kristin Hannah,4.5 out of 5 stars,"32,633",$17.39,/Four-Winds-Novel-Kristin-Hannah/dp/1250178606/ref=zg_bsar_books_1/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"67,763",$14.03,/Boy-Mole-Fox-Horse/dp/0062976583/ref=zg_bsar_books_2/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"37,275",$11.98,/Atomic-Habits-Proven-Build-Break/dp/0735211299/ref=zg_bsar_books_3/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9 out of 5 stars,"2,414",$8.38,/Dog-Man-Mothering-Heights-Underpants/dp/1338680455/ref=zg_bsar_books_4/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"29,554",$3.59,/I-Love-You-Moon-Back/dp/1589255518/ref=zg_bsar_books_5/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8 out of 5 stars,"52,116",$5.77,/Four-Agreements-Practical-Personal-Freedom/dp/1878424319/ref=zg_bsar_books_6/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"44,447",$4.44,/If-Animals-Kissed-Good-Night/dp/0374300216/ref=zg_bsar_books_7/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9 out of 5 stars,"1,680",$9.72,/Hill-We-Climb-Inaugural-Country/dp/059346527X/ref=zg_bsar_books_8/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
It's Not Easy Being a Bunny (Beginner Books(R)),Marilyn Sadler,4.8 out of 5 stars,"5,927",$6.89,/Easy-Being-Bunny-Beginner-Books/dp/0394861027/ref=zg_bsar_books_9/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Keep Sharp: Build a Better Brain at Any Age,Sanjay Gupta M.D.,4.7 out of 5 stars,"4,973",$16.75,/Keep-Sharp-Build-Better-Brain/dp/1501166735/ref=zg_bsar_books_10/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
