results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
6/30/2012,7/1/2012,Combined Print & E-Book Nonfiction,15,1,1451661223,9.78145E+12,The stars of the TLC reality show describe their polygamous marriage.,BECOMING SISTER WIVES,"Kody, Meri, Janelle, Christine and Ron Brown"
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,2,307592731,9.78031E+12,"A woman’s account of a life-changing 1,100-mile hike along the Pacific Crest Trail.",WILD,Cheryl Strayed
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,3,1400064163,9.7814E+12,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,UNBROKEN,Laura Hillenbrand
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,4,1596987855,9.7816E+12,"A journalist argues that President Obama is callow, arrogant and unable to lead.",AMATEUR,Edward Klein
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,5,1937856410,9.78194E+12,John Edwards’s mistress and the mother of his child tells her version of their story.,WHAT REALLY HAPPENED,Rielle Hunter
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,6,805093079,9.78081E+12,The anchor of “The O’Reilly Factor” recounts the assassination of Abraham Lincoln.,KILLING LINCOLN,Bill O'Reilly and Martin Dugard
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,7,030740885X,9.78031E+12,"William E. Dodd, the U.S. ambassador to Germany, and his daughter, Martha, in 1930s Berlin.",IN THE GARDEN OF BEASTS,Erik Larson
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,8,385342608,9.78039E+12,The award-winning chef discusses his career and recalls growing up as an Ethiopian child adopted by a Swedish family.,"YES, CHEF",Marcus Samuelsson
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,9,1595230947,9.7816E+12,"A memoir by the Florida senator, the Miami-born child of Cuban exiles.",AMERICAN SON,Marco Rubio
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,10,1451693478,9.78145E+12,"The radio host and founder of GBTV discusses 13 lies that politicians, academics and the media perpetuate.",COWARDS,Glenn Beck and Kevin Balfe
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,11,1400052181,9.7814E+12,The story of a woman whose cancer cells were cultured without her permission in 1951.,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,12,,9.7811E+12,A blogger recalls her unusual upbringing.,LET'S PRETEND THIS NEVER HAPPENED,Jenny Lawson
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,13,None,9.78085E+12,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an emergency appendectomy.,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,14,074324754X,9.78074E+12,The author recalls a bizarre childhood during which she was constantly moved from place to place.,THE GLASS CASTLE,Jeannette Walls
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,15,1451648553,9.78145E+12,"A biography of the recently deceased entrepreneur, based on 40 interviews with Jobs conducted over two years.",STEVE JOBS,Walter Isaacson
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,16,316017930,9.78032E+12,"Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",OUTLIERS,Malcolm Gladwell
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,17,307265943,9.78031E+12,A witty look at aging from the novelist and screenwriter who died on June 26.,I FEEL BAD ABOUT MY NECK,Nora Ephron
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,18,679603859,9.78068E+12,"An examination of the science behind habits, how we form them and break them.",THE POWER OF HABIT,Charles Duhigg
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,19,805095845,9.78081E+12,The Bravo executive vice president and talk show host looks back on his career. ,MOST TALKATIVE,Andy Cohen
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,20,425248305,9.78043E+12,The comedian’s humorous reflections.,I HATE EVERYONE...STARTING WITH ME,Joan Rivers
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
6/30/2012,7/1/2012,,,,,,,,
5/16/2020,5/31/2020,Combined Print & E-Book Nonfiction,15,1,1984801252,9.78198E+12,The activist and public speaker describes her journey of listening to her inner voice.,UNTAMED,Glennon Doyle
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,2,1524763136,9.78152E+12,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",BECOMING,Michelle Obama
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,3,385348711,9.78039E+12,An examination of the leadership of the prime minister Winston Churchill.,THE SPLENDID AND THE VILE,Erik Larson
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,4,399590501,9.7804E+12,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",EDUCATED,Tara Westover
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,5,143036491,9.78014E+12,An overview of the 1918 flu epidemic and cautionary tale for similar kinds of large-scale outbreaks.,THE GREAT INFLUENZA,John M. Barry
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,6,038554376X,9.78039E+12,"From 1945 to 1965, a family in Colorado had 12 children, six of whom went on to develop schizophrenia.",HIDDEN VALLEY ROAD,Robert Kolker
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,7,1510752242,9.78151E+12,The controversial virologist gives her account of her work over nearly four decades.,PLAGUE OF CORRUPTION,Judy Mikovits and Kent Heckenlively
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,8,143127748,9.78014E+12,"How trauma affects the body and mind, and innovative treatments for recovery.",THE BODY KEEPS THE SCORE,Bessel van der Kolk
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,9,735225311,9.78074E+12,The true story of a Baltimore socialite who joined a spy organization during World War II and became essential to the French Resistance.,A WOMAN OF NO IMPORTANCE,Sonia Purnell
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,10,1250317479,9.78125E+12,"How Allan Pinkerton, along with undercover agents, thwarted a lesser-known assassination attempt of Abraham Lincoln in Baltimore in 1861.",THE LINCOLN CONSPIRACY,Brad Meltzer and Josh Mensch
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,11,374201234,9.78037E+12,Various skills and techniques used on the court by the late Los Angeles Lakers player.,THE MAMBA MENTALITY,Kobe Bryant
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,12,1501111124,9.7815E+12,A psychologist argues that passion and perseverance are the keys to success.,GRIT,Angela Duckworth
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,13,1538733307,9.78154E+12,The Texas congressman and former Navy SEAL prescribes ways to overcome adversity.,FORTITUDE,Dan Crenshaw
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,14,807047414,9.78081E+12,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,WHITE FRAGILITY,Robin DiAngelo
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,15,62316117,9.78006E+12,How Homo sapiens became Earth’s dominant species.,SAPIENS,Yuval Noah Harari
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
5/16/2020,5/31/2020,,,,,,,,
12/13/2014,12/28/2014,Combined Print & E-Book Nonfiction,15,1,812974492,9.78081E+12,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,UNBROKEN,Laura Hillenbrand
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,2,080509668X,9.78081E+12,The host of “The O’Reilly Factor” recounts the strange death of Gen. George S. Patton in December 1945.,KILLING PATTON,Bill O'Reilly and Martin Dugard
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,3,307957659,9.78031E+12,"A woman’s account of a life-changing 1,100-mile hike along the Pacific Crest Trail during the summer of 1995.",WILD,Cheryl Strayed
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
12/13/2014,12/28/2014,,,,,,,,
