status,copyright,num_results,last_modified,results__list_name,results__list_name_encoded,results__bestsellers_date,results__published_date,results__published_date_description,results__next_published_date,results__previous_published_date,results__display_name,results__normal_list_ends_at,results__updated,results__books__rank,results__books__rank_last_week,results__books__weeks_on_list,results__books__asterisk,results__books__dagger,results__books__primary_isbn10,results__books__primary_isbn13,results__books__publisher,results__books__description,results__books__price,results__books__title,results__books__author,results__books__contributor,results__books__contributor_note,results__books__book_image,results__books__book_image_width,results__books__book_image_height,results__books__amazon_product_url,results__books__age_group,results__books__book_review_link,results__books__first_chapter_link,results__books__sunday_review_link,results__books__article_chapter_link,results__books__isbns__isbn10,results__books__isbns__isbn13,results__books__buy_links__name,results__books__buy_links__url,results__books__book_uri,,
OK,Copyright (c) 2022 The New York Times Company.  All Rights Reserved.,10,2019-08-29T21:23:18-04:00,Race and Civil Rights,race-and-civil-rights,9/24/2016,10/9/2016,,11/1/2016,9/1/2016,Race and Civil Rights,10,MONTHLY,1,0,0,0,0,812993543,9.78081E+12,Spiegel & Grau,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son. Winner of the National Book Award.",0,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,by Ta-Nehisi Coates,,https://storage.googleapis.com/du-prd/books/images/9780679645986.jpg,326,495,http://www.amazon.com/Between-World-Me-Ta-Nehisi-Coates-ebook/dp/B00SEFAIRI?tag=NYTBSREV-20,,https://www.nytimes.com/2015/08/17/books/review/ta-nehisi-coatess-between-the-world-and-me.html,,,,812993543,9.78081E+12,Amazon,http://www.amazon.com/Between-World-Me-Ta-Nehisi-Coates-ebook/dp/B00SEFAIRI?tag=NYTBSREV-20,nyt://book/58581564-a808-52ff-9041-52377646115b,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451482212,9.78045E+12,Apple Books,https://goto.applebooks.apple/9780812993547?at=10lIEQ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410485846,9.78141E+12,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780812993547,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBETWEEN%252BTHE%252BWORLD%252BAND%252BME%252FTa-Nehisi%252BCoates%252F9780812993547&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBETWEEN%252BTHE%252BWORLD%252BAND%252BME%252BTa-Nehisi%252BCoates,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780812993547&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBETWEEN%2BTHE%2BWORLD%2BAND%2BME,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IndieBound,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780812993547%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBETWEEN%2BTHE%2BWORLD%2BAND%2BME%2BTa-Nehisi%2BCoates%26aff%3DNYT,,,
,,,,,,,,,,,,,,2,0,0,0,0,081298496X,9.78081E+12,Spiegel & Grau,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,0,JUST MERCY,Bryan Stevenson,by Bryan Stevenson,,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,128,193,http://www.amazon.com/Just-Mercy-Story-Justice-Redemption-ebook/dp/B00JYWVYLY?tag=NYTBSREV-20,,,,https://www.nytimes.com/2014/10/19/books/review/just-mercy-by-bryan-stevenson.html,,812994523,9.78081E+12,Amazon,http://www.amazon.com/Just-Mercy-Story-Justice-Redemption-ebook/dp/B00JYWVYLY?tag=NYTBSREV-20,nyt://book/cd6d25c8-a6f0-55a4-b322-e8eb0dbb5fb3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553550608,9.78055E+12,Apple Books,https://goto.applebooks.apple/9780812984965?at=10lIEQ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925113574,9.78193E+12,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780812984965,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081298496X,9.78081E+12,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FJUST%252BMERCY%252FBryan%252BStevenson%252F9780812984965&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DJUST%252BMERCY%252BBryan%252BStevenson,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593133935,9.78059E+12,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780812984965&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DJUST%2BMERCY,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IndieBound,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780812984965%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DJUST%2BMERCY%2BBryan%2BStevenson%26aff%3DNYT,,,
,,,,,,,,,,,,,,3,0,0,0,0,1595586431,9.7816E+12,New Press,A law professor takes aim at the “war on drugs” and its impact on black men.,0,THE NEW JIM CROW,Michelle Alexander,by Michelle Alexander,,https://storage.googleapis.com/du-prd/books/images/9781595586438.jpg,128,191,http://www.amazon.com/The-New-Crow-Incarceration-Colorblindness/dp/1595586431?tag=NYTBSREV-20,,,,,,1595586431,9.7816E+12,Amazon,http://www.amazon.com/The-New-Crow-Incarceration-Colorblindness/dp/1595586431?tag=NYTBSREV-20,nyt://book/31fface8-9bb3-58b3-b1bf-35a532c54a7b,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595581030,9.7816E+12,Apple Books,https://goto.applebooks.apple/9781595586438?at=10lIEQ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595588191,9.7816E+12,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781595586438,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595585303,9.7816E+12,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BNEW%252BJIM%252BCROW%252FMichelle%252BAlexander%252F9781595586438&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BNEW%252BJIM%252BCROW%252BMichelle%252BAlexander,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501260235,9.7815E+12,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781595586438&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BNEW%2BJIM%2BCROW,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620971933,9.78162E+12,IndieBound,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781595586438%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BNEW%2BJIM%2BCROW%2BMichelle%2BAlexander%26aff%3DNYT,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620975459,9.78162E+12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464048258,9.78146E+12,,,,,
,,,,,,,,,,,,,,4,0,0,0,0,006236359X,9.78006E+12,HarperCollins,"The story, based in part on interviews, of the black women mathematicians who were hired as “computers” by the precursor of NASA during World War II. The basis of the forthcoming movie.",0,HIDDEN FIGURES,Margot Lee Shetterly,by Margot Lee Shetterly,,https://storage.googleapis.com/du-prd/books/images/9780062363619.jpg,330,494,http://www.amazon.com/Hidden-Figures-American-Untold-Mathematicians-ebook/dp/B0166JFFD0?tag=NYTBSREV-20,,,,,,006236359X,9.78006E+12,Amazon,http://www.amazon.com/Hidden-Figures-American-Untold-Mathematicians-ebook/dp/B0166JFFD0?tag=NYTBSREV-20,nyt://book/fc7ec4fd-7acd-5573-a3dc-dc28cd35bc7e,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62363611,9.78006E+12,Apple Books,https://goto.applebooks.apple/9780062363596?at=10lIEQ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62363603,9.78006E+12,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062363596,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62466445,9.78006E+12,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHIDDEN%252BFIGURES%252FMargot%252BLee%252BShetterly%252F9780062363596&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHIDDEN%252BFIGURES%252BMargot%252BLee%252BShetterly,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62677284,9.78006E+12,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062363596&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHIDDEN%2BFIGURES,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62798952,9.78006E+12,IndieBound,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062363596%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHIDDEN%2BFIGURES%2BMargot%2BLee%2BShetterly%26aff%3DNYT,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62472070,9.78006E+12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441709657,9.78144E+12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62668587,9.78006E+12,,,,,
,,,,,,,,,,,,,,5,0,0,0,0,1603093001,9.7816E+12,Top Shelf Productions,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,0,MARCH: BOOK ONE,John Lewis and Andrew Aydin,by John Lewis and Andrew Aydin. Illustrated by Nate Powell,Illustrated by Nate Powell,https://storage.googleapis.com/du-prd/books/images/9781603093002.jpg,330,482,http://www.amazon.com/March-Book-One-John-Lewis/dp/1603093001?tag=NYTBSREV-20,,,,,,1603093001,9.7816E+12,Amazon,http://www.amazon.com/March-Book-One-John-Lewis/dp/1603093001?tag=NYTBSREV-20,nyt://book/519336ed-0fe1-576c-898c-b878c5b59920,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603093834,9.7816E+12,Apple Books,https://goto.applebooks.apple/9781603093002?at=10lIEQ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781603093002,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FMARCH%25253A%252BBOOK%252BONE%252FJohn%252BLewis%252Band%252BAndrew%252BAydin%252F9781603093002&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DMARCH%25253A%252BBOOK%252BONE%252BJohn%252BLewis%252Band%252BAndrew%252BAydin,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781603093002&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DMARCH%253A%2BBOOK%2BONE,,,
