results__list_name,results__bestsellers_date,results__published_date,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
Race and Civil Rights,9/24/2016,10/9/2016,1,812993543,9.78E+12,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son. Winner of the National Book Award.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,2,081298496X,9.78E+12,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,3,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,4,006236359X,9.78E+12,"The story, based in part on interviews, of the black women mathematicians who were hired as “computers” by the precursor of NASA during World War II. The basis of the forthcoming movie.",HIDDEN FIGURES,Margot Lee Shetterly
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
