"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"OK","Copyright (c) 2022 The New York Times Company.  All Rights Reserved.","10","2019-08-29T21:23:18-04:00","Culture","culture","2015-12-26","2016-01-10","","2016-02-01","2015-12-01","Culture","10","MONTHLY","1","0","0","0","0","1250058902","9781250058904","St. Martin's","Photographs and interviews from the creator of the blog and the book “Humans of New York.”","0.00","HUMANS OF NEW YORK: STORIES","Brandon Stanton","by Brandon Stanton","","https://storage.googleapis.com/du-prd/books/images/9781250058904.jpg","330","422","http://www.amazon.com/Humans-New-York-Brandon-Stanton/dp/1250058902?tag=NYTBSREV-20","","","","","","1250058902","9781250058904","Amazon","http://www.amazon.com/Humans-New-York-Brandon-Stanton/dp/1250058902?tag=NYTBSREV-20","nyt://book/bb67f8cc-7a34-55ad-a03b-f10f64e9d900"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://goto.applebooks.apple/9781250058904?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250058904",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHUMANS%252BOF%252BNEW%252BYORK%25253A%252BSTORIES%252FBrandon%252BStanton%252F9781250058904&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHUMANS%252BOF%252BNEW%252BYORK%25253A%252BSTORIES%252BBrandon%252BStanton",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250058904&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHUMANS%2BOF%2BNEW%2BYORK%253A%2BSTORIES",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250058904%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHUMANS%2BOF%2BNEW%2BYORK%253A%2BSTORIES%2BBrandon%2BStanton%26aff%3DNYT",""
"","","","","","","","","","","","","","","2","0","0","0","0","0871404230","9780871404237","Liveright","A concise history of ancient Rome.","0.00","SPQR","Mary Beard","by Mary Beard","","https://storage.googleapis.com/du-prd/books/images/9780871404237.jpg","326","495","http://www.amazon.com/SPQR-A-History-Ancient-Rome/dp/0871404230?tag=NYTBSREV-20","","","","","","1631491253","9781631491252","Amazon","http://www.amazon.com/SPQR-A-History-Ancient-Rome/dp/0871404230?tag=NYTBSREV-20","nyt://book/c1c4202f-3a02-5377-98a5-921ab5b46bd7"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0871404230","9780871404237","Apple Books","https://goto.applebooks.apple/9780871404237?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1631492225","9781631492228","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780871404237",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSPQR%252FMary%252BBeard%252F9780871404237&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSPQR%252BMary%252BBeard",""
