"status","copyright","errors__001","errors__002","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"OK","Copyright (c) 2022 The New York Times Company.  All Rights Reserved.","","","10","2019-08-29T21:23:18-04:00","Hardcover Political Books","hardcover-political-books","2016-05-28","2016-06-12","","2016-07-01","2016-05-01","Politics and American History","10","MONTHLY","1","0","0","0","0","1476794138","9781476794136","Gallery Books","A retired Secret Service agent discusses his experience with presidents from Eisenhower to Ford.","0.00","FIVE PRESIDENTS","Clint Hill with Lisa McCubbin","by Clint Hill with Lisa McCubbin","","https://storage.googleapis.com/du-prd/books/images/9781476794174.jpg","328","495","http://www.amazon.com/Five-Presidents-Extraordinary-Journey-Eisenhower-ebook/dp/B015WNZ5HW?tag=NYTBSREV-20","","","","","","1476794138","9781476794136","Amazon","http://www.amazon.com/Five-Presidents-Extraordinary-Journey-Eisenhower-ebook/dp/B015WNZ5HW?tag=NYTBSREV-20","nyt://book/d524f0ac-d641-5329-8a64-559364a35b4e"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1476794170","9781476794174","Apple Books","https://goto.applebooks.apple/9781476794136?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1476794146","9781476794143","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781476794136",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FFIVE%252BPRESIDENTS%252FClint%252BHill%252Bwith%252BLisa%252BMcCubbin%252F9781476794136&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DFIVE%252BPRESIDENTS%252BClint%252BHill%252Bwith%252BLisa%252BMcCubbin",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781476794136&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DFIVE%2BPRESIDENTS",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781476794136%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DFIVE%2BPRESIDENTS%2BClint%2BHill%2Bwith%2BLisa%2BMcCubbin%26aff%3DNYT",""
"","","","","","","","","","","","","","","","","2","0","0","0","0","0812993543","9780812993547","Spiegel & Grau","A meditation on race in America as well as a personal  story by the national correspondent of The Atlantic, framed as a letter to his teenage son.","0.00","BETWEEN THE WORLD AND ME","Ta-Nehisi Coates","by Ta-Nehisi Coates","","https://storage.googleapis.com/du-prd/books/images/9780679645986.jpg","326","495","http://www.amazon.com/Between-World-Me-Ta-Nehisi-Coates-ebook/dp/B00SEFAIRI?tag=NYTBSREV-20","","https://www.nytimes.com/2015/08/17/books/review/ta-nehisi-coatess-between-the-world-and-me.html","","","","0812993543","9780812993547","Amazon","http://www.amazon.com/Between-World-Me-Ta-Nehisi-Coates-ebook/dp/B00SEFAIRI?tag=NYTBSREV-20","nyt://book/58581564-a808-52ff-9041-52377646115b"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0451482212","9780451482211","Apple Books","https://goto.applebooks.apple/9780812993547?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410485846","9781410485847","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780812993547",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBETWEEN%252BTHE%252BWORLD%252BAND%252BME%252FTa-Nehisi%252BCoates%252F9780812993547&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBETWEEN%252BTHE%252BWORLD%252BAND%252BME%252BTa-Nehisi%252BCoates",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780812993547&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBETWEEN%2BTHE%2BWORLD%2BAND%2BME",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780812993547%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBETWEEN%2BTHE%2BWORLD%2BAND%2BME%2BTa-Nehisi%2BCoates%26aff%3DNYT",""
"","","","","","","","","","","","","","","","","3","0","0","0","0","0316322423","9780316322423","Little, Brown","The experience of the Pakistani girl who advocated for women’s education, was shot by the Taliban, and later won the Nobel Peace Prize.","0.00","I AM MALALA","Malala Yousafzai with Christina Lamb","by Malala Yousafzai with Christina Lamb","","https://storage.googleapis.com/du-prd/books/images/9780316322409.jpg","318","495","http://www.amazon.com/Am-Malala-Stood-Education-Taliban/dp/0316322407?tag=NYTBSREV-20","","","","","","0316322407","9780316322409","Amazon","http://www.amazon.com/Am-Malala-Stood-Education-Taliban/dp/0316322407?tag=NYTBSREV-20","nyt://book/5c31702f-f0e9-542e-b91a-f715bdf2a5b8"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147897978X","9781478979784","Apple Books","https://goto.applebooks.apple/9780316322423?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031628663X","9780316286633","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316322423",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0316322423","9780316322423","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FI%252BAM%252BMALALA%252FMalala%252BYousafzai%252Bwith%252BChristina%252BLamb%252F9780316322423&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DI%252BAM%252BMALALA%252BMalala%252BYousafzai%252Bwith%252BChristina%252BLamb",""
