"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"OK","Copyright (c) 2022 The New York Times Company.  All Rights Reserved.","10","2019-08-29T21:23:18-04:00","Religion Spirituality and Faith","religion-spirituality-and-faith","2015-11-28","2015-12-13","","2016-01-01","2015-11-01","Religion, Spirituality and Faith","10","MONTHLY","1","0","0","0","0","1101886978","9781101886977","Ballantine","The actress describes her life in Scientology and the aftermath of her break with the church in 2013.","0.00","TROUBLEMAKER","Leah Remini and Rebecca Paley","by Leah Remini and Rebecca Paley","","https://storage.googleapis.com/du-prd/books/images/9781101886977.jpg","330","494","http://www.amazon.com/Troublemaker-Surviving-Scientology-Leah-Remini-ebook/dp/B015BCX0JY?tag=NYTBSREV-20","","","","","","110188696X","9781101886960","Amazon","http://www.amazon.com/Troublemaker-Surviving-Scientology-Leah-Remini-ebook/dp/B015BCX0JY?tag=NYTBSREV-20","nyt://book/9de8af03-7cbd-50f1-abf0-f52a6d7de331"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1101886978","9781101886977","Apple Books","https://goto.applebooks.apple/9781101886977?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1101886986","9781101886984","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781101886977",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTROUBLEMAKER%252FLeah%252BRemini%252Band%252BRebecca%252BPaley%252F9781101886977&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTROUBLEMAKER%252BLeah%252BRemini%252Band%252BRebecca%252BPaley",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781101886977&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTROUBLEMAKER",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781101886977%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTROUBLEMAKER%2BLeah%2BRemini%2Band%2BRebecca%2BPaley%26aff%3DNYT",""
"","","","","","","","","","","","","","","2","0","0","0","0","0316200603","9780316200608","Little, Brown","An account of the Salem witch trials of 1692.","0.00","THE WITCHES","Stacy Schiff","by Stacy Schiff","","https://storage.googleapis.com/du-prd/books/images/9780316200615.jpg","318","495","http://www.amazon.com/The-Witches-Salem-Stacy-Schiff-ebook/dp/B00T3E77FK?tag=NYTBSREV-20","","","","https://www.nytimes.com/2015/11/01/books/review/the-witches-salem-1692-by-stacy-schiff.html","","0316200603","9780316200608","Amazon","http://www.amazon.com/The-Witches-Salem-Stacy-Schiff-ebook/dp/B00T3E77FK?tag=NYTBSREV-20","nyt://book/1290fbf0-65ea-5729-b0b4-c6fd25289bf3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0316200611","9780316200615","Apple Books","https://goto.applebooks.apple/9780316200608?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1611137152","9781611137156","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316200608",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0316387746","9780316387743","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BWITCHES%252FStacy%252BSchiff%252F9780316200608&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BWITCHES%252BStacy%252BSchiff",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031620059X","9780316200592","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316200608&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BWITCHES",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316200608%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BWITCHES%2BStacy%2BSchiff%26aff%3DNYT",""
"","","","","","","","","","","","","","","3","0","0","0","0","0892969962","9780892969968","FaithWords","The pastor and author says you can determine your success or failure and your destiny with the words you use to speak about yourself.","0.00","THE POWER OF I AM","Joel Osteen","by Joel Osteen","","https://storage.googleapis.com/du-prd/books/images/9780892969968.jpg","328","495","http://www.amazon.com/The-Power-Am-Words-Change/dp/0892969962?tag=NYTBSREV-20","","","","","","0892969962","9780892969968","Amazon","http://www.amazon.com/The-Power-Am-Words-Change/dp/0892969962?tag=NYTBSREV-20","nyt://book/6625a157-3354-542f-be88-296a3d51fbef"
