"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"OK","Copyright (c) 2022 The New York Times Company.  All Rights Reserved.","20","2019-08-29T21:23:18-04:00","Science","science","2014-12-27","2015-01-11","","2015-02-01","2014-12-01","Science","10","MONTHLY","1","2","0","0","0","0544272994","9780544272996","Houghton Mifflin Harcourt","","0.00","WHAT IF?","Randall Munroe","by Randall Munroe","","https://storage.googleapis.com/du-prd/books/images/9780544272644.jpg","128","165","http://www.amazon.com/What-If-Scientific-Hypothetical-Questions-ebook/dp/B00IYUYF4A?tag=NYTBSREV-20","","","","","","0544272994","9780544272996","Amazon","http://www.amazon.com/What-If-Scientific-Hypothetical-Questions-ebook/dp/B00IYUYF4A?tag=NYTBSREV-20","nyt://book/8b9172ec-90e7-5407-b340-8aa0d5b72a66"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0544456866","9780544456860","Apple Books","https://goto.applebooks.apple/9780544272996?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780544272996",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FWHAT%252BIF%25253F%252FRandall%252BMunroe%252F9780544272996&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DWHAT%252BIF%25253F%252BRandall%252BMunroe",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780544272996&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DWHAT%2BIF%253F",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780544272996%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DWHAT%2BIF%253F%2BRandall%2BMunroe%26aff%3DNYT",""
"","","","","","","","","","","","","","","2","1","0","0","0","0805095152","9780805095159","Metropolitan/ Holt","","0.00","BEING MORTAL","Atul Gawande","by Atul Gawande","","https://storage.googleapis.com/du-prd/books/images/9780805095159.jpg","328","495","http://www.amazon.com/Being-Mortal-Medicine-What-Matters/dp/0805095152?tag=NYTBSREV-20","","https://www.nytimes.com/2014/10/17/arts/being-mortal-by-atul-gawande.html","","https://www.nytimes.com/2014/11/09/books/review/atul-gawande-being-mortal-review.html","","0805095152","9780805095159","Amazon","http://www.amazon.com/Being-Mortal-Medicine-What-Matters/dp/0805095152?tag=NYTBSREV-20","nyt://book/da4f9f72-c4b7-5e41-bf03-4f4f1278628f"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1427244235","9781427244239","Apple Books","https://goto.applebooks.apple/9780805095159?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410478122","9781410478122","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780805095159",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1514732998","9781514732991","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBEING%252BMORTAL%252FAtul%252BGawande%252F9780805095159&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBEING%252BMORTAL%252BAtul%252BGawande",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1250081246","9781250081247","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780805095159&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBEING%2BMORTAL",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1250076226","9781250076229","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780805095159%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBEING%2BMORTAL%2BAtul%2BGawande%26aff%3DNYT",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1594139245","9781594139246","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1427244243","9781427244246","","",""
"","","","","","","","","","","","","","","3","3","0","0","0","147670869X","9781476708690","Simon & Schuster","","0.00","THE INNOVATORS","Walter Isaacson","by Walter Isaacson","","https://storage.googleapis.com/du-prd/books/images/9781476708713.jpg","128","193","http://www.amazon.com/The-Innovators-Hackers-Geniuses-Revolution-ebook/dp/B00JGAS65Q?tag=NYTBSREV-20","","https://www.nytimes.com/2014/10/09/arts/walter-isaacsons-the-innovators-studies-computer-wizards.html","","https://www.nytimes.com/2014/10/05/books/review/the-innovators-by-walter-isaacson.html","","147670869X","9781476708690","Amazon","http://www.amazon.com/The-Innovators-Hackers-Geniuses-Revolution-ebook/dp/B00JGAS65Q?tag=NYTBSREV-20","nyt://book/74ec3a0a-e7dd-51ea-a372-e0f99f575220"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1476708711","9781476708713","Apple Books","https://goto.applebooks.apple/9781476708690?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1442376228","9781442376229","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781476708690",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1476708703","9781476708706","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BINNOVATORS%252FWalter%252BIsaacson%252F9781476708690&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BINNOVATORS%252BWalter%252BIsaacson",""
