,results__list_name,results__bestsellers_date,results__published_date,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
0,Race and Civil Rights,9/24/2016,10/9/2016,1.0,812993543,9.78E+12,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son. Winner of the National Book Award.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
6,Race and Civil Rights,9/24/2016,10/9/2016,2.0,081298496X,9.78E+12,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
12,Race and Civil Rights,9/24/2016,10/9/2016,3.0,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
20,Race and Civil Rights,9/24/2016,10/9/2016,4.0,006236359X,9.78E+12,"The story, based in part on interviews, of the black women mathematicians who were hired as “computers” by the precursor of NASA during World War II. The basis of the forthcoming movie.",HIDDEN FIGURES,Margot Lee Shetterly
29,Race and Civil Rights,9/24/2016,10/9/2016,5.0,1603093001,9.78E+12,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
35,Race and Civil Rights,9/24/2016,10/9/2016,6.0,1603094008,9.78E+12,"Representative John Lewis of Georgia continues his memoir of the civil rights movement. In this volume, he recounts the March on Washington in 1963, among other events.",MARCH: BOOK TWO,John Lewis and Andrew Aydin
41,Race and Civil Rights,9/24/2016,10/9/2016,7.0,1603094024,9.78E+12,"Representative John Lewis of Georgia concludes his memoir of the civil rights movement in this volume, which depicts the Selma March.",MARCH: BOOK THREE,John Lewis and Andrew Aydin
47,Race and Civil Rights,9/24/2016,10/9/2016,8.0,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
53,Race and Civil Rights,9/24/2016,10/9/2016,9.0,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society and include references to recent events.,CITIZEN,Claudia Rankine
59,Race and Civil Rights,9/24/2016,10/9/2016,10.0,1618931717,9.78E+12,"The retired basketball legend shares his views and personal experiences of the racial, religious and political divide, as experienced on and off the court, and his thoughts on solutions.",WRITINGS ON THE WALL,Kareem Abdul-Jabbar and Raymond Obstfeld
