,status,copyright,num_results,results__bestsellers_date,results__published_date,results__published_date_description,results__previous_published_date,results__next_published_date,results__lists__list_id,results__lists__list_name,results__lists__list_name_encoded,results__lists__display_name,results__lists__updated,results__lists__list_image,results__lists__list_image_width,results__lists__list_image_height,results__lists__books__age_group,results__lists__books__amazon_product_url,results__lists__books__article_chapter_link,results__lists__books__author,results__lists__books__book_image,results__lists__books__book_image_width,results__lists__books__book_image_height,results__lists__books__book_review_link,results__lists__books__contributor,results__lists__books__contributor_note,results__lists__books__created_date,results__lists__books__description,results__lists__books__first_chapter_link,results__lists__books__price,results__lists__books__primary_isbn10,results__lists__books__primary_isbn13,results__lists__books__book_uri,results__lists__books__publisher,results__lists__books__rank,results__lists__books__rank_last_week,results__lists__books__sunday_review_link,results__lists__books__title,results__lists__books__updated_date,results__lists__books__weeks_on_list,results__lists__books__buy_links__name,results__lists__books__buy_links__url
0,OK,Copyright (c) 2021 The New York Times Company.  All Rights Reserved.,90.0,2021-04-03,2021-04-18,latest,2021-04-11,,704.0,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction,WEEKLY,,,,,https://www.amazon.com/dp/059346527X?tag=NYTBSREV-20,,Amanda Gorman,https://storage.googleapis.com/du-prd/books/images/9780593465271.jpg,362.0,500.0,,by Amanda Gorman,,2021-04-07 22:13:25,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem.",,0.0,059346527X,9780593465271.0,nyt://book/a95afb91-235c-578c-847a-a98d0af7b6a0,Viking,1.0,0.0,,THE HILL WE CLIMB,2021-04-07 22:17:38,1.0,Amazon,https://www.amazon.com/dp/059346527X?tag=NYTBSREV-20
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Books,https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+HILL+WE+CLIMB&author=Amanda+Gorman
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593465271
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BHILL%252BWE%252BCLIMB%252FAmanda%252BGorman%252F9780593465271&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BHILL%252BWE%252BCLIMB%252BAmanda%252BGorman
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593465271&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BHILL%2BWE%2BCLIMB
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IndieBound,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593465271%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BHILL%2BWE%2BCLIMB%2BAmanda%2BGorman%26aff%3DNYT
6,,,,,,,,,,,,,,,,,,https://www.amazon.com/dp/0316499404?tag=NYTBSREV-20,,James Patterson and David Ellis,https://storage.googleapis.com/du-prd/books/images/9780316499408.jpg,323.0,500.0,,by James Patterson and David Ellis,,2021-04-07 22:13:25,The second book in the Black Book thriller series. Chicago detective Billy Harney investigates his own past.,,0.0,0316499420,9780316499422.0,nyt://book/8a46d98f-e198-59d2-a10a-bfa5f1401830,"Little, Brown",2.0,0.0,,THE RED BOOK,2021-04-07 22:17:38,1.0,Amazon,https://www.amazon.com/dp/0316499404?tag=NYTBSREV-20
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Books,https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+RED+BOOK&author=James+Patterson+and+David+Ellis
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316499422
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BRED%252BBOOK%252FJames%252BPatterson%252Band%252BDavid%252BEllis%252F9780316499422&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BRED%252BBOOK%252BJames%252BPatterson%252Band%252BDavid%252BEllis
