,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
0,The Case for Population Reduction,Miscellaneous Papers of J. Mayone Stycos. Human fertility and its control,J. Mayone Stycos,"Collection of papers, reprints, and other publications on population control and related issues.",CORNELL:31924094739889,The Case for Population Reduction Miscellaneous Papers of J. Mayone Stycos. Human fertility and its control
2,The Welfare Analysis of Fertility Reduction,,Richard Blandy,,CORNELL:31924071667814,
3,Poverty Alleviation in China,A Theoretical and Empirical Study,Kun Yan,"This study systematically investigates the development process, major characteristics and weak links of China's poverty alleviation experience and conducts a comparative analysis of poverty alleviation cases. It also accurately presents the internal logic and core elements of China's poverty alleviation theory and taking the Chinese experience of poverty alleviation refines the ""Two Threads One Force"" theoretical framework to make a basic judgment of the ""China model"" for poverty alleviation. It also presents the rationale and plans for responding to new challenges to achieve poverty alleviation goals, which will enhance the welfare of the people and promote social progress and national prosperity.",9783662473924,Poverty Alleviation in China A Theoretical and Empirical Study
6,Comparative Quantification of Health Risks: Sexual and reproductive health,,Majid Ezzati,"This publication gives a comprehensive assessment of scientific evidence about risk factors linked to diseases and human health hazards, which has important implications for public health policies. Topics discussed include: childhood and maternal undernutrition; nutritional and physiological risk factors; addictive substances; sexual and reproductive health; environmental and occupational risks, including air pollution, unsafe water and sanitation, and climate change; the distribution of risk factors by poverty; data analysis and results; multiple risk factor assessments; and future research. This publication comprises of three volumes: two volumes in hardcopy with a third volume containing annex tables in an accompanying CD-ROM.",9789241580311,
14,A Broad View of Regional Science,Essays in Honor of Peter Nijkamp,Soushi Suzuki,"This book celebrates the life and work of Peter Nijkamp, whose research provides a strong focus on regional science. His work follows a rigorous, comprehensive approach, centred around analytical modelling and methodological innovation. This edited volume, like Prof Nijkamp’s research, covers a wide range of topics in regional science, analysed through multi-criteria evaluation, evaluation modelling, econometrics, and simulations, among other methods. These tools are applied to the analysis of society and culture, tourism and information, cities, environment and sustainability. Professor Nijkamp is one of the founders and the past president of the Regional Science Association International. His work forms a valuable reference for researchers, scholars, policymakers, and students in the field of regional science and other disciplines. This volume, timed to coincide with his 75th birthday, celebrates Prof Nijkamp’s great contributions to regional science. He also promoted and participated in the education and development of young researchers not only in regional science but also in other fields, supervising many Ph.D. students and hosting even more as guests in Amsterdam. Contributors to this volume include Prof Nijkamp’s former doctoral students and guest researchers, as well as associates and colleagues.",9789813340985,A Broad View of Regional Science Essays in Honor of Peter Nijkamp
16,"Ecological Migration, Development and Transformation",A Study of Migration and Poverty Reduction in Ningxia,Peilin Li,"After over 30 years of reform and opening up, China’s aggregate economic volume is now the second largest in the world. Over the past decade many provinces in the western region of China have implemented ecological migration projects of different scales, which have attracted considerable attention both in China and abroad. The projects indicate, first, that there is an urgent need for this type of endeavor: whether the goal is to reduce poverty or to protect the environment, we need to move the poor populations out of the ecologically fragile regions. Secondly, the projects indicate that the Chinese government is capable of meeting this need. Migration projects are complex and costly and without sufficient financial resources and systematic planning, migration may fail to reduce poverty, and could even aggravate it. The rapid economic growth in China, however, makes such migration projects viable.",9783662473665,"Ecological Migration, Development and Transformation A Study of Migration and Poverty Reduction in Ningxia"
19,"Social Security, Demographics, and Risk",,Christoph Hendrik Borgmann,"This volume addresses the most important issues of the ongoing discussion on designing social security. It provides fundamental results for pay-as-you-go social security, covers the issues of social security during demographic transition and examines the inclusion of risk aspects into the analysis of social security. An empirical case study of Germany yields the surprising result that de facto the German public pension scheme already comprises an implicit demographic factor. This book allows a subtle understanding of how interacting risks are treated within different pension systems and thereby provides a basis for the development of innovative ways of risk sharing.",9783540266976,
29,Can the World Cut Poverty in Half?,How Policy Reform and Effective Aid Can Meet International Development Goals,Paul Collier,"Policy in the developing world will decline by roughly half by 2015 if current growth trends and policies persist. But a disproportionate share of poverty reduction will occur in East and South Asia, poverty will decline only slightly in Sub-Saharan Africa, and it will increase in Eastern Europe and Central Asia. What can be done to change this picture?",UCSD:31822028597516,Can the World Cut Poverty in Half? How Policy Reform and Effective Aid Can Meet International Development Goals
30,World Development Indicators 2002,,World Bank,"""There is a more recent edition of this title available! This is an annual publication; the new edition is available for ordering or pre-ordering. If this edition is still available and you would like to order it, please click 'Add to Cart' above. If you would like to order or see more information about the new edition for this title, please click on the following link -- WDI 2003""",0821350889,
47,The Modern Rise of Population,,Thomas McKeown,"“One of the truly important books of our time.” The modern rise of population is one of the great themes of history. Ten thousand years ago thee were less than 10 million people in the world. By 1750 there were 750 million and, from that time to the present, the growth has continued at a rapid and ever advancingrate. World population reached 1,000 million in 1830, 2,000 million a century later, and today exceeds 4,000 million. Although the phenomenon has received considerable attention, interest has centered on its iplications for the future and the causes have been neglected. This study rights the balance. The approach is both novel and comprehensive, and the conclusions are controversial. The author challenges manu common assumptions and argues, for instance, that the health of man ‘is only marginally influenced by personal medical care’. Notable for its grasp of complex and biological and medical issues and for its lucid style, this is a thorough interpretation of a subject which must concern us all.” — Publisher description.",UOM:39015046400688,
