,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__searchInfo__textSnippet,items__volumeInfo__industryIdentifiers__identifier,title
0,Numbers,A Population Reduction Proposal,Rob Ord,"The author proposes that the democratic institution of laws promoting one-child families for 100 years is the only non-violent and fair solution to the economic and ecological problems now squarely facing us. As such the book presents a palatable alternative to the now-suspect 'sustainable development' paradigm, and examines why such a proposal has not been made before. The book ends by assessing the justification for instituting and changing current 'population law', both nationally and internationally.","The book ends by assessing the justification for instituting and changing current &#39;population law&#39;, both nationally and internationally.",9781581129359,Numbers A Population Reduction Proposal
2,"Mortality Reduction, Fertility Decline, and Population Growth",Toward a More Relevant Assessment of Relationships Among Them,Davidson Gwatkin,,This discussion responds to the questions of programs to reduce mortality and of how large a change in growth will result from efforts to lower fertility.,UCSC:32106007069864,"Mortality Reduction, Fertility Decline, and Population Growth Toward a More Relevant Assessment of Relationships Among Them"
3,"'Global Warming' Scare Is Population Reduction, Not Science",,Helga Zepp-LaRouche,"The scientific and historic proof that 'Global Warming' is rooted in the satanic outlook of Nazi eugenics - and, to the same purpose: radical, global, depopulation.","The scientific and historic proof that &#39;Global Warming&#39; is rooted in the satanic outlook of Nazi eugenics - and, to the same purpose: radical, global, depopulation.",094323526X,
6,The Case for Population Reduction,Miscellaneous Papers of J. Mayone Stycos. Human fertility and its control,J. Mayone Stycos,"Collection of papers, reprints, and other publications on population control and related issues.","Collection of papers, reprints, and other publications on population control and related issues.",CORNELL:31924094739889,The Case for Population Reduction Miscellaneous Papers of J. Mayone Stycos. Human fertility and its control
12,Reversing Population Growth Swiftly and Painlessly,A Simple Two-Credit System to Regulate Birth Rates and Immigration,William Brodovich,"Population growth hastens the depletion of natural resources, degrades the environment, increases poverty and conflict, and debases the human spirit. This book offers an antidote. It prescribes a simple and practical credit-based system that can gradually reduce any population to an optimal size without imposing a limit on the number of children a couple can produce. It does this without requiring anyone to violate the moral precepts of any of the world's major faiths regarding birth control and abortion. And it shows how to use the same system to rationally regulate immigration. After presenting the plan, the author explores the demographic, social, environmental, and economic changes that would likely accompany population reduction, and proposes innovative solutions for some of our most pressing problems, including poverty. Anyone with an interest in the future of mankind and the conservation of the natural world will find this book informative, original, thought-provoking, and hopeful.","Population growth hastens the depletion of natural resources, degrades the environment, increases poverty and conflict, and debases the human spirit. This book offers an antidote.",1545601844,Reversing Population Growth Swiftly and Painlessly A Simple Two-Credit System to Regulate Birth Rates and Immigration
14,A Population-Based Policy and Systems Change Approach to Prevent and Control Hypertension,,Institute of Medicine,"Hypertension is one of the leading causes of death in the United States, affecting nearly one in three Americans. It is prevalent in adults and endemic in the older adult population. Hypertension is a major contributor to cardiovascular morbidity and disability. Although there is a simple test to diagnose hypertension and relatively inexpensive drugs to treat it, the disease is often undiagnosed and uncontrolled. A Population-Based Policy and Systems Change Approach to the Prevention and Control Hypertension identifies a small set of high-priority areas in which public health officials can focus their efforts to accelerate progress in hypertension reduction and control. It offers several recommendations that embody a population-based approach grounded in the principles of measurement, system change, and accountability. The recommendations are designed to shift current hypertension reduction strategies from an individual-based approach to a population-based approach. They are also designed to improve the quality of care provided to individuals with hypertension and to strengthen the Center for Disease Control and Prevention's leadership in seeking a reduction in the sodium intake in the American diet to meet dietary guidelines. The book is an important resource for federal public health officials and organizations, especially the Center for Disease Control and Prevention, as well as medical professionals and community health workers.","The book is an important resource for federal public health officials and organizations, especially the Center for Disease Control and Prevention, as well as medical professionals and community health workers.",9780309148092,
17,Estimation of Population Reduction and Gene Flow in the Rare Orchid Isotria Medeoloides,,Philip Crystal,"Isotria medeoloides (Pursh) Raf. is a threatened orchid species with an Appalachian distribution in the eastern United States. There are only 150 populations, 67 of which are in Maine and New Hampshire. The United States Fish and Wildlife Service is attempting to preserve the species by protecting populations and potential colonization sites. Previous microsatellite analysis of fifteen populations throughout the species revealed low genetic diversity and high inbreeding. This study uses four microsatellite loci to determine gene flow, effective population sizes, and population size reductions among eighteen populations in order to identify genetically important sites. Results indicate that populations in the southern range of the species are severely reduced. The relatively diverse northern populations also show signs of population decline. A coalescent genealogy sampler revealed low gene flow with most populations sending and receiving less than one migrant per generation. Gene flow was especially low among small southern populations.",Isotria medeoloides (Pursh) Raf. is a threatened orchid species with an Appalachian distribution in the eastern United States.,OCLC:871573651,
18,'Global Warming' Scare Is Population Reduction Not Science,,Helga Zepp-LaRouche,"Exactly 70 years after the end of the Nazi dictatorship, preparations are underway--largely unnoticed or misinterpreted by unsuspecting contemporaries--for the establishment of a fascist world government which would exceed Hitler's most audacious dreams. In place of the discredited doctrine of eugenics, which provided the pretense then for the elimination of so-called “inferior races,” today it is the swindle of alleged anthropogenic climate change which supplies the argumentation to establish a global eco-dictatorship whose results, and whose declared intention is to eliminate six billion human beings--if it is not stopped. --from the Introduction by Helga Zepp-LaRouche Report Contents: INTRODUCTION Defend Mankind from the Satanic Climate-Change Swindle by Helga Zepp-LaRouche I. DEPOPULATION PLOT: BRITISH SATANISTS CAPTURE THE VATICAN How the British Turned Genocide and Race Science 'Green' by Jeffrey Steinberg British Crown's Depopulation Pope: CBE Hans Joachim Schellnhuber The Encyclical from Hell by Paul Gallagher Prince Philip: Founding Father of the Environmentalist Movement by Alicia Cerretani Interview with Paul Driessen: Develop the Ultimate Resource--The Mind II. THE TRUE SCIENCE OF CLIMATE Temperature Doesn't Follow CO2 As Alarmists Claim by Benjamin Deniston What Causes Climate Change? The Sun, the Solar System, and the Galaxy by Benjamin Deniston 'Methods' of Climate Alarmists by Benjamin Deniston III. REJECT 'DECARBONIZATION' FRAUD Increasing Energy Flux-Density: The Only Competent Energy Policy by Benjamin Deniston Germany: Case Study in the Failure of Green Energy by Alicia Cerretani, Benjamin Deniston The Facts on Fusion by Liona Fan-Chiang, Benjamin Deniston Wall Street and London Made a 'Carbon Copy' of the Subprime Swindle by Paul Gallagher U.S. 'Green Disease' Spread After Kennedys and King Were Eliminated by Marcia Merry Baker","REJECT &#39;DECARBONIZATION&#39; FRAUD Increasing Energy Flux-Density: The Only Competent Energy Policy by Benjamin Deniston Germany: Case Study in the Failure of Green Energy by Alicia Cerretani, Benjamin Deniston The Facts on Fusion by Liona Fan ...",9780943235271,
20,The Case for Population Reduction,Miscellaneous papers of Vernon M. Briggs,Vernon M. Briggs,"Collection of papers, reprints, and other publications on immigration and immigration policy, population control and related issues.","Collection of papers, reprints, and other publications on immigration and immigration policy, population control and related issues.",CORNELL:31924094739871,The Case for Population Reduction Miscellaneous papers of Vernon M. Briggs
22,"Population Growth, Income Distribution, and Economic Development","Theory, Methodology, and Empirical Results",Nico Heerink,"In this book, a model of long-term interrelationships between income distribution, population growth and economic development is developed and estimated from data for 54 countries. The results indicate that a reduction of income inequality leads to lower fertility and mortality, to improvedbasic needs satisfaction, and to lower labour force participation of young and old males and of females in Asia and Africa. The effect of income distribution on saving and consumption is found to be negligible. These outcomes suggest that family planning and health policies in LDCs will show better results when they are supplemented with policies aimed at makingthe poor benefit from economic growth. As regards development policy, the results indicate that a reduction of income inequality does not impair the formation of physical capital, but enhances the formation of human capital and lowers the growth rate of the labour force.","In this book, a model of long-term interrelationships between income distribution, population growth and economic development is developed and estimated from data for 54 countries.",9783642785719,"Population Growth, Income Distribution, and Economic Development Theory, Methodology, and Empirical Results"
27,An Introduction to Population-Level Prevention of Non-Communicable Diseases,,Mike Rayner,"Provides an unparalleled overview of population-based approaches to the prevention of non-communicable diseases, reflecting the latest research in the field, and a key resource for anyone with an interest in NCD prevention as they develop the knowledge and skills needed for effective population-based prevention strategies.","Provides an unparalleled overview of population-based approaches to the prevention of non-communicable diseases, reflecting the latest research in the field, and a key resource for anyone with an interest in NCD prevention as they develop ...",9780198791188,
31,Population Health Literacy,,Shriti Choudhary,"Defines the concept of Population-Health Literacy (PHL), determine its contents and develop a model as to how these contents can be communicated to a specific target group. Population-Health Literacy is the core content, ABC or basic rudiments of Population Health Education as the three Rs reading, writing and arithmetic is of general education. Certain criteria for selection of themes for PHL has been identified and ten dimensions have been selected for the present study namely: Adverse consequences of population explosion, Timing births, Safe Motherhood, Breast Feeding, Immunisation, Supplementary Food, Child Growth, Hygiene, Diarrhoea and Coughs and Colds. A pre and post test design with control and experimental group has been adopted. Areas of ignorance and misconceptions on the above mentioned dimensions have been identified. A well-planned intervention programme has been designed and conducted. Its effect has been measured. To provide a broader perspective to the dimensions and themes, the book meticulously described the population scenario of India, population planning and programmes in India, barriers to population planning and paths to population stabilisation. The book also presents a detail review of existing intervention studies on different health and population issues. Its topics, methodology and results have been critically discussed.","The book also presents a detail review of existing intervention studies on different health and population issues. Its topics, methodology and results have been critically discussed.",8172111177,
35,Report of the Expert Panel on Population Strategies for Blood Cholesterol Reduction,,DIANE Publishing Company,"Contents: recommen. (nutrition intake; eating patterns; healthy children and adolescents; health prof'ls.; the food industry; mass media; gov't.; educational systems; measurement of blood cholesterol); scientific evidence for recommen. affecting the general public (diet patterns, blood cholesterol and health; eating patterns in the U.S.; what influences eating patterns?; can intervention modify dietary behavior?); ethnic, cultural, and minority character's. that influence diet and health (blacks, Hispanics, Asian/Pacific Islanders, Native Amer.). Glossary and biblio.",Contents: recommen. (nutrition intake; eating patterns; healthy children and adolescents; health prof&#39;ls.; the food industry; mass media; gov&#39;t.; educational systems; measurement of blood cholesterol); scientific evidence for recommen. ...,0788128167,
38,Coping with Population Challenges,,Louise Lassonde,"Despite rapidly decreasing rates of population growth caused by reduced fertility in the majority of world regions, demographers are predicting that the world's population will still double by the year 2050. The question is therefore no longer the traditional one of whether the planet can support so many people, but how to provide a sustainable future for ten billion individuals. Quantitative problems have become ethical ones. Coping with Population Challenges addresses these issues in the context of international debate and agreements since the first World Population Plan of Action in 1974 to the 20-year Programme of Action adopted at the International Conference on Population and Development in Cairo in 1994. The author describes how the Programme of Action focuses on women's issues, reproductive choice and the notion of the individual. However, she identifies a number of important but neglected areas of the debate that the Programme failed to address and brings to light some of the inconsistencies that need to be resolved if the Programme is to be implemented. The author also looks at the underlying ethical dimension of all choices relating to the population issue and suggests measures and machinery for giving effect to states' commitments, including reformulating problems and defining the appropriate economic framework for solutions. The book is an excellent introduction for the non-specialist to a very topical debate, and a useful reference for researchers.","The book is an excellent introduction for the non-specialist to a very topical debate, and a useful reference for researchers.",9781134065615,
43,Agenda 21,Arguments for Appending a Population Reduction Program,Scott Valentine,This paper argues for revisions to be made to Chapter 5 of Agenda 21 to include specific population reduction goals in order to restore efficacy to the UN0́9s sustainable development initiatives. The paper opens by demonstrating through dialectical analysis why population reduction strategies should be elevated to share top priority with poverty alleviation strategies as the two over-arching pillars of international development strategy.,This paper argues for revisions to be made to Chapter 5 of Agenda 21 to include specific population reduction goals in order to restore efficacy to the UN0́9s sustainable development initiatives.,OCLC:708199759,Agenda 21 Arguments for Appending a Population Reduction Program
45,Too Many Humans,The Imperative to Return to a Human Population of 1 Billion,Morrison Bonpasse,"This ""Little Green Book"" presents 21 proposals for reducing the size of the human population to 1 billion people, in order to enable humanity to live sustainably on Earth. For centuries and millennia, humans have exploited the inherited riches of the Earth without significant observable permanent harm. The Industrial Revolution, which used non-human, non-animal power sources to accomplish tasks, began in the 18th century in Europe and North America. In the early 19th century, that power increasingly came from the burning of fossil fuels, primarily coal and oil, and that burning created carbon dioxide. The ills of fossil fuel burning were compounded by population growth. Around the beginning of the 19th century, medical and nutritional advances led to the reduction of the death rate and populations began to grow more rapidly. This change can be said to be the beginning of the Demographic Transition, which is defined as the period during which there is a large gap between the declining death rate and the subsequent reduction of the birth rate which typically occurs several generations later. Proposed here are additional stages of the model to show a Sustainable Demographic Transition (SDT) to a human population of 1 billion, which was the population of the Earth around 1800. The question posed in this book is whether the human birth rate can be reduced soon enough to avoid much of the potential further damage to the Earth, and reduced further to enable remediation of previous damage. The year 1800 is chosen in this book as the pivotal year for the Industrial Revolution and Demographic Transition. At that time, the carbon dioxide density in the atmosphere was approximately 300 parts per million. During the subsequent 215 years, the Industrial Revolution accelerated and, together with exponential population growth, has degraded the ability of the Earth to sustain life. Whatever damage to the Earth the Industrial Revolution would have produced for a planet supporting one billion humans, that damage has been multiplied, so far, by the growth of the human population since 1800 to 7.3 billion by mid-2015. If not stopped, the multiplier will continue to grow. Even at the current and seemingly slow annual growth rate of 1.2%, the Earth's population will double to 14.6 billion in 58 years. Such a total is inconceivable, and avoidable. There has been debate about whether the sheer number of people is the problem or whether their unequal or excessive consumption patterns are the problem. The problem with that debate is that it poses a false choice, which need not be resolved here. That is, while there is no question that there is substantial inequality among people of income and wealth and therefore, of Earth-degrading consumption, there is also no question that every human being has an impact on the Earth. Putting it simply, more humans produce more carbon. Further, more humans have produced too many more humans. There are two basic elements of each human's impact on the Earth. First s/he consumes energy and resources, and s/he has the capacity to have children. Whatever the world's consumption patterns, there will be less consumption and Earth degradation when there are fewer people. This truth is a corollary to the message of population stabilization advocates since the 1970s - ""Whatever your cause, it's a lost cause until we control population growth."" The first of the 21 proposals is that all humans be encouraged to have no children, or at most, one child. The alternative to achieving population reduction through voluntary means is to endure catastrophes and collapse and gross reduction of biodiversity.","This &quot;Little Green Book&quot; presents 21 proposals for reducing the size of the human population to 1 billion people, in order to enable humanity to live sustainably on Earth.",1506176569,Too Many Humans The Imperative to Return to a Human Population of 1 Billion
47,Population Policy and the U.S. Constitution,,L.D. Barnett,"A few decades ago a monograph on the legal aspects of population control would have looked mainly at legal prohibitions. The salient legal problems were restriction of the use of birth control and dissemination of information about it. The assumption in such an approach would have been that effective population control is legally affected only by the clearly stated restrictions in the law. In other respects, the law could be assumed to be neutral. Judicial and legislative changes have eliminated practically all restrictions on the means of contraception. This development, how ever, has not freed population from its relation to the law; on the contrary, it has exposed the importance of law as a motivating force for and against population control. Although much applied work in population control is directed toward the distribution of contracep tives, concentration on the means of population control has shown itself to be of doubtful value. From many sides the primary impor tance of motivation has been recognized, along with the need to influence motivation and to analyze the conditions under which motivational change is possible. At this point the role of the law ix X FOREWORD becomes apparent, along with the recognition that law has not been neutral in this issue-that, in fact, it cannot be neutral. Larry Barnett has undertaken a pioneering effort in identifying the areas of law important to changing people's motivations in regard to population control and to a reduction in individual family size.",Larry Barnett has undertaken a pioneering effort in identifying the areas of law important to changing people&#39;s motivations in regard to population control and to a reduction in individual family size.,9401727201,
49,Effects of Thermosonication on Microbial Population Reduction and Solubillity Index in Skim Milk Powder,,Nicola F. Beatty,"The effects of thermosonication (high intensity ultrasound coupled with thermal treatment), on the reduction of thermophilic spore-forming microorganisms and its effects on the solubility index in reconstituted skim milk powder (RSMP) were evaluated. Thermosonication was applied to RSMP at various solids concentrations, temperatures, and lengths of time based on commercial milk powder processing conditions. Microbial counts were determined prior to and after treatments to determine the log reduction of Geobacillus stearothermophilusvegetative cells and spores. Log reductions were recorded, and data were analyzed by response surface analysis. The log reductions induced by temperature and time without high intensity ultrasound (HIU) were compared to reductions observed with HIU. Thermosonication was also applied to RSMP to determine effects on solubility using a continuous flow cell system. Thermosonication yielded a significantly higher level of microbial destruction for both vegetative cells and spores than heat treatment alone. For experiments involving vegetative cells, the interaction of treatment time and temperature proved to have the greatest influence on microbial inactivation. In comparison, the interaction of total solids content and length of HIU treatment demonstrated the greatest effect on the increased log reductions for spores. The solubility of RSMP treated with HIU did not significantly differ from the solubility of RSMP not treated with HIU. Further data showed the implementation of HIU, or thermosonication, during milk powder processing would be most effective before and after the evaporation stage when the total solids content of product is 9.2% and 50% at 75℗ʻC and 60℗ʻC, respectively. Based on preliminary data, it is assumed HIU applied for 10 s at these two locations would produce an additive effect, thereby reducing overall microbial counts by 5.76 log and 0.51 log for G. stearothermophilus vegetative cells and spores, respectively, in the product prior to entering the drying stage. All research findings and observations suggest HIU, or thermosonication, to be a successful method for reducing microbial populations during milk powder processing without sacrificing skim milk powder solubility","The effects of thermosonication (high intensity ultrasound coupled with thermal treatment), on the reduction of thermophilic spore-forming microorganisms and its effects on the solubility index in reconstituted skim milk powder (RSMP) were ...",OCLC:970169272,
55,Relocating world Population for Reducing GHG Emission,,Subhash Lele,"The dominance of high energy consuming nations and the blame game seems to defeat the purpose of the Kyoto protocol in limiting global temperature increase to 2 degrees Celsius. In the Paris approach in 2015 voluntary targets from individual nations, indicate such commitments will unlock investments that ratchet up ambition on reducing emissions and eventually achieve the low-carbon world that all sides want. The studies show that the countries with highest emission are least vulnerable to climate change effects like rise in sea level, effects on flora and fauna etc. but the most vulnerable countries are African and small island countries which have little contribution to GHG (Green House Gases) emission. It is ironical and unjust for these developing and underdeveloped countries. It is a common saying that when normal methods fail to yield results, an ‘Out of the Box’ measure only may work. Out of multiple options discussed the book, the most acceptable option (and a few may think outrageous looking into political and social fabric of these countries) can be to relocate the population in EU28 countries, Canada and United States to effectively reduce global energy consumption. Author feels, Implementation of this measure, may give us, a reduction in energy consumption by a modest 10-15 % and can result in reduction of @ 1? C in global temperature. This can be a very encouraging gift to the society. The author would leave it at this, to the readers’ discretion to pour in more thoughts. I would be happy to receive feedback and comments.","Out of multiple options discussed the book, the most acceptable option (and a few may think outrageous looking into political and social fabric of these countries) can be to relocate the population in EU28 countries, Canada and United ...",9781684669936,
59,We're All in This Together,"Creating a Team Culture of High Performance, Trust, and Belonging",Mike Robbins,"What makes a great team? Author, leadership expert, and corporate consultant looks at how businesses can build trust and achieve high performance. Have you ever been on a team where the talent was strong, but the team wasn't very good? On the flip side, have you ever been on a team where not every single member was a rock star, but something about the team just worked? We've all had these types of experiences. And yet, it can be difficult to understand what makes one team successful and another one not. In this book, Mike Robbins dives deep into the ways great teams build trust, collaborate, and perform at the highest level. As an expert in teamwork, leadership, and emotional intelligence, Mike draws on more than 18 years' experience working with top teams and organizations like Google and Microsoft, as well as his athletic career for the Kansas City Royals. The book's core principles include fostering an environment of psychological safety, honoring diversity and inclusion, addressing and navigating conflict, building trust, and a maintain a balance of healthy expectations and empathy. Also features interviews with high-level business leaders and thought leaders to provide insights into an ever-changing workplace culture.","And yet, it can be difficult to understand what makes one team successful and another one not. In this book, Mike Robbins dives deep into the ways great teams build trust, collaborate, and perform at the highest level.",9781401958138,"We're All in This Together Creating a Team Culture of High Performance, Trust, and Belonging"
61,We're All in This Together,,Amy Jones,"A woman goes over a waterfall, a video goes viral, a family goes into meltdown -- life is about to get a lot more complicated for the Parker family. Like all families, the Parkers of Thunder Bay have had their share of complications. But when matriarch Kate Parker miraculously survives plummeting over a waterfall in a barrel -- a feat captured on a video that goes viral -- it's Kate's family who tumbles into chaos under the spotlight. Her prodigal daughter returns to town. Her 16-year-old granddaughter gets caught up in an online relationship with a man she has never met. Her husband sifts through their marriage to search for what sent his wife over the falls. Her adopted son fears losing the only family he's ever known. Then there is Kate, who once made a life-changing choice and now fears her advancing dementia will rob her of memories from when she was most herself. Set over the course of four calamitous days, Amy Jones's big-hearted first novel follows the Parkers' misadventures as catastrophe forces them to do something they never thought possible -- act like a family.","Set over the course of four calamitous days, Amy Jones&#39;s big-hearted first novel follows the Parkers&#39; misadventures as catastrophe forces them to do something they never thought possible -- act like a family.",077105064X,
63,We’Re All in This Together,,Melanie O’Donohue B.S.E. M.S.E.,"The Pandemic of 2020 rocked the world to its core. Nothing like this had happened for over one hundred years. No one knew what to make of it and it changed everything we knew. Children will have many questions. We’re All in This Together is a springboard for teachers and parents alike to invoke questions and answers to this unprecedented time. The Coronavirus left society trying to find a new normal. Parents worked from home. Students went to school at home. The medical professionals worked long, grueling hours to help as many as they could. How would this change our world and how would we get through this extremely trying time?",No one knew what to make of it and it changed everything we knew. Children will have many questions. We’re All in This Together is a springboard for teachers and parents alike to invoke questions and answers to this unprecedented time.,9781663200969,
65,Just as Long as We're Together,,Judy Blume,"Stephanie and Rachel have been best friends for years, in spite of their differences. Alison is new in town, and immediately becomes an integral part of their group. But is it possible to have two best friends? And how can you call anyone a friend if you can't tell them your most painful secrets? Just as Long as We're Together is bestselling author Judy Blume's classic novel about changing friendships, and is followed by the sequel Here's to You, Rachel Robinson.","Just as Long as We&#39;re Together is bestselling author Judy Blume&#39;s classic novel about changing friendships, and is followed by the sequel Here&#39;s to You, Rachel Robinson.",9781447280323,
69,"We'Re All in This Together!: A Book of Quarantine, Comedy, and Hope",,Linda N. Meade,"This year is a year that will go down in history not only for the election that came up, but also for the worst disease to hit our planet and all the people residing on it in decades. We have all seen the posts and the pod-casts that have shown on commercials and news clips telling us to stay home when possible, and stay safe as often as we can. Who would have ever believed something like a virus that started in Asia back in January of 2020, would cripple us globally and continue to do so to this date and time. I thought a lot about this problem. I miss my family and friends. I know a lot of you have been feeling the same way about being inside for days on end. Feeling concerned about jobs, food, money, disasters from tornadoes, face masks and where to find them. And toilet paper and who has it. I decided to write down my experiences on these topics and see how many of you relate to them, and maybe even laugh about them now. So get ready cause we're going to talk about it all. The drama, the comedy, and the real reason: We're All In This Together.","So get ready cause we&#39;re going to talk about it all. The drama, the comedy, and the real reason : We&#39;re All In This Together.",1665703393,
