,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
3,Reclaiming Our Space,"How Black Feminists Are Changing the World, from the Tweets to the Streets",Feminista Jones,"""45 years ago, Black American feminists convened as architects for a new revolution that thrives today, finding its home and building its strengths within Black women's online communities and digital spaces""--",9780807055373,"Reclaiming Our Space How Black Feminists Are Changing the World, from the Tweets to the Streets"
5,A Village Goes Mobile,"Telephony, Mediation, and Social Change in Rural India",Sirpa Tenhunen,"""This book examines how mobile telephony contributes to social change in rural India on the basis of ethnographic fieldwork. The book investigates how the use of mobile phones has influenced economic, political and social relationships including gender relationships, and how these new social constellations relate to culture and development"" --",9780190630270,"A Village Goes Mobile Telephony, Mediation, and Social Change in Rural India"
7,Gender Norms and Intersectionality,"Connecting Race, Class and Gender",Riki Wilchins,"This book provides a starting point for a long overdue movement to elevate ""applied gender studies"", providing both a reference and guide for researchers, students, policymakers, funders, non-profit leaders, and grassroots advocates.",1786610841,"Gender Norms and Intersectionality Connecting Race, Class and Gender"
9,Intersectionality,"Concepts, Perspectives and Challenges",Thomas Moeller,"Intersectionality: Concepts, Perspectives and Challenges first presents a study wherein two students, one male and one female, were interviewed about their transition from a historically black college and university undergraduate program to a predominantly white institution for their graduate studies in biochemistry. The students had similar undergraduate experiences and both shared feelings of isolation, the drawbacks of academic rigor in graduate STEM programs, and the need to represent both themselves and their race. Next, the authors explore narrative responses of bisexual Latinx women and, through an intersectionality lens, adapted the minority stress model to include their experiences. This study further supports the need for intersectional minority stress research and a necessary focus on sexually marginalized bisexual Latinx women. The closing chapter summarizes the way in which intersectionality has been at the center of both feminist debates and the theory of gender. In the United States, Canada and Europe, it has achieved a hegemonic status strengthened by its multiple possible applications.",1536171107,"Intersectionality Concepts, Perspectives and Challenges"
11,Excluded Within,The (un)intelligibility of Radical Political Actors,Sina Kramer,"Why are some claims seen or heard as political claims, while others are not? Why are some people not seen or heard as political agents? This book takes up a range of cases -- including those of Antigone, Claudette Colvin and Rosa Parks, the 1992 Los Angeles riots, and the Black Lives Matter movement -- to better understand who counts as a political actor, and how we understand political belonging and the contestation of exclusion. Excluded Within articulates who we are by virtue of who we exclude, and what claims we cannot see, hear, or understand.",0190626003,Excluded Within The (un)intelligibility of Radical Political Actors
13,Intersectionality in Digital Humanities,,Barbara Bordalejo,"As digital humanities has expanded in scopeand content, questions of how to negotiatethe overlapping influences of race, class,gender, sexuality, nation, and otherdimensions that shape data, archives, andmethodologies have come to the fore. Takingup these concerns, the authors in this volumeexplore their effects on the methodological,political, and ethical practices of digitalhumanities.",1641890509,
15,The Local Rebel : Issue 02 - Educate And Empower,,Aisyah Amir,,OCLC:1038192235,
16,Intersectional Discrimination,,Shreya Atrey,"This book examines the concept of intersectionality as it pertains to discrimination and discrimination law in a number of jurisdictions, including the UK, US, Canada, South Africa, India, the EU, and in international law.",019188328X,
21,"Gender, Migration, Transnationalisierung",Eine intersektionelle Einführung,Helma Lutz,"Biographical note: Helma Lutz ist Professorin für Frauen- und Geschlechterforschung am Fachbereich Gesellschaftswissenschaft der Goethe-Universität Frankfurt/Main. Ihre Arbeitsschwerpunkte sind Geschlecht und Migration, Intersektionalität, Rassismus- und Ethnizitäts- sowie Biographieforschung. Anna Amelina ist Professorin für Interkulturalität an der Technischen Universität Cottbus-Senftenberg. Ihre Forschungsschwerpunkte sind transnationale Migration, Geschlechterverhältnisse und Intersektionalitätsforschung, Soziologie sozialer Ungleichheiten sowie Transnationalisierungsforschung.",3837637964,"Gender, Migration, Transnationalisierung Eine intersektionelle Einführung"
38,Trans Studies,The Challenge to Hetero/homo Normativities,Yolanda Martínez-San Miguel,"Written in the midst of a moment when transgender people are enjoying unprecedented visibility, this interdisciplinary essay collection brings together leading experts in the burgeoning field of Trans Studies to ask tough questions about what gender and embodiment mean in the twenty-first century. Both theoretically sophisticated and deeply grounded in real-world concerns, Trans Studies bridges the gap between activism and academia by offering examples of cutting-edge activism, research, and pedagogy.",0813576407,Trans Studies The Challenge to Hetero/homo Normativities
40,The Wafer,,Joseph T. McFadden,"Joan Pully, a courier for the network of organs UNOS, has been targeted as the perfect donor for a black market organization, legation. Joan is only aware that someone is pursuing her but not that a $10 million price tag has been placed on her perfect body, especially her heart.",0881001244,
43,"Man, i Feel Like a Woman",,Shelley Withington,"In this photo book, the author chronicles her father's transition from a man (Stephen Harris) to become a woman (Evie Harris).",0368536483,
47,Expert_innen des Geschlechts?,Zum Wissen über Inter*- und Trans*-Themen,Kim Scheunemann,"""Das Buch [...] wirft die richtigen Fragen zur Bewertung von Wissen im professionellen Kontext [zum Wissen uber Inter - und Trans -Themen] auf. ES ist vor allem eine Anregung an Professionelle, das Wissen der Klient_innen und der Selbstorganisationen von Trans und Inter ernst zu nehmen, eigenes Nichtwissen zu erkennen und Weisen des Umgangs mit den eigenen Unsicherheiten zu entwickeln."" Heinz-Jurgen VoSS, www.Socialnet.De, 07.02.2018",383764149X,Expert_innen des Geschlechts? Zum Wissen über Inter*- und Trans*-Themen
53,"Misogyny, Toxic Masculinity, and Heteronormativity in Post-2000 Popular Music",,Glenn Fosbraey,"This book presents chapters that have been brought together to consider the multitude of ways that post-2000 popular music impacts on our cultures and experiences. The focus is on misogyny, toxic masculinity, and heteronormativity. The authors of the chapters consider these three concepts in a wide range of popular music styles and genres; they analyse and evaluate how the concepts are maintained and normalized, challenged, and rejected. The interconnected nature of these concepts is also woven throughout the book. The book also seeks to expand the idea of popular music as understood by many in the West to include popular music genres from outside western Europe and North America that are often ignored (for example, Bollywood and Italian hip hop), and to bring in music genres that are inarguably popular, but also sit under other labels such as rap, metal, and punk.",9783030651893,
55,Young Men Navigating Contemporary Masculinities,,Karla Elliott,"This book explores navigations of contemporary masculinities amongst young, advantaged men living in Australia and Germany. Taking an intersectional approach, the book argues that more open, egalitarian forms of masculinity, such as caring masculinities, are fostered by marginalised groups. Elliott investigates ways in which privileged men can move towards this openness alongside ongoing expressions of more traditional or regressive masculinity. Drawing on interviews, the book explores these navigations and the ways in which they are bound up with themes such as work, mobility, relationships, the privileges and pressures of masculinities, and the contradictions and difficulties of masculinities under neoliberalism. What is revealed is the need for change at individual, collective and structural levels, with care and openness amongst men as a means of achieving this change. Young Men Navigating Contemporary Masculinities will be of interest to students and scholars in fields such as sociology, gender studies, critical studies on men and masculinities, and cultural studies.",9783030363956,
57,Women Writing Fancy,Authorship and Autonomy from 1611 to 1812,Maura Smyth,"This book brings to the foreground the largely forgotten “Fancy” of the seventeenth and eighteenth centuries and follows its traces as they extend into the nineteenth and twentieth. Trivialized for its flightiness and femininity, Fancy nonetheless provided seventeenth- and eighteenth-century women writers such as Margaret Cavendish, Aphra Behn, Delarivier Manley, Eliza Haywood, and Anna Barbauld a mode of vision that could detect flaws in the Enlightenment’s patriarchal systems and glimpse new, female-authored worlds and genres. In carving out unreal, fanciful spaces within the larger frame of patriarchal culture, these women writers planted Fancy—and, with it, female authorial invention—at the cornerstone of Enlightenment empirical endeavor. By finally taking Fancy seriously, this book offers an alternate genealogy of female authorship and a new framework for understanding modernity’s triumph.",9783319494272,Women Writing Fancy Authorship and Autonomy from 1611 to 1812
59,"The Oxford Handbook of Theology, Sexuality, and Gender",,Adrian Thatcher,"The Oxford Handbook of Theology, Sexuality, and Gender presents an unrivalled overview of the theological study of sexuality and gender. These topics are not merely contentious and pervasive: they have escalated in importance within theology. Theologians increasingly agree that even the very doctrine of God cannot be contemplated without a prior grappling with each. Featuring 41 newly-commissioned essays, written by some of the foremost scholars in the discipline, this authoritative collection presents and develops the latest thinking in these areas. Divided into eight thematic sections, the Handbook explores: methodological approaches; contributions from neighbouring disciplines; sexuality and gender in the Bible, and in the Christian tradition; controversies within the churches, and within four of the non-Christian faiths; and key concepts and issues. The final, extended section considers theology in relation to married people and families; gay and lesbian people; bisexual people; intersex and transgender people; disabled people; and to friends. This volume is an essential reference for students and scholars, which will also stimulate further research.",9780199664153,
