,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
0,Gendered Lives,,Julia T. Wood,"Well-written and well-researched by leading gender communication scholars Julia T. Wood and Natalie Fixmer-Oraiz, GENDERED LIVES: COMMUNICATION, GENDER, & CULTURE, 13th Edition, provides the latest theories, research and pragmatic information to help readers think critically about gender and society. The book demonstrates the multiple and often interactive ways a person's views of masculinity and femininity are shaped within contemporary culture. It offers balanced coverage of different sexes, genders and sexual orientations. Reflecting emerging trends and issues, the new edition includes expansive coverage of men's issues, an integrated emphasis on social media and a stronger focus on gender in the public sphere. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",9781337671040,
2,The Gendered Society Reader,,Michael S. Kimmel,"The battle between the sexes has raged on for centuries; however, are men and women really from different planets? In The Gendered Society Reader, Fourth Edition, coeditors Michael Kimmel and Amy Aronson pull together an array of dynamic voices--both male and female, classic and contemporary--to examine various interpretations of gender. These lively, in-depth readings explore gender discourse over a wide range of disciplines, focusing primarily on two central issues: difference and domination. Carefully balanced to reflect the diversity of its subject, this text addresses provocative and fundamental questions including: * How are males and females different? * What do these differences mean? * How do various cultures and religions interpret gender? * Why do societies continue to differentiate people on the basis of gender? * Why is it that almost every known society is based on male domination? This reader mirrors the intuitive structure of Kimmel's companion volume, The Gendered Society, Fourth Edition. The first sections are arranged by discipline, presenting analyses of theoretical perspectives and research inquiries. The final sections examine the often fraught relationships between gender and education, the workplace, the media, the body, the family, love, sex, and violence. The celebrated contributors include Peggy Reeves Sanday, Judith Lorber, Robert M. Sapolsky, Scott Coltrane, and many more. Thoroughly updated with rich and timely new material, the fourth edition features twenty-one new selections, including three essays in a new section on religion, four new selections on gender and the media, and a new article on non-heterosexual families. This edition is also supplemented by an Instructor's Manual/Test Bank, which includes discussion questions. A popular and now classic text, The Gendered Society Reader, Fourth Edition, is both informative and entertaining; it is required reading for students, scholars, and anyone curious about the fascinating study of gender. Michael Kimmel's textbook, The Gendered Society, Fourth Edition (OUP, 2010), provides a perfect complement for classroom use. PACKAGE the textbook and the reader together and save your students 20%! Please call Customer Service at 800.280.0280 for details.",STANFORD:36105134516793,
3,The Gendered Object,,Pat Kirkham,"From Barbie and Action Man to guns via bicycles, perfume and trainers, The gendered object is an intriguing collection of new writing on the way in which objects of everyday life are made socially acceptable and 'appropriate' for women or men. What does the Strawberry Shortcake doll tell us about views of the adult female body? When does the necktie become anti-establishment? How does a woman relate to a washing machine? And can a hearing aid really be gendered? These questions are answered and many others raised in this entertaining study of design for men and women.",0719044758,
5,Women in the Crucible of Conquest,"The Gendered Genesis of Spanish American Society, 1500-1600",Karen Vieira Powers,"The evidence of women in the Americas is conspicuously absent from most historical syntheses of the Spanish invasion and early colonization of the New World. Karen Powers's ethnohistoric account is the first to focus on non-military incidents during this transformative period. As she shows, native women's lives were changed dramatically. Women in the Crucible of Conquestuncovers the activities and experiences of women, shows how the intersection of gender, race, and class shaped their lives, and reveals the sometimes hidden ways they were integrated into social institutions. Powers's premise is that women were demoted in status across race and class and that some women resisted this trend. She describes the ways women made spaces for themselves in colonial society, in the economy, and in convents as well as other religious arenas, such as witchcraft. She shows how violence and intimidation were used to control women and writes about the place of sexual relations, especially miscegenation, in the forging of colonial social and economic structures. From Karen Vieira Powers's Introduction: ""During the colonization process, indigenous women suffered, perhaps, the most precipitous decline in status of any group of colonial women. For this reason, and because they were numerically superior to all other women, I have chosen to make them the heart of this book. Nevertheless, the work also treats Spanish women, racially mixed women (mestizas, mulattas, zambas, etc.), and African women.""",0826335195,"Women in the Crucible of Conquest The Gendered Genesis of Spanish American Society, 1500-1600"
7,The Gendered Society,,Michael S. Kimmel,"Thoroughly updated and revised, the third edition of The Gendered Society explores current thinking about gender, both inside academia and in our everyday lives. Michael S. Kimmel challenges the claim that gender is limited to women's experiences--his compelling and balanced study of gender includes both masculine and feminine perspectives. Part 1 examines the latest work in biology, anthropology, psychology, and sociology; Part 2 provides an original analysis of the gendered worlds of family, education, and work; and Part 3 explores gender interactions, including friendship and love, sexuality, and violence. Kimmel makes three bold and persuasive statements about gender. First, he demonstrates that gender differences are often extremely exaggerated; in fact, he argues that men and women have much more in common than we think they do. Kimmel also challenges the pop psychologists who suggest that gender difference is the cause of inequality between the sexes; instead, he reveals that the reverse is true--gender inequality itself is the cause of the differences between men and women. Finally, he illustrates that gender is not merely an element of individual identity, but a socially constructed institutional phenomenon. A new chapter on media examines the portrayal of gender in one of the most powerful--and provocative--social institutions. Of particular interest to students, Kimmel's analysis of this dynamic, image-driven industry makes the study of gender relevant in an immediate and tangible way. Essential reading for both students and scholars, The Gendered Society is an authoritative, incisive, and lively statement about contemporary gender relations from one of the country's foremost thinkers on the subject. Kimmel's companion text,The Gendered Society Reader, Third Edition (OUP, 2008), provides a perfect complement for classroom use.",UOM:39015079163773,
8,Gendered Modernisms,American Women Poets and Their Readers,Margaret Dickie,"Gendered, modernism becomes sexier, more violent, more personal, more subversive.",0812233123,Gendered Modernisms American Women Poets and Their Readers
12,Gendered Mobilities,,Mr Tanu Priya Uteng,"Being socially and geographically mobile is generally seen as one of the central aspects of women's wellbeing. Alongside health, education and political participation, mobility is indispensable in order for women to reach goals such as agency and freedom. Building on new philosophical underpinnings of 'mobility', whereby society is seen to be framed by the convergence of various mobilities, this volume focuses on the intersection of mobility, social justice and gender. The authors reflect on five highly interdependent mobilities that form and reform social life: ∗ The origin, divisions and implication of physical travel for work, leisure, family life, migration and escape. ∗ Physical movement of goods and their gendered impacts. ∗ The gendered content of imagined travel through televisual images. ∗ Virtual travel via the Internet. ∗ Communicative travel through person-to-person messages via letters, telephone, fax and mobile phone. This volume covers an entire range of social, cultural, religious, economic, ethnic and political factors and processes.",9781409487623,
16,Gendered Words,Sentiments and Expression in Changing Rural China,Fei-wen Liu,"Built on twenty years of fieldwork in rural Jiangyong of Hunan Province in south China, this book explores the world's only gender-defined and now disappearing ""women's script"" known as nüshu. What drove peasant women to create a script of their own and write, and how do those writings throw new light on how gender is addressed in epistemology and historiography and how the unprivileged social class uses marginalized forms of expression to negotiate with the dominant social structure. Further, how have the politics of salvaging this disappearing centuries-old cultural heritage molded a new poetics in contemporary society? This book explores nüshu in conjunction with the local women's singing tradition (nüge), tied into the life narratives of four women born in the 1910s, 1930s, and 1960s respectively, each representative in her own way: a nüge singer (majority of Jiangyong women), a child bride (enjoying not much nüshu/nüge), the last living traditionally-trained nüshu writer, and a new-generation nüshu transmitter. Altogether, their stories unfold peasant women's lifeworlds and forefronts various aspects of China's changing social milieu over the past century. They show how nüshu/nüge-registering women's sense and sensibilities and providing agency to subjects who have been silenced by history-constitute a reflexive social field whereby women share life stories to expand the horizon of their personal worldviews and probe beneath the surface of their existence for new inspiration in their process of becoming. With the concept of ""expressive depths,"" this book opens a new vista on how women express themselves through multiple forms that simultaneously echo and critique the mainstream social system and urges a rethinking of how forms of expression define and confine the voice carried. Examining the multiple efforts undertaken by scholars, local officials, and cultural entrepreneurs to revive nüshu which have ironically threatened to disfigure its true face, this book poses a question of whither nüshu? Should it be transformed, or has it reached a perfect end point from which to fade into history?",9780190272913,Gendered Words Sentiments and Expression in Changing Rural China
18,Gendered Lives,Intersectional Perspectives,Gwyn Kirk,"Gendered Lives: Intersectional Perspectives, Seventh Edition, is an interdisciplinary text-reader that provides an introduction to women's and gender studies within a global context by examining the diversity of US women's lives across categories of race-ethnicity, class, sexuality, gender expression, disability, age, and immigration status. Substantial chapter introductions provide statistical information and explanations of key concepts and ideas as a context for the reading selections. Each chapter includes reading questions and suggestions for taking action, to help students link what they learn to their own lives and to the world around them.",019092828X,Gendered Lives Intersectional Perspectives
20,The Gendered Society Reader,,Amy Aronson,"In The Gendered Society Reader, Sixth Edition, coeditors Michael Kimmel and Amy Aronson pull together an array of dynamic voices--both male and female, classic and contemporary--to examine various interpretations of gender. These lively, in-depth readings explore gender discourse over a wide range of disciplines, focusing primarily on two central issues: difference and domination. Carefully balanced to reflect the diversity of its subject, this text addresses provocative and fundamental questions including: * How are males and females different? * What do these differences mean? * How to various cultures and religions interpret gender? * Why do societies continue to differentiate people on the basis of gender? * Why is it that almost every known society is based on male domination? Thoroughly updated with rich and timely material, the sixth edition is the perfect complement to Michael Kimmel's textbook, The Gendered Society, Sixth Edition (OUP, 2016).",0190260378,
