,kind,totalItems,items__kind,items__id,items__etag,items__selfLink,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__publisher,items__volumeInfo__publishedDate,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__type,items__volumeInfo__industryIdentifiers__identifier,items__volumeInfo__readingModes__text,items__volumeInfo__readingModes__image,items__volumeInfo__pageCount,items__volumeInfo__printType,items__volumeInfo__maturityRating,items__volumeInfo__allowAnonLogging,items__volumeInfo__contentVersion,items__volumeInfo__panelizationSummary__containsEpubBubbles,items__volumeInfo__panelizationSummary__containsImageBubbles,items__volumeInfo__imageLinks__smallThumbnail,items__volumeInfo__imageLinks__thumbnail,items__volumeInfo__language,items__volumeInfo__previewLink,items__volumeInfo__infoLink,items__volumeInfo__canonicalVolumeLink,items__saleInfo__country,items__saleInfo__saleability,items__saleInfo__isEbook,items__accessInfo__country,items__accessInfo__viewability,items__accessInfo__embeddable,items__accessInfo__publicDomain,items__accessInfo__textToSpeechPermission,items__accessInfo__epub__isAvailable,items__accessInfo__pdf__isAvailable,items__accessInfo__webReaderLink,items__accessInfo__accessViewStatus,items__accessInfo__quoteSharingAllowed,items__searchInfo__textSnippet,items__volumeInfo__categories__-,items__volumeInfo__averageRating,items__volumeInfo__ratingsCount,items__saleInfo__listPrice__amount,items__saleInfo__listPrice__currencyCode,items__saleInfo__retailPrice__amount,items__saleInfo__retailPrice__currencyCode,items__saleInfo__buyLink,items__saleInfo__offers__finskyOfferType,items__saleInfo__offers__|,items__saleInfo__offers__|__amountInMicros,items__saleInfo__offers__|__currencyCode,items__accessInfo__epub__acsTokenLink,items__volumeInfo__authors__002,items__accessInfo__pdf__acsTokenLink,items__volumeInfo__authors__003,items__volumeInfo__authors__004
0,books#volumes,1.0,books#volume,YwhKswEACAAJ,bWzgeTmPSLM,https://www.googleapis.com/books/v1/volumes/YwhKswEACAAJ,The Bimbo Has More Brains,Surviving Political Correctness,Cathy Burnham Martin,Quiet Thunder Publishing,2018-01-25,"Tired of haters spewing hatred at people they call haters? Sick of free speech only for those who agree with someone? Fed up with the lack of civility in our civil discourse? Done with all the creepy hypersensitivity to possibly wounded feelings? This award-winning journalist has had it with fat-shaming and all-shaming, seething sexual assault in the workplace, and people who scream others down because they think differently. She reveals ways to survive and thrive in this world that demands political correctness... or what she calls political quackiness. Part memoir and part life lessons, Martin celebrates everyone who stands up to bullies, while she examines political spectacles, and reveals why we are in the New American Revolution. She empowers the independent spirit in all of us, telling it like it is... from the fact that personal rights carry personal responsibility to today's rampant racism, divisiveness, and the addiction epidemic plaguing our nation. Dashing double standards and stomping on stereotypes launched the 2016 hit ""The Bimbo Has Brains."" Readers loudly clamored for more political incorrectness, and Martin delivers! Call the PC Police, because there are no holds barred.",ISBN_10,1939220432,False,False,248.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=YwhKswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=YwhKswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=YwhKswEACAAJ&dq=isbn:9781939220431&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=YwhKswEACAAJ&dq=isbn:9781939220431&hl=&source=gbs_api,https://books.google.com/books/about/The_Bimbo_Has_More_Brains.html?hl=&id=YwhKswEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=YwhKswEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Part memoir and part life lessons, Martin celebrates everyone who stands up to bullies, while she examines political spectacles, and reveals why we are in the New American Revolution.",,,,,,,,,,,,,,,,,
2,books#volumes,1.0,books#volume,owIxDwAAQBAJ,zdp47EsP58w,https://www.googleapis.com/books/v1/volumes/owIxDwAAQBAJ,The Politically Incorrect Guide to Climate Change,,Marc Morano,Simon and Schuster,2018-02-26,"""The climate scare ends with this book."" —SEAN HANNITY ""This book arms every citizen with a comprehensive dossier on just how science, economics, and politics have been distorted and corrupted in the name of saving the planet."" —MARK LEVIN Less freedom. More regulation. Higher costs. Make no mistake: those are the surefire consequences of the modern global warming campaign waged by political and cultural elites, who have long ago abandoned fact-based science for dramatic fearmongering in order to push increased central planning. The Politically Incorrect Guide to Climate Change gives a voice -- backed by statistics, real-life stories, and incontrovertible evidence -- to the millions of ""deplorable"" Americans skeptical about the multibillion dollar ""climate change"" complex, whose claims have time and time again been proven wrong.",ISBN_13,9781621577577,True,False,256.0,BOOK,NOT_MATURE,True,1.5.6.0.preview.2,False,False,http://books.google.com/books/content?id=owIxDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=owIxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=owIxDwAAQBAJ&printsec=frontcover&dq=isbn:9781621577577&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=owIxDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=owIxDwAAQBAJ,NL,FOR_SALE,True,NL,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,False,http://play.google.com/books/reader?id=owIxDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"*Updated to include new section on the Green New Deal!* &quot;The climate scare ends with this book.&quot; —SEAN HANNITY &quot;This book arms every citizen with a comprehensive dossier on just how science, economics, and politics have been distorted and ...",Political Science,4.0,1.0,15.02,EUR,15.02,EUR,https://play.google.com/store/books/details?id=owIxDwAAQBAJ&rdid=book-owIxDwAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,15020000.0,EUR,http://books.google.nl/books/download/The_Politically_Incorrect_Guide_to_Clima-sample-epub.acsm?id=owIxDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,
4,books#volumes,1.0,books#volume,Z5rRV8sGjmcC,YZelTIXwHT4,https://www.googleapis.com/books/v1/volumes/Z5rRV8sGjmcC,The Killing of History,How Literary Critics and Social Theorists are Murdering Our Past,Keith Windschuttle,,2000,"According to the author, history in the late twentieth century is in the clutches of literary and social theorists who have little respect for or training in the discipline. The author believes that they deny the existence of truth and substitute radically chic theorizing for real knowledge about the past. The result is revolutionary and unprecedented: contemporary historians are increasingly obscuring the facts on which truth about the past is built. In this book, the author offers an exposé of these developments.",ISBN_10,1893554120,False,False,372.0,BOOK,NOT_MATURE,False,1.0.2.0.preview.0,False,False,http://books.google.com/books/content?id=Z5rRV8sGjmcC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Z5rRV8sGjmcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=Z5rRV8sGjmcC&dq=isbn:9781893554122&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=Z5rRV8sGjmcC&dq=isbn:9781893554122&hl=&source=gbs_api,https://books.google.com/books/about/The_Killing_of_History.html?hl=&id=Z5rRV8sGjmcC,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=Z5rRV8sGjmcC&hl=&printsec=frontcover&source=gbs_api,NONE,False,"The result is revolutionary and unprecedented: contemporary historians are increasingly obscuring the facts on which truth about the past is built. In this book, the author offers an exposé of these developments.",History,4.0,4.0,,,,,,,,,,,,,,
6,books#volumes,1.0,books#volume,ecJBAAAACAAJ,ZRwUogIsr7o,https://www.googleapis.com/books/v1/volumes/ecJBAAAACAAJ,Coming Out Straight,Understanding and Healing Homosexuality,Richard Cohen,OakHill Press,2005-02-28,"Everyone knows someone with a homosexual orientation: a neighbor, co-worker, relative or friend. ""Coming Out Straight"" sheds light on a long misunderstood subject. Questions such as what causes same-sex attractions and how one can transition from gay to straight are addressed. Illustrated by those who successfully transitioned, this book is engrossing, illuminating, and for many, an answer to their prayers. Although it may create controversy, it is destined to heal many lives - a loved one...or maybe yours!",ISBN_10,1886939772,False,False,280.0,BOOK,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=ecJBAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=ecJBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=ecJBAAAACAAJ&dq=isbn:9781886939776&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=ecJBAAAACAAJ&dq=isbn:9781886939776&hl=&source=gbs_api,https://books.google.com/books/about/Coming_Out_Straight.html?hl=&id=ecJBAAAACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=ecJBAAAACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Illustrated by those who successfully transitioned, this book is engrossing, illuminating, and for many, an answer to their prayers. Although it may create controversy, it is destined to heal many lives - a loved one...or maybe yours!",Psychology,1.0,1.0,,,,,,,,,,,,,,
8,books#volumes,1.0,books#volume,9uuVxQEACAAJ,q5RbcWzLsNQ,https://www.googleapis.com/books/v1/volumes/9uuVxQEACAAJ,Political Correctness (PC) Is BS,,Charles Togias,Lulu.com,2019-04-29,"Highlighting the dangers of Democratic Socialism to the stability and future of the United States. How far left activists, judicial misconduct and political corruption is ruining America",ISBN_10,0359591345,False,False,314.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=9uuVxQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=9uuVxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=9uuVxQEACAAJ&dq=isbn:9780359591343&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=9uuVxQEACAAJ&dq=isbn:9780359591343&hl=&source=gbs_api,https://books.google.com/books/about/Political_Correctness_PC_Is_BS.html?hl=&id=9uuVxQEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=9uuVxQEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Highlighting the dangers of Democratic Socialism to the stability and future of the United States. How far left activists, judicial misconduct and political corruption is ruining America",History,,,,,,,,,,,,,,,,
10,books#volumes,1.0,books#volume,-Yk4DgAAQBAJ,lSHlU283smg,https://www.googleapis.com/books/v1/volumes/-Yk4DgAAQBAJ,Racial Paranoia,The Unintended Consequences of Political Correctness The New Reality of Race in America,John L. Jackson Jr.,Hachette UK,2009-03-12,"The Civil War put an end to slavery, and the civil rights movement put an end to legalized segregation. Crimes motivated by racism are punished with particular severity, and Americans are more sensitive than ever about the words they choose when talking about race. And yet America remains divided along the color line. Acclaimed scholar John L. Jackson, Jr., identifies a new paradigm of race relations that has emerged in the wake of the legal victories of the civil rights era: racial paranoia. We live in an age of racial equality punctuated by galling examples of ongoing discrimination-from the federal government's inadequate efforts to protect the predominantly black population of New Orleans to Michael Richards's outrageous outburst. Not surprisingly, African-Americans distrust the rhetoric of political correctness, and see instead the threat of racism lurking below every white surface. Conspiracy theories abound and racial reconciliation seems near to impossible. In Racial Paranoia, Jackson explains how this paranoia is cultivated, transferred, and exaggerated; how it shapes our nation and undermines the goal of racial equality; and what can be done to fight it.",ISBN_13,9780786746477,True,False,288.0,BOOK,NOT_MATURE,False,1.5.5.0.preview.2,False,False,http://books.google.com/books/content?id=-Yk4DgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=-Yk4DgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=-Yk4DgAAQBAJ&printsec=frontcover&dq=isbn:9780786746477&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=-Yk4DgAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=-Yk4DgAAQBAJ,NL,FOR_SALE,True,NL,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,False,http://play.google.com/books/reader?id=-Yk4DgAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"And yet America remains divided along the color line. Acclaimed scholar John L. Jackson, Jr., identifies a new paradigm of race relations that has emerged in the wake of the legal victories of the civil rights era: racial paranoia.",Social Science,,,7.99,EUR,7.99,EUR,https://play.google.com/store/books/details?id=-Yk4DgAAQBAJ&rdid=book--Yk4DgAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,7990000.0,EUR,http://books.google.nl/books/download/Racial_Paranoia-sample-epub.acsm?id=-Yk4DgAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,
12,books#volumes,1.0,books#volume,3xGyxgEACAAJ,/OlrCqtd0A8,https://www.googleapis.com/books/v1/volumes/3xGyxgEACAAJ,Political Correctness,A Deceptive and Dangerous Worldview,Richard Hawkins,,2019-04-18,Understanding the true history and intent of the Political Correctness movement in America.,ISBN_10,1095069675,False,False,182.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,,,un,http://books.google.nl/books?id=3xGyxgEACAAJ&dq=isbn:9781095069677&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=3xGyxgEACAAJ&dq=isbn:9781095069677&hl=&source=gbs_api,https://books.google.com/books/about/Political_Correctness.html?hl=&id=3xGyxgEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=3xGyxgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,Understanding the true history and intent of the Political Correctness movement in America.,,,,,,,,,,,,,,William Lind,,,
14,books#volumes,1.0,books#volume,uBL6zQEACAAJ,c1Q1n9Avd+M,https://www.googleapis.com/books/v1/volumes/uBL6zQEACAAJ,Political Correctness Does More Harm Than Good,"How to Identify, Debunk, and Dismantle Dangerous Ideas",Douglas Kruger,Emerald House Group,2020-10-27,"Political Correctness Does More Harm Than Good! It's a surprising assertion. Isn't PC culture all about kindness? About protecting victimized groups? If you trace the history of political correctness, the answer is emphatically no. It has other goals in mind and has since its inception with thinkers like Rousseau. Author Douglas Kruger traces the unfolding ideology from its dark genesis (the French Revolution and subsequent terror) through its various incarnations- Marxism, relativism, post-modernism, and all the way to today's identity-politics. He points out the flaws, fallacies, and in many cases, the body-counts these ideologies have wracked up. Uniquely, this book then goes one step further. It is not merely descriptive history; it is not just explanatory philosophy. This is a debate guide, a how-to manual for those interested in attacking these harmful ideas head on. Do you know how to articulate what is wrong with ""woke"" arguments? Do you know how to defend the Western tradition against relentless onslaught from the PC-Police? Here is how, step by step and argument by argument. Become a master at identifying, debunking, and dismantling dangerous ideas. Add your voice to the culture wars and learn precisely how to fight for tried and tested Western values-values like science, democracy, logic, rule of law, and the Judeo-Christian tradition of human rights and values. As it turns out, you can have truth, or you can have political correctness, but you can't have both. Award-winning speaker and author Douglas Kruger also provides you with supplemental ""how-to"" videos on his site www.BreakingWoke.com.",ISBN_10,164960081X,False,False,452.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=uBL6zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=uBL6zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.nl/books?id=uBL6zQEACAAJ&dq=isbn:9781649600813&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=uBL6zQEACAAJ&dq=isbn:9781649600813&hl=&source=gbs_api,https://books.google.com/books/about/Political_Correctness_Does_More_Harm_Tha.html?hl=&id=uBL6zQEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=uBL6zQEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Uniquely, this book then goes one step further. It is not merely descriptive history; it is not just explanatory philosophy. This is a debate guide, a how-to manual for those interested in attacking these harmful ideas head on.",,,,,,,,,,,,,,,,,
16,books#volumes,1.0,books#volume,Lz3DDwAAQBAJ,/TL/87sT+B0,https://www.googleapis.com/books/v1/volumes/Lz3DDwAAQBAJ,The Breakdown of Higher Education,"How It Happened, the Damage It Does, and What Can Be Done",John M. Ellis,Encounter Books,2020-03-17,"A series of near-riots on campuses aimed at silencing guest speakers has exposed the fact that our universities are no longer devoted to the free exchange of ideas in pursuit of truth. But this hostility to free speech is only a symptom of a deeper problem, writes John Ellis. Having watched the deterioration of academia up close for the past fifty years, Ellis locates the core of the problem in a change in the composition of the faculty during this time, from mildly left-leaning to almost exclusively leftist. He explains how astonishing historical luck led to the success of a plan first devised by a small group of activists to use college campuses to promote radical politics, and why laws and regulations designed to prevent the politicizing of higher education proved insufficient. Ellis shows that political motivation is always destructive of higher learning. Even science and technology departments are not immune. The corruption of universities by radical politics also does wider damage: to primary and secondary education, to race relations, to preparation for the workplace, and to the political and social fabric of the nation. Commonly suggested remedies—new free-speech rules, or enforced right-of-center appointments—will fail because they don’t touch the core problem, a controlling faculty majority of political activists with no real interest in scholarship. This book proposes more drastic and effective reform measures. The first step is for Americans to recognize that vast sums of public money intended for education are being diverted to a political agenda, and to demand that this fraud be stopped.",ISBN_13,9781641770897,True,True,224.0,BOOK,NOT_MATURE,True,1.2.2.0.preview.3,False,False,http://books.google.com/books/content?id=Lz3DDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Lz3DDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=Lz3DDwAAQBAJ&printsec=frontcover&dq=isbn:9781641770897&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=Lz3DDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=Lz3DDwAAQBAJ,NL,FOR_SALE,True,NL,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=Lz3DDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,This book proposes more drastic and effective reform measures.,Education,,,26.99,EUR,18.89,EUR,https://play.google.com/store/books/details?id=Lz3DDwAAQBAJ&rdid=book-Lz3DDwAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,26990000.0,EUR,http://books.google.nl/books/download/The_Breakdown_of_Higher_Education-sample-epub.acsm?id=Lz3DDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,http://books.google.nl/books/download/The_Breakdown_of_Higher_Education-sample-pdf.acsm?id=Lz3DDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,
18,books#volumes,1.0,books#volume,AijuAAAAMAAJ,f3t0cWHXafs,https://www.googleapis.com/books/v1/volumes/AijuAAAAMAAJ,The Official Politically Correct Dictionary and Handbook,,Henry Beard,,1992,A humorous send-up of political correctness in dictionary form,OTHER,UOM:39015032918461,False,False,176.0,BOOK,NOT_MATURE,False,2.3.2.0.preview.0,False,False,http://books.google.com/books/content?id=AijuAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=AijuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=AijuAAAAMAAJ&dq=isbn:9780679741138&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=AijuAAAAMAAJ&dq=isbn:9780679741138&hl=&source=gbs_api,https://books.google.com/books/about/The_Official_Politically_Correct_Diction.html?hl=&id=AijuAAAAMAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=AijuAAAAMAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,A humorous send-up of political correctness in dictionary form,Humor,,,,,,,,,,,,,Christopher Cerf,,,
