,Unnamed: 0,kind,totalItems,items__kind,items__id,items__etag,items__selfLink,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__publisher,items__volumeInfo__publishedDate,year,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__type,items__volumeInfo__industryIdentifiers__identifier,items__volumeInfo__readingModes__text,items__volumeInfo__readingModes__image,items__volumeInfo__pageCount,items__volumeInfo__printType,items__volumeInfo__categories__-,items__volumeInfo__maturityRating,items__volumeInfo__allowAnonLogging,items__volumeInfo__contentVersion,items__volumeInfo__panelizationSummary__containsEpubBubbles,items__volumeInfo__panelizationSummary__containsImageBubbles,items__volumeInfo__imageLinks__smallThumbnail,items__volumeInfo__imageLinks__thumbnail,items__volumeInfo__language,items__volumeInfo__previewLink,items__volumeInfo__infoLink,items__volumeInfo__canonicalVolumeLink,items__saleInfo__country,items__saleInfo__saleability,items__saleInfo__isEbook,items__saleInfo__listPrice__amount,items__saleInfo__listPrice__currencyCode,items__saleInfo__retailPrice__amount,items__saleInfo__retailPrice__currencyCode,items__saleInfo__buyLink,items__saleInfo__offers__finskyOfferType,items__saleInfo__offers__|,items__saleInfo__offers__|__amountInMicros,items__saleInfo__offers__|__currencyCode,items__accessInfo__country,items__accessInfo__viewability,items__accessInfo__embeddable,items__accessInfo__publicDomain,items__accessInfo__textToSpeechPermission,items__accessInfo__epub__isAvailable,items__accessInfo__epub__acsTokenLink,items__accessInfo__pdf__isAvailable,items__accessInfo__webReaderLink,items__accessInfo__accessViewStatus,items__accessInfo__quoteSharingAllowed,items__searchInfo__textSnippet,items__volumeInfo__averageRating,items__volumeInfo__ratingsCount,items__accessInfo__pdf__acsTokenLink,items__volumeInfo__authors__002,items__volumeInfo__authors__003,Unnamed: 0.1,items__accessInfo__epub__downloadLink,items__accessInfo__pdf__downloadLink,items__volumeInfo__authors__004,items__volumeInfo__authors__005,items__volumeInfo__authors__006,items__volumeInfo__authors__007,items__volumeInfo__authors__008,items__volumeInfo__authors__009,items__volumeInfo__authors__010,items__volumeInfo__authors__011,items__volumeInfo__authors__012,items__volumeInfo__authors__013,items__volumeInfo__authors__014,items__volumeInfo__authors__015,items__volumeInfo__authors__016,items__volumeInfo__authors__017,items__volumeInfo__authors__018,items__volumeInfo__authors__019,items__volumeInfo__authors__020,items__volumeInfo__comicsContent,Unnamed: 0.1.1,items__volumeInfo__authors__-,"items__volumeInfo__description	","items__searchInfo__textSnippet	",title
0,0,books#volumes,1,books#volume,KE1EDwAAQBAJ,qWBLM38WKwE,https://www.googleapis.com/books/v1/volumes/KE1EDwAAQBAJ,How to Be Less Stupid About Race,"On Racism, White Supremacy, and the Racial Divide",Crystal Marie Fleming,Beacon Press,9/18/2018,2018,"A unique and irreverent take on everything that's wrong with our “national conversation about race”—and what to do about it How to Be Less Stupid About Race is your essential guide to breaking through the half-truths and ridiculous misconceptions that have thoroughly corrupted the way race is represented in the classroom, pop culture, media, and politics. Centuries after our nation was founded on genocide, settler colonialism, and slavery, many Americans are kinda-sorta-maybe waking up to the reality that our racial politics are (still) garbage. But in the midst of this reckoning, widespread denial and misunderstandings about race persist, even as white supremacy and racial injustice are more visible than ever before. Combining no-holds-barred social critique, humorous personal anecdotes, and analysis of the latest interdisciplinary scholarship on systemic racism, sociologist Crystal M. Fleming provides a fresh, accessible, and irreverent take on everything that’s wrong with our “national conversation about race.” Drawing upon critical race theory, as well as her own experiences as a queer black millennial college professor and researcher, Fleming unveils how systemic racism exposes us all to racial ignorance—and provides a road map for transforming our knowledge into concrete social change. Searing, sobering, and urgently needed, How to Be Less Stupid About Race is a truth bomb for your racist relative, friend, or boss, and a call to action for everyone who wants to challenge white supremacy and intersectional oppression. If you like Issa Rae, Justin Simien, Angela Davis, and Morgan Jerkins, then this deeply relevant, bold, and incisive book is for you.",ISBN_13,9.78081E+12,TRUE,FALSE,256,BOOK,Social Science,NOT_MATURE,TRUE,1.6.5.0.preview.2,FALSE,FALSE,http://books.google.com/books/content?id=KE1EDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=KE1EDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=KE1EDwAAQBAJ&printsec=frontcover&dq=isbn:9780807050781&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=KE1EDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=KE1EDwAAQBAJ,NL,FOR_SALE,TRUE,21.4,EUR,21.4,EUR,https://play.google.com/store/books/details?id=KE1EDwAAQBAJ&rdid=book-KE1EDwAAQBAJ&rdot=1&source=gbs_api,1,listPrice,21400000,EUR,NL,PARTIAL,TRUE,FALSE,ALLOWED,TRUE,http://books.google.nl/books/download/How_to_Be_Less_Stupid_About_Race-sample-epub.acsm?id=KE1EDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,FALSE,http://play.google.com/books/reader?id=KE1EDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,FALSE,A unique and irreverent take on everything that&#39;s wrong with our “national conversation about race”—and what to do about it How to Be Less Stupid About Race is your essential guide to breaking through the half-truths and ridiculous ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,ISBN_10,807050784,,,,,,,,,,,,,,,,,,,,,,,,,,retailPrice,21400000,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,books#volumes,1,books#volume,C4EBwgEACAAJ,eyiTj6QNPVI,https://www.googleapis.com/books/v1/volumes/C4EBwgEACAAJ,Say Her Name,,Zetta Elliott,Jump At The Sun,1/14/2020,2020,"Inspired by the #SayHerName campaign launched by the African American Policy Forum, these poems pay tribute to victims of police brutality as well as the activists insisting that Black Lives Matter. Elliott engages poets from the past two centuries to create a chorus of voices celebrating the creativity, resilience, and courage of Black women and girls. This collection features forty-nine powerful poems, four of which are tribute poems inspired by the works of Lucille Clifton, Audre Lorde, Nikki Giovanni, and Phillis Wheatley. This provocative collection will move every reader to reflect, respond-and act.",ISBN_10,1368045243,FALSE,FALSE,96,BOOK,Young Adult Nonfiction,NOT_MATURE,FALSE,preview-1.0.0,FALSE,FALSE,http://books.google.com/books/content?id=C4EBwgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=C4EBwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=C4EBwgEACAAJ&dq=isbn:9781368045247&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=C4EBwgEACAAJ&dq=isbn:9781368045247&hl=&source=gbs_api,https://books.google.com/books/about/Say_Her_Name.html?hl=&id=C4EBwgEACAAJ,NL,NOT_FOR_SALE,FALSE,,,,,,,,,,NL,NO_PAGES,FALSE,FALSE,ALLOWED,FALSE,,FALSE,http://play.google.com/books/reader?id=C4EBwgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,FALSE,"This collection features forty-nine powerful poems, four of which are tribute poems inspired by the works of Lucille Clifton, Audre Lorde, Nikki Giovanni, and Phillis Wheatley.",4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,books#volumes,1,books#volume,JjvwvQEACAAJ,vNKstkMvPtI,https://www.googleapis.com/books/v1/volumes/JjvwvQEACAAJ,Woke,A Guide to Social Justice,Titania McGrath,Constable,9/3/2019,2019,"'The book everyone's talking about' The Times 'Titania McGrath is a genius' Spectator 'Just as Bridget Jones was the embodiment of the anxiety-ridden Nineties feminist, a creation whose diary entries encapsulated all our hopes, fears and failures, so Titania McGrath is her millennial successor, a girl every bit as lost and confused, every bit as accurately observed - and equally, catastrophically, hilarious.' Sarah Vine, Daily Mail In Woke, Titania McGrath demonstrates how everybody can play their part in the pursuit of social justice. As a millennial icon on the forefront of online activism, Titania is uniquely placed to guide her readers through the often bewildering array of terminology and concepts that constitute twenty-first-century 'wokeness'. These new ideas often leave the general public bemused, particularly if they don't read the Guardian. Being woke is actually much easier than people think. As Titania demonstrates, anyone can be an activist. By simply adding a rainbow flag to your Facebook profile, or calling out an elderly person who doesn't understand what 'non-binary' means, you can change the world for the better. Indeed, social media has now made it possible to show how virtuous you are without having to do anything at all. Timely and indispensable, Titania's step-by-step guide will help you to become the woke person you need to be in an increasingly progressive world. In a non-patronising manner, Titania will explain why you are wrong about everything and how to become more like her.",ISBN_10,1472130847,FALSE,FALSE,160,BOOK,Humor,NOT_MATURE,FALSE,preview-1.0.0,FALSE,FALSE,http://books.google.com/books/content?id=JjvwvQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=JjvwvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=JjvwvQEACAAJ&dq=isbn:9781472130846&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=JjvwvQEACAAJ&dq=isbn:9781472130846&hl=&source=gbs_api,https://books.google.com/books/about/Woke.html?hl=&id=JjvwvQEACAAJ,NL,NOT_FOR_SALE,FALSE,,,,,,,,,,NL,NO_PAGES,FALSE,FALSE,ALLOWED,FALSE,,FALSE,http://play.google.com/books/reader?id=JjvwvQEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,FALSE,&#39;The book everyone&#39;s talking about&#39; The Times (Book of the Year) &#39;Titania McGrath is a genius&#39; Spectator (Book of the Year) &#39;Beautiful classic satire&#39; Ricky Gervais &#39;Hilarious . . . the most artful form of subtle parody&#39; Joe Rogan &#39;Just as ...,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,books#volumes,1,books#volume,6pNbDwAAQBAJ,KWz+4sscI3c,https://www.googleapis.com/books/v1/volumes/6pNbDwAAQBAJ,How to Be an Antiracist,,Ibram X. Kendi,One World,8/13/2019,2019,"#1 NEW YORK TIMES BESTSELLER • From the National Book Award–winning author of Stamped from the Beginning comes a “groundbreaking” (Time) approach to understanding and uprooting racism and inequality in our society—and in ourselves. “The most courageous book to date on the problem of race in the Western mind.”—The New York Times NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review • Time • NPR • The Washington Post • Shelf Awareness • Library Journal • Publishers Weekly • Kirkus Reviews Antiracism is a transformative concept that reorients and reenergizes the conversation about racism—and, even more fundamentally, points us toward liberating new ways of thinking about ourselves and each other. At its core, racism is a powerful system that creates false hierarchies of human value; its warped logic extends beyond race, from the way we regard people of different ethnicities or skin colors to the way we treat people of different sexes, gender identities, and body types. Racism intersects with class and culture and geography and even changes the way we see and value ourselves. In How to Be an Antiracist, Kendi takes readers through a widening circle of antiracist ideas—from the most basic concepts to visionary possibilities—that will help readers see all forms of racism clearly, understand their poisonous consequences, and work to oppose them in our systems and in ourselves. Kendi weaves an electrifying combination of ethics, history, law, and science with his own personal story of awakening to antiracism. This is an essential work for anyone who wants to go beyond the awareness of racism to the next step: contributing to the formation of a just and equitable society. Praise for How to Be an Antiracist “Ibram X. Kendi’s new book, How to Be an Antiracist, couldn’t come at a better time. . . . Kendi has gifted us with a book that is not only an essential instruction manual but also a memoir of the author’s own path from anti-black racism to anti-white racism and, finally, to antiracism. . . . How to Be an Antiracist gives us a clear and compelling way to approach, as Kendi puts it in his introduction, ‘the basic struggle we’re all in, the struggle to be fully human and to see that others are fully human.’ ”—NPR “Kendi dissects why in a society where so few people consider themselves to be racist the divisions and inequalities of racism remain so prevalent. How to Be an Antiracist punctures the myths of a post-racial America, examining what racism really is—and what we should do about it.”—Time",ISBN_13,9.78053E+12,TRUE,FALSE,320,BOOK,Political Science,NOT_MATURE,TRUE,1.7.6.0.preview.2,FALSE,FALSE,http://books.google.com/books/content?id=6pNbDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=6pNbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=6pNbDwAAQBAJ&printsec=frontcover&dq=isbn:9780525509295&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=6pNbDwAAQBAJ&dq=isbn:9780525509295&hl=&source=gbs_api,https://books.google.com/books/about/How_to_Be_an_Antiracist.html?hl=&id=6pNbDwAAQBAJ,NL,NOT_FOR_SALE,FALSE,,,,,,,,,,NL,PARTIAL,TRUE,FALSE,ALLOWED_FOR_ACCESSIBILITY,TRUE,http://books.google.nl/books/download/How_to_Be_an_Antiracist-sample-epub.acsm?id=6pNbDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,FALSE,http://play.google.com/books/reader?id=6pNbDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,FALSE,This is an essential work for anyone who wants to go beyond the awareness of racism to the next step: contributing to the formation of a just and equitable society.,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,books#volumes,1,books#volume,LMovDgAAQBAJ,6L1dMtFNgdM,https://www.googleapis.com/books/v1/volumes/LMovDgAAQBAJ,Why I’m No Longer Talking to White People About Race,The Sunday Times Bestseller,Reni Eddo-Lodge,Bloomsbury Publishing,6/1/2017,2017,"'Every voice raised against racism chips away at its power. We can't afford to stay silent. This book is an attempt to speak' The book that sparked a national conversation. Exploring everything from eradicated black history to the inextricable link between class and race, Why I'm No Longer Talking to White People About Race is the essential handbook for anyone who wants to understand race relations in Britain today. THE SUNDAY TIMES BESTSELLER WINNER OF THE BRITISH BOOK AWARDS NON-FICTION NARRATIVE BOOK OF THE YEAR 2018 FOYLES NON-FICTION BOOK OF THE YEAR BLACKWELL'S NON-FICTION BOOK OF THE YEAR WINNER OF THE JHALAK PRIZE LONGLISTED FOR THE BAILLIE GIFFORD PRIZE FOR NON-FICTION LONGLISTED FOR THE ORWELL PRIZE SHORTLISTED FOR A BOOKS ARE MY BAG READERS AWARD",ISBN_13,9.78141E+12,TRUE,TRUE,272,BOOK,Social Science,NOT_MATURE,TRUE,2.8.9.0.preview.3,FALSE,FALSE,http://books.google.com/books/content?id=LMovDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=LMovDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=LMovDgAAQBAJ&printsec=frontcover&dq=isbn:9781408870570&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=LMovDgAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=LMovDgAAQBAJ,NL,FOR_SALE,TRUE,12.13,EUR,8.25,EUR,https://play.google.com/store/books/details?id=LMovDgAAQBAJ&rdid=book-LMovDgAAQBAJ&rdot=1&source=gbs_api,1,listPrice,12130000,EUR,NL,PARTIAL,TRUE,FALSE,ALLOWED,TRUE,http://books.google.nl/books/download/Why_I_m_No_Longer_Talking_to_White_Peopl-sample-epub.acsm?id=LMovDgAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,TRUE,http://play.google.com/books/reader?id=LMovDgAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,FALSE,&#39;Every voice raised against racism chips away at its power. We can&#39;t afford to stay silent. This book is an attempt to speak&#39; The book that sparked a national conversation.,4.5,12,http://books.google.nl/books/download/Why_I_m_No_Longer_Talking_to_White_Peopl-sample-pdf.acsm?id=LMovDgAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,books#volumes,1,books#volume,AerMswEACAAJ,sRptP+HshEY,https://www.googleapis.com/books/v1/volumes/AerMswEACAAJ,And She Was,,Jessica Verdi,Scholastic Press,2018,2018,"When Dara finds her birth certificate, she is puzzled to find two strange names on it, but when her mother, Mellie, reveals that she is transgender and transitioned when Dara's biological mother died soon after Dara's birth, Dara is stunned and angry--and she sets off with her friend Sam, in search of the grandparents she never knew existed (and who may be able to fund her tennis career), and the family secrets she can only guess at.",ISBN_10,1338150537,FALSE,FALSE,368,BOOK,Young Adult Fiction,NOT_MATURE,FALSE,preview-1.0.0,FALSE,FALSE,http://books.google.com/books/content?id=AerMswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=AerMswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=AerMswEACAAJ&dq=isbn:9781338150537&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=AerMswEACAAJ&dq=isbn:9781338150537&hl=&source=gbs_api,https://books.google.com/books/about/And_She_Was.html?hl=&id=AerMswEACAAJ,NL,NOT_FOR_SALE,FALSE,,,,,,,,,,NL,NO_PAGES,FALSE,FALSE,ALLOWED,FALSE,,FALSE,http://play.google.com/books/reader?id=AerMswEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,FALSE,"Dara is stunned, devastated -- her mother has lied to her for her whole life. Dara takes off in search of her grandparents and her truth, her best friend Sam in tow. What she finds will challenge and surprise her more than she can imagine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,books#volumes,1,books#volume,6l4mDwAAQBAJ,nvr324fd2mI,https://www.googleapis.com/books/v1/volumes/6l4mDwAAQBAJ,When They Call You a Terrorist,A Black Lives Matter Memoir,Patrisse Khan-Cullors,St. Martin's Press,1/16/2018,2018,"THE INSTANT NEW YORK TIMES BESTSELLER. New York Times Editor’s Pick. Library Journal Best Books of 2019. TIME Magazine's ""Best Memoirs of 2018 So Far."" O, Oprah’s Magazine’s “10 Titles to Pick Up Now.” Politics & Current Events 2018 O.W.L. Book Awards Winner The Root Best of 2018 ""This remarkable book reveals what inspired Patrisse's visionary and courageous activism and forces us to face the consequence of the choices our nation made when we criminalized a generation. This book is a must-read for all of us."" - Michelle Alexander, New York Times bestselling author of The New Jim Crow A poetic and powerful memoir about what it means to be a Black woman in America—and the co-founding of a movement that demands justice for all in the land of the free. Raised by a single mother in an impoverished neighborhood in Los Angeles, Patrisse Khan-Cullors experienced firsthand the prejudice and persecution Black Americans endure at the hands of law enforcement. For Patrisse, the most vulnerable people in the country are Black people. Deliberately and ruthlessly targeted by a criminal justice system serving a white privilege agenda, Black people are subjected to unjustifiable racial profiling and police brutality. In 2013, when Trayvon Martin’s killer went free, Patrisse’s outrage led her to co-found Black Lives Matter with Alicia Garza and Opal Tometi. Condemned as terrorists and as a threat to America, these loving women founded a hashtag that birthed the movement to demand accountability from the authorities who continually turn a blind eye to the injustices inflicted upon people of Black and Brown skin. Championing human rights in the face of violent racism, Patrisse is a survivor. She transformed her personal pain into political power, giving voice to a people suffering inequality and a movement fueled by her strength and love to tell the country—and the world—that Black Lives Matter. When They Call You a Terrorist is Patrisse Khan-Cullors and asha bandele’s reflection on humanity. It is an empowering account of survival, strength and resilience and a call to action to change the culture that declares innocent Black life expendable.",ISBN_13,9.78125E+12,TRUE,FALSE,304,BOOK,Biography & Autobiography,NOT_MATURE,TRUE,1.7.7.0.preview.2,FALSE,FALSE,http://books.google.com/books/content?id=6l4mDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=6l4mDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=6l4mDwAAQBAJ&printsec=frontcover&dq=isbn:9781250171092&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=6l4mDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=6l4mDwAAQBAJ,NL,FOR_SALE,TRUE,10.89,EUR,7.41,EUR,https://play.google.com/store/books/details?id=6l4mDwAAQBAJ&rdid=book-6l4mDwAAQBAJ&rdot=1&source=gbs_api,1,listPrice,10890000,EUR,NL,PARTIAL,TRUE,FALSE,ALLOWED,TRUE,http://books.google.nl/books/download/When_They_Call_You_a_Terrorist-sample-epub.acsm?id=6l4mDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,FALSE,http://play.google.com/books/reader?id=6l4mDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,FALSE,This book is a must-read for all of us.,4.5,15,,asha bandele,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14,books#volumes,1,books#volume,OTwYDQAAQBAJ,/wovxHoYBVI,https://www.googleapis.com/books/v1/volumes/OTwYDQAAQBAJ,The Hate U Give,,Angie Thomas,HarperCollins,2/28/2017,2017,"8 starred reviews · Goodreads Choice Awards Best of the Best · William C. Morris Award Winner · National Book Award Longlist · Printz Honor Book · Coretta Scott King Honor Book · #1 New York Times Bestseller! ""Absolutely riveting!"" —Jason Reynolds ""Stunning."" —John Green ""This story is necessary. This story is important."" —Kirkus (starred review) ""Heartbreakingly topical."" —Publishers Weekly (starred review) ""A marvel of verisimilitude."" —Booklist (starred review) ""A powerful, in-your-face novel."" —Horn Book (starred review) Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed. Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalil’s name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: what really went down that night? And the only person alive who can answer that is Starr. But what Starr does—or does not—say could upend her community. It could also endanger her life. Want more of Garden Heights? Catch Maverick and Seven’s story in Concrete Rose, Angie Thomas's powerful prequel to The Hate U Give.",ISBN_13,9.78006E+12,TRUE,FALSE,464,BOOK,Young Adult Fiction,NOT_MATURE,TRUE,1.26.25.0.preview.2,FALSE,FALSE,http://books.google.com/books/content?id=OTwYDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=OTwYDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=OTwYDQAAQBAJ&printsec=frontcover&dq=isbn:9780062498557&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=OTwYDQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=OTwYDQAAQBAJ,NL,FOR_SALE,TRUE,7.09,EUR,5.1,EUR,https://play.google.com/store/books/details?id=OTwYDQAAQBAJ&rdid=book-OTwYDQAAQBAJ&rdot=1&source=gbs_api,1,listPrice,7090000,EUR,NL,PARTIAL,TRUE,FALSE,ALLOWED_FOR_ACCESSIBILITY,TRUE,http://books.google.nl/books/download/The_Hate_U_Give-sample-epub.acsm?id=OTwYDQAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,FALSE,http://play.google.com/books/reader?id=OTwYDQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,FALSE,"This story is important.&quot; —Kirkus (starred review) &quot;Heartbreakingly topical.&quot; —Publishers Weekly (starred review) &quot;A marvel of verisimilitude.&quot; —Booklist (starred review) &quot;A powerful, in-your-face novel.&quot; —Horn Book (starred review) ...",4.5,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,16,books#volumes,1,books#volume,bqgHrgEACAAJ,lM14+H922vk,https://www.googleapis.com/books/v1/volumes/bqgHrgEACAAJ,Counting on Community,,Innosanto Nagara,Triangle Square,9/15/2015,2015,"Counting on Community is the follow-up to Nagara's hit ABC book, A is for Activist (Seven Stories, 2013). Counting up from one stuffed pi¤ata to ten hefty hens - and always counting on each other - children are encouraged to recognise the value of community and the joys inherent in healthy, eco-friendly activities. A broad an inspiring vision of diversity is told through stories in words and original illustrations. And there is a duck to find on every page!",ISBN_10,1609806328,FALSE,FALSE,24,BOOK,Juvenile Nonfiction,NOT_MATURE,FALSE,preview-1.0.0,,,http://books.google.com/books/content?id=bqgHrgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=bqgHrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=bqgHrgEACAAJ&dq=isbn:9781609806323&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=bqgHrgEACAAJ&dq=isbn:9781609806323&hl=&source=gbs_api,https://books.google.com/books/about/Counting_on_Community.html?hl=&id=bqgHrgEACAAJ,NL,NOT_FOR_SALE,FALSE,,,,,,,,,,NL,NO_PAGES,FALSE,FALSE,ALLOWED,FALSE,,FALSE,http://play.google.com/books/reader?id=bqgHrgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,FALSE,"Counting on Community is Innosanto Nagara&#39;s follow-up to his hit ABC book, A is for Activist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
