,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
0,I Promised Not to Tell,Raising a Transgender Child,Cheryl B. Evans,"""A deeply personal memoir of one family's journey to discovering the son they never knew they had. Written from a mother's perspective, there is little she doesn't share with you."" -- page four of cover.",0995180717,I Promised Not to Tell Raising a Transgender Child
2,This Book Is Gay,,James Dawson,"""This egregious gap has now been filled to a fare-thee-well by Dawson's book..."" - Booklist (Starred) Lesbian. Bisexual. Queer. Transgender. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who's ever dared to wonder. This book is for YOU. There's a long-running joke that, after ""coming out,"" a lesbian, gay guy, bisexual, or trans person should receive a membership card and instruction manual. THIS IS THAT INSTRUCTION MANUAL. You're welcome. Inside you'll find the answers to all the questions you ever wanted to ask: from sex to politics, hooking up to stereotypes, coming out and more. This candid, funny, and uncensored exploration of sexuality and what it's like to grow up LGBT also includes real stories from people across the gender and sexual spectrums, not to mention hilarious illustrations. You will be entertained. You will be informed. But most importantly, you will know that however you identify (or don't) and whomever you love, you are exceptional. You matter. And so does this book. One of The Guardian's Best Books of the Year ""The book every LGBT person would have killed for as a teenager, told in the voice of a wise best friend. Frank, warm, funny, USEFUL."" -Patrick Ness, bestselling author",1492617822,
4,Tango,"My Childhood, Backwards and in High Heels",Justin Bond,"Hailed as 'the greatest cabaret artist of [his] generation' in the New Yorker, Justin Vivian Bond makes a brilliant literary debut with this candid and hilarious novella-length memoir. With a recent diagnosis of attention deficit disorder and news that Bond's first lover from childhood has been imprisoned for impersonating an undercover police officer, Bond recalls in vivid detail his coming-of-age as a trans kid. With inimitable style, Bond raises issues about LBGTQ adolescence, homophobia, parenting and sexuality, while being utterly entertaining.",9781558617476,"Tango My Childhood, Backwards and in High Heels"
6,Trans Studies,The Challenge to Hetero/homo Normativities,Yolanda Martínez-San Miguel,"Written in the midst of a moment when transgender people are enjoying unprecedented visibility, this interdisciplinary essay collection brings together leading experts in the burgeoning field of Trans Studies to ask tough questions about what gender and embodiment mean in the twenty-first century. Both theoretically sophisticated and deeply grounded in real-world concerns, Trans Studies bridges the gap between activism and academia by offering examples of cutting-edge activism, research, and pedagogy.",0813576407,Trans Studies The Challenge to Hetero/homo Normativities
8,Societal Factors Leading to Psychological Distress in Transgender Youth,,Sandra Lechin,"The Societal Factors Leading to Psychological Distress in Transgender Youth is a literature review seeking to further understand the social dynamics that may impact the mental health of transgender youth. The domains of psychological distress that will be addressed include suicide and self-injurious behavior, bullying, substance abuse, depression and anxiety. Risk and protective factors specific to the transgender youth population are taken into account in order to guide the direction of future research, social support and public policy, mental and health care services and accessibility.",OCLC:965501145,
9,Wrapped in Blue,A Journey of Discovery,Donna Rose,"Wrapped In Blue is Donna Rose's deeply personal memoir of self-discovery. The emotional story of her courageous and difficult journey across the gender line challenges the reader to consider life, love and gender in a new and insightful way. In the process, it provides a unique, intriguing, and sometimes humorous perspective on the differences between men and women.",0972955305,Wrapped in Blue A Journey of Discovery
11,Trans Is Beautiful,,Lyle O'Mara,"Trans Is Beautiful - 28 portrait drawings (created by the artist and illustrator Lyle O'Mara) and interviews that feature transgender and non-binary people from around the world, including the Youtubers ContraPoints and Chase Ross, writer and manga artist Fahr Sindram, and many other creatives! You can read about what made them realise they were trans, what they love about being who they are, but also what they struggle with and things you shouldn't ask them if you're cisgender. This book is for everyone who wants to feel less alone and/or who's questioning their gender or simply wants to find out more about what it's like to be trans and see how diverse and beautiful this community is. It also includes a glossary for a bunch of terms that are used in the trans community, so you can learn what words like genderqueer, ftm, or hrt mean if you're not. Disclaimer: Some individuals use strong language which is why it may not be appropriate for children to read.",197789688X,
13,Ghost Turkey and the Pioneer Graveyard (Canadian English),,Foxglove Lee,Transgendered Madison and her best friend Sunita are on a field trip with their fourth grade class to a spooky pioneer graveyard when they run into a gobbling ghost turkey and end up with a mystery on their hands.,153493684X,
15,"Man, i Feel Like a Woman",,Shelley Withington,"In this photo book, the author chronicles her father's transition from a man (Stephen Harris) to become a woman (Evie Harris).",0368536483,
17,Guidelines to Support Trans and Gender Variant Employees,,,,OCLC:1016876180,
