,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__searchInfo__textSnippet,items__volumeInfo__industryIdentifiers__identifier,title
0,"Transgender History, second edition",The Roots of Today's Revolution,Susan Stryker,"Covering American transgender history from the mid-twentieth century to today, Transgender History takes a chronological approach to the subject of transgender history, with each chapter covering major movements, writings, and events. Chapters cover the transsexual and transvestite communities in the years following World War II; trans radicalism and social change, which spanned from 1966 with the publication of The Transsexual Phenomenon, and lasted through the early 1970s; the mid-'70s to 1990-the era of identity politics and the changes witnessed in trans circles through these years; and the gender issues witnessed through the '90s and '00s. Transgender History includes informative sidebars highlighting quotes from major texts and speeches in transgender history and brief biographies of key players, plus excerpts from transgender memoirs and discussion of treatments of transgenderism in popular culture.","Covering American transgender history from the mid-twentieth century to today, Transgender History takes a chronological approach to the subject of transgender history, with each chapter covering major movements, writings, and events.",9781580056908,"Transgender History, second edition The Roots of Today's Revolution"
2,Transgender Warriors,Making History from Joan of Arc to Dennis Rodman,Leslie Feinberg,"Presents a survey of historical and contemporary figures who have rejected traditional gender roles, from peasants who cross-dressed as a protest against taxes, to today's transsexual parents","Presents a survey of historical and contemporary figures who have rejected traditional gender roles, from peasants who cross-dressed as a protest against taxes, to today&#39;s transsexual parents",0807079413,Transgender Warriors Making History from Joan of Arc to Dennis Rodman
6,Transgender Rights,,Paisley Currah,"""Transgender Rights packs a surprising amount of information into a small space. Offering spare, tightly executed essays, this slim volume nonetheless succeeds in creating a spectacular, well-researched compendium of the transgender movement."" -Law Library Journal Over the past three decades, the transgender movement has gained visibility and achieved significant victories. Discrimination has been prohibited in several states, dozens of municipalities, and more than two hundred private companies, while hate crime laws in eight states have been amended to include gender identity. Yet prejudice and violence against transgender people remain all too common. With analysis from legal and policy experts, activists and advocates, Transgender Rights assesses the movement's achievements, challenges, and opportunities for future action. Examining crucial topics like family law, employment policies, public health, economics, and grassroots organizing, this groundbreaking book is an indispensable resource in the fight for the freedom and equality of those who cross gender boundaries. Moving beyond media representations to grapple with the real lives and issues of transgender people, Transgender Rights will launch a new moment for human rights activism in America. Contributors: Kylar W. Broadus, Judith Butler, Mauro Cabral, Dallas Denny, Taylor Flynn, Phyllis Randolph Frye, Julie A. Greenberg, Morgan Holmes, Bennett H. Klein, Jennifer L. Levi, Ruthann Robson, Nohemy Solórzano-Thompson, Dean Spade, Kendall Thomas, Paula Viturro, Willy Wilkinson. Paisley Currah is associate professor of political science at Brooklyn College, executive director of the Center for Lesbian and Gay Studies at the CUNY Graduate Center, and a founding board member of the Transgender Law and Policy Institute. Richard M. Juang cochairs the advisory board of the National Center for Transgender Equality (NCTE) in Washington, DC. He has taught at Oberlin College and Susquehanna University. He is the lead editor of NCTE's Responding to Hate Crimes: A Community Resource Manual and coeditor of Transgender Justice, which explores models of activism. Shannon Price Minter is legal director of the National Center for Lesbian Rights and a founding board member of the Transgender Law and Policy Institute.","Offering spare, tightly executed essays, this slim volume nonetheless succeeds in creating a spectacular, well-researched compendium of the transgender movement.",0816643121,
8,Transgender 101,A Simple Guide to a Complex Issue,Nicholas Teich,"Written by a social worker, popular educator, and member of the transgender community, this resource combines a portrait of transgenderism with a history of transgender life and its unique experiences of discrimination. Chapters introduce transgenderism and its psychological, physical, and social processes; describe the coming out process and its effect on family and friends; discuss the relationship between sexual orientation and gender; and explore the differences between transsexualism and lesser-known types of transgenderism. Each chapter explains how transgender individuals handle their gender identity, how others view it within the context of non-trangender society, and how the transitioning of genders is made possible. Featuring men who become women, women who become men, and those who live in between and beyond traditional classifications, this book is written for students, professionals, friends, and family members.--From publisher description.","Treasury of syncopated dance pieces including Eubie Blake’s &quot;The Chevy Chase&quot; and &quot;Fizz Water&quot;; Kerry Mills’s &quot;At a Geogia Campmeeting,&quot; many more. Reproduced from rare sheet music, including original covers.",9780231157131,Transgender 101 A Simple Guide to a Complex Issue
10,The Singing Teacher's Guide to Transgender Voices,,Liz Jackson Hearns,"The Singing Teacher's Guide to Transgender Voices is the first comprehensive resource developed for training transgender and nonbinary singers. This text aids in the development of voice pedagogy tailored to the needs of transgender singers, informed by cultural competence, and bolstered by personal narratives of trans and nonbinary singing students. The singing life of a transgender or nonbinary student can be overwhelmingly stressful. Because many of the current systems in place for singing education are so firmly anchored in gender binary systems, transgender and gender nonconforming singers are often forced into groups with which they feel they don't belong. Singers in transition are often afraid to reach out for help because the likelihood of finding a voice teacher who is competent in navigating the social, emotional, physical, and physiological challenges of transition is minimal at best. This text equips teachers with a sympathetic perspective on these unique struggles and with the knowledge and resources needed to guide students to a healthy, joyful, and safe singing life. It challenges professional and academic communities to understand the needs of transgender singers and provide evidence-based voice education and real-world opportunities that are authentic and genuine. The Singing Teacher's Guide to Transgender Voices is the first book of its kind to provide thorough, organized information on the training of trans singers for educators in both the academic and independent teaching realms.","This text aids in the development of voice pedagogy tailored to the needs of transgender singers, informed by cultural competence, and bolstered by personal narratives of trans and nonbinary singing students.",9781635500943,
12,Imagining Transgender,An Ethnography of a Category,David Valentine,"Imagining Transgender is an ethnography of the emergence and institutionalization of transgender as a category of collective identity and political activism. Embraced by activists in the early 1990s to advocate for gender-variant people, the category quickly gained momentum in public health, social service, scholarly, and legislative contexts. Working as a safer-sex activist in Manhattan during the late 1990s, David Valentine conducted ethnographic research among mostly male-to-female transgender-identified people at drag balls, support groups, cross-dresser organizations, clinics, bars, and clubs. However, he found that many of those labeled ""transgender"" by activists did not know the term or resisted its use. Instead, they self-identified as ""gay,"" a category of sexual rather than gendered identity and one rejected in turn by the activists who claimed these subjects as transgender. Valentine analyzes the reasons for and potential consequences of this difference, and how social theory is implicated in it. Valentine argues that ""transgender"" has been adopted so rapidly in the contemporary United States because it clarifies a model of gender and sexuality that has been gaining traction within feminism, psychiatry, and mainstream gay and lesbian politics since the 1970s: a paradigm in which gender and sexuality are distinct arenas of human experience. This distinction and the identity categories based on it erase the experiences of some gender-variant people--particularly poor persons of color--who conceive of gender and sexuality in other terms. While recognizing the important advances transgender has facilitated, Valentine argues that a broad vision of social justice must include, simultaneously, an attentiveness to the politics of language and a recognition of how social theoretical models and broader political economies are embedded in the day-to-day politics of identity.","The book is sure to stir debate in the emerging field of transgender studies, as well as in other disciplines that concern themselves with this timely topic.&quot;--Susan Stryker, coeditor of &quot;The Transgender Studies Reader&quot;",9780822338697,Imagining Transgender An Ethnography of a Category
14,"Trans Bodies, Trans Selves",A Resource for the Transgender Community,Laura Erickson-Schroth,"""Trans Bodies, Trans Selves (TBTS) will be the go-to resource for transgender populations, covering health, cultural and social questions, history, theory, legal issues, and more. It is a place for transgender and gender-questioning people, their partners and families, students, educators, counselors, and others to look for up-to-date information on transgender life. It is intended to become the ultimate commercial resource (approx 500 pp.) on trans health and development for trans populations, serving much the same role as Our Bodies, Ourselves, which is now published for women worldwide.""--Publisher information.","This guide for transgender people, inspired by &#39;Our Bodies, Ourselves&#39; pays attention to issues such as race, religion, employment, medical and surgical transition, mental health topics, relationships, sexuality, parenthood, arts and ...",9780199325351,"Trans Bodies, Trans Selves A Resource for the Transgender Community"
16,America through Transgender Eyes,,J. E. Sumerau,"America through Transgender Eyes provides readers with important insights into the beauty and struggle of transgender people, identities, experiences, and relationships.","America through Transgender Eyes provides readers with important insights into the beauty and struggle of transgender people, identities, experiences, and relationships.",9781538122082,
18,Transgender Mental Health,,"Eric Yarbrough, M.D.","Four sections address topics such as the history of the TGNC experience, mental health factors particular to the TGNC community, physical health -- including hormones -- of TGNC individuals, gender-affirming surgical procedures, and nonsurgical interventions. Summarizing key points and review questions are included at the end of each chapter.","Forgoing clinical jargon in favor of accessible, straightforward language, this guide is designed to educate clinicians on how to address the basic needs of the TGNC community, and thus increase access to mental health care for TGNC ...",9781615371136,
20,Transgender Health Issues,,Sarah Boslaugh,"Transgender individuals face unique challenges when it comes to their physical, psychological, and social health and well-being. This accessible reference investigates these concerns in depth, offering readers insights into topics such as discrimination and access to health care. • Confronts a topic that has historically been ignored by researchers and public health officials • Examines key issues that affect transgender individuals, such as discrimination and access to health services • Offers illuminating case studies that use engaging real-world scenarios to highlight key ideas and debates discussed in the book • Provides a Directory of Resources to guide readers to reliable sources of additional information","A part of Greenwood&#39;s Health and Medical Issues Today series, Part I of this book explores definitions of sex and gender, the history of transgender awareness and activism, physical and psychological health concerns specific to transgender ...",9781440858888,
