PC on campus,Intersectionalism,Transgender Community/Experience,Historical Fiction,Children's Books,Audience: White America,Diversity/Community,"""Wake-up"" calls/ ""Uncomfortable Conversations""",How-To Guides (PC),Anthology,YA,BLM/Police brutality,Faith and LGBT,History,Black experience in the US,"""Healing"" from being LGBT/ Conversion Therapy",PC and institutions (non-educational),,,,PC,Anti PC,Trans + sexuality,,Climate change + PC
The Breakdown of Higher Education,My First Little Book of Intersectional Activism,Drag Teen,One Crazy Summer,The Sandwich Swap,Tears We Cannot Stop,Counting on Community,Why Iâ€™m No Longer Talking to White People About Race,How to Be Less Stupid About Race,Say Her Name,And She Was,Say Her Name,What Does the Bible Really Teach about Homosexuality? (eBook),No Common Ground,Between the World and Me,Coming Out Straight,Political Correctness and the Surgeon,,,,I Am Not Your Perfect Mexican Daughter by Erika Sanchez,The Vision of the Anointed; Self-Congratulation as a Basis for Social Policy by Thomas Sowell,What Does the bible Teach About Transgenderism by Oliver Strachan and Gavin Peacock,,Cool It by Bjorn Lonborg
Literature Lost,Say Her Name,When Harry Became Sally,,One Love,White Fragility,Aristotle and Dante Discover the Secrets of the Universe,,Woke,A Young Poet's Call to Justice,The Hate U Give,When They Call You a Terrorist,What Does the Bible Teach about Transgenderism?,,When They Call You a Terrorist,Healing Homosexuality,The Rape of the Masters,,,,,,,,
The Coddling of the American Mind,,What Does the Bible Teach about Transgenderism?,,We Are Grateful,White Tears,The Sandwich Swap,So You Want to Talk About Race,How to Be an Antiracist,The Fire This Time,One Crazy Summer,The Hate U Give,God and the Transgender Debate,Between the World and Me,Say Her Name,The War on Psychotherapy,,,,,I'm Still Here by Austin Channing Brown,PC Does More Harm Than good by Thomas Kruger,What Does the Bible Teach About Homosexuality by Owen Strachan and Gavin Peacock,,Red Hot Lies by Christian Horner
,,,,"Same, Same But Different",The Politically Incorrect Guide to White Guilt,One Love,Why Are All the Black Kids Sitting Together in the Cafeteria,So You Want to Talk About Race,,Drag Teen,The Fire This Time,The Unhappy Gays,An Indigenous Peoples' History of the United States,Traveling Black,A Change of Affection,,,,,,,,,
,,,,,Into the Cannibal's Pot,We Are Grateful,White Fragility,Stamped,,I'm Still Here,The Torture Letters,,Traveling Black,,,,,,,Woke: A Young Poet's Call to Justice by Mahogany L. Brown,The Bimbo Has More Brains: Surviving PC by Cathy Burnham Martin,A Change of Affection by Becket Cook,,Global Warming by Roger Bate and Julian Morris
,,,,,,,You Can't Touch My Hair,White Fragility,,I Am Not Your Perfect Mexican Daughter,,,The Killing of History,,,,,,,,,,,
,,,,,,,The Coddling of the American Mind,My First Little Book of Intersectional Activism,,When She Woke,,,,,,,,,,Country in Community by Nagara Innosanto,The Politics of Bad Faith by David Horowitz,The Healing of the Homosexual by Leanne Payne,,Climate Change Reconsidered by Fred Singer
,,,,,,,Political Correctness and the Destruction of Social Order,The Politically Incorrect Guide to Climate Change,,,,,,,,,,,,,,,,
,,,,,,,,The Official Politically Correct Dictionary and Handbook,,,,,,,,,,,,A Mind's Voice by Helen Khan One Love by Cedellu Morley,The Politically Incorrect Real Estate Agent's Handbook by Peter Porcelli,Coming Out Straight by Richard Cohen,,The Climate Caper By Garth Paltridge
,,,,,,,,The Politically Incorrect Guide to White Guilt,,,,,,,,,,,,,,,,The Politically Incorrect Guide to Climate Change by Marc Morono
,,,,,,,,The Politically Incorrect Guide to The South,,,,,,,,,,,,The Sandwich Swap by Queen Rania of Jordan Al Addullah and Kelly DiPucchio,"The Politics and Philosophy of Political Correctness by Jung Min Choi, John Murphy and Kalman Glantz",The Unhappy Gays by Tim LaHaye,,
,,,,,,,,The Politically Incorrect Real Estate Agent Handbook,,,,,,,,,,,,,,,,Climatism by Steve Gorham
,,,,,,,,The Politically Incorrect Guide to Socialism,,,,,,,,,,,,,,When Harry Becomes Sally by Ryan T. Anderson,,
,,,,,,,,The Parasitic Mind,,,,,,,,,,,,One Crazy Summer by Rita Williams-Garcia,"The Closing of the American Mind by Harold Bloom (this is a classic, almost in a class by itself, from 1987).",,,Manmade Global Warming: Unravelling a Dogma by Hans Labohm
,,,,,,,,The Ultimate Book of Rude and Politically Incorrect Jokes,,,,,,,,,,,,,,,,
,,,,,,,,"How I Escaped Political Correctness, and You Can Too",,,,,,,,,,,,We Are Grateful by Tracy Sorell,Surrounded by Idiots by Thomas Erickson,Irreversible Damage: The Transgender Craze Seducing Our Daughters by Abigail Shrier,,The Really Inconvenient Truth by Iain Murray
,,,,,,,,Surrounded by Idiots,,,,,,,,,,,,,,,,
