,Unnamed: 0,kind,totalItems,items__kind,items__id,items__etag,items__selfLink,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__publisher,items__volumeInfo__publishedDate,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__type,items__volumeInfo__industryIdentifiers__identifier,items__volumeInfo__readingModes__text,items__volumeInfo__readingModes__image,items__volumeInfo__pageCount,items__volumeInfo__printType,items__volumeInfo__categories__-,items__volumeInfo__maturityRating,items__volumeInfo__allowAnonLogging,items__volumeInfo__contentVersion,items__volumeInfo__panelizationSummary__containsEpubBubbles,items__volumeInfo__panelizationSummary__containsImageBubbles,items__volumeInfo__imageLinks__smallThumbnail,items__volumeInfo__imageLinks__thumbnail,items__volumeInfo__language,items__volumeInfo__previewLink,items__volumeInfo__infoLink,items__volumeInfo__canonicalVolumeLink,items__saleInfo__country,items__saleInfo__saleability,items__saleInfo__isEbook,items__saleInfo__listPrice__amount,items__saleInfo__listPrice__currencyCode,items__saleInfo__retailPrice__amount,items__saleInfo__retailPrice__currencyCode,items__saleInfo__buyLink,items__saleInfo__offers__finskyOfferType,items__saleInfo__offers__|,items__saleInfo__offers__|__amountInMicros,items__saleInfo__offers__|__currencyCode,items__accessInfo__country,items__accessInfo__viewability,items__accessInfo__embeddable,items__accessInfo__publicDomain,items__accessInfo__textToSpeechPermission,items__accessInfo__epub__isAvailable,items__accessInfo__epub__acsTokenLink,items__accessInfo__pdf__isAvailable,items__accessInfo__webReaderLink,items__accessInfo__accessViewStatus,items__accessInfo__quoteSharingAllowed,items__searchInfo__textSnippet,items__volumeInfo__averageRating,items__volumeInfo__ratingsCount,items__accessInfo__pdf__acsTokenLink,items__volumeInfo__authors__002,items__volumeInfo__authors__003,Unnamed: 0.1,items__accessInfo__epub__downloadLink,items__accessInfo__pdf__downloadLink,items__volumeInfo__authors__004,items__volumeInfo__authors__005,items__volumeInfo__authors__006,items__volumeInfo__authors__007,items__volumeInfo__authors__008,items__volumeInfo__authors__009,items__volumeInfo__authors__010,items__volumeInfo__authors__011,items__volumeInfo__authors__012,items__volumeInfo__authors__013,items__volumeInfo__authors__014,items__volumeInfo__authors__015,items__volumeInfo__authors__016,items__volumeInfo__authors__017,items__volumeInfo__authors__018,items__volumeInfo__authors__019,items__volumeInfo__authors__020,items__volumeInfo__comicsContent,Unnamed: 0.1.1,items__volumeInfo__authors__-,items__volumeInfo__description	,items__searchInfo__textSnippet	,title,titlecluster,descriptioncluster
0,0,books#volumes,1.0,books#volume,KE1EDwAAQBAJ,qWBLM38WKwE,https://www.googleapis.com/books/v1/volumes/KE1EDwAAQBAJ,how to be less stupid about race,"On Racism, White Supremacy, and the Racial Divide",Crystal Marie Fleming,Beacon Press,2018-09-18,a unique and irreverent take on everything that's wrong with our “national conversation about race”—and what to do about it how to be less stupid about race is your essential guide to breaking through the half-truths and ridiculous misconceptions that have thoroughly corrupted the way race is represented in the classroom pop culture media and politics centuries after our nation was founded on genocide settler colonialism and slavery many americans are kinda-sorta-maybe waking up to the reality that our racial politics are (still) garbage but in the midst of this reckoning widespread denial and misunderstandings about race persist even as white supremacy and racial injustice are more visible than ever before combining no-holds-barred social critique humorous personal anecdotes and analysis of the latest interdisciplinary scholarship on systemic racism sociologist crystal m fleming provides a fresh accessible and irreverent take on everything that’s wrong with our “national conversation about race” drawing upon critical race theory as well as her own experiences as a queer black millennial college professor and researcher fleming unveils how systemic racism exposes us all to racial ignorance—and provides a road map for transforming our knowledge into concrete social change searing sobering and urgently needed how to be less stupid about race is a truth bomb for your racist relative friend or boss and a call to action for everyone who wants to challenge white supremacy and intersectional oppression if you like issa rae justin simien angela davis and morgan jerkins then this deeply relevant bold and incisive book is for you,ISBN_13,9780807050781,True,False,256.0,BOOK,Social Science,NOT_MATURE,True,1.6.5.0.preview.2,False,False,http://books.google.com/books/content?id=KE1EDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=KE1EDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=KE1EDwAAQBAJ&printsec=frontcover&dq=isbn:9780807050781&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=KE1EDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=KE1EDwAAQBAJ,NL,FOR_SALE,True,21.4,EUR,21.4,EUR,https://play.google.com/store/books/details?id=KE1EDwAAQBAJ&rdid=book-KE1EDwAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,21400000.0,EUR,NL,PARTIAL,True,False,ALLOWED,True,http://books.google.nl/books/download/How_to_Be_Less_Stupid_About_Race-sample-epub.acsm?id=KE1EDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,False,http://play.google.com/books/reader?id=KE1EDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,A unique and irreverent take on everything that&#39;s wrong with our “national conversation about race”—and what to do about it How to Be Less Stupid About Race is your essential guide to breaking through the half-truths and ridiculous ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
1,1,,,,,,,nan,,,,,nan,ISBN_10,0807050784,,,,,,,,,,,,,,,,,,,,,,,,,,retailPrice,21400000.0,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,2,books#volumes,1.0,books#volume,C4EBwgEACAAJ,eyiTj6QNPVI,https://www.googleapis.com/books/v1/volumes/C4EBwgEACAAJ,say her name,,Zetta Elliott,Jump At The Sun,2020-01-14,inspired by the #sayhername campaign launched by the african american policy forum these poems pay tribute to victims of police brutality as well as the activists insisting that black lives matter elliott engages poets from the past two centuries to create a chorus of voices celebrating the creativity resilience and courage of black women and girls this collection features forty-nine powerful poems four of which are tribute poems inspired by the works of lucille clifton audre lorde nikki giovanni and phillis wheatley this provocative collection will move every reader to reflect respond-and act,ISBN_10,1368045243,False,False,96.0,BOOK,Young Adult Nonfiction,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=C4EBwgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=C4EBwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=C4EBwgEACAAJ&dq=isbn:9781368045247&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=C4EBwgEACAAJ&dq=isbn:9781368045247&hl=&source=gbs_api,https://books.google.com/books/about/Say_Her_Name.html?hl=&id=C4EBwgEACAAJ,NL,NOT_FOR_SALE,False,,,,,,,,,,NL,NO_PAGES,False,False,ALLOWED,False,,False,http://play.google.com/books/reader?id=C4EBwgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"This collection features forty-nine powerful poems, four of which are tribute poems inspired by the works of Lucille Clifton, Audre Lorde, Nikki Giovanni, and Phillis Wheatley.",4.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
3,4,books#volumes,1.0,books#volume,JjvwvQEACAAJ,vNKstkMvPtI,https://www.googleapis.com/books/v1/volumes/JjvwvQEACAAJ,woke,A Guide to Social Justice,Titania McGrath,Constable,2019-09-03,'the book everyone's talking about' the times 'titania mcgrath is a genius' spectator 'just as bridget jones was the embodiment of the anxiety-ridden nineties feminist a creation whose diary entries encapsulated all our hopes fears and failures so titania mcgrath is her millennial successor a girl every bit as lost and confused every bit as accurately observed - and equally catastrophically hilarious' sarah vine daily mail in woke titania mcgrath demonstrates how everybody can play their part in the pursuit of social justice as a millennial icon on the forefront of online activism titania is uniquely placed to guide her readers through the often bewildering array of terminology and concepts that constitute twenty-first-century 'wokeness' these new ideas often leave the general public bemused particularly if they don't read the guardian being woke is actually much easier than people think as titania demonstrates anyone can be an activist by simply adding a rainbow flag to your facebook profile or calling out an elderly person who doesn't understand what 'non-binary' means you can change the world for the better indeed social media has now made it possible to show how virtuous you are without having to do anything at all timely and indispensable titania's step-by-step guide will help you to become the woke person you need to be in an increasingly progressive world in a non-patronising manner titania will explain why you are wrong about everything and how to become more like her,ISBN_10,1472130847,False,False,160.0,BOOK,Humor,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=JjvwvQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=JjvwvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=JjvwvQEACAAJ&dq=isbn:9781472130846&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=JjvwvQEACAAJ&dq=isbn:9781472130846&hl=&source=gbs_api,https://books.google.com/books/about/Woke.html?hl=&id=JjvwvQEACAAJ,NL,NOT_FOR_SALE,False,,,,,,,,,,NL,NO_PAGES,False,False,ALLOWED,False,,False,http://play.google.com/books/reader?id=JjvwvQEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,&#39;The book everyone&#39;s talking about&#39; The Times (Book of the Year) &#39;Titania McGrath is a genius&#39; Spectator (Book of the Year) &#39;Beautiful classic satire&#39; Ricky Gervais &#39;Hilarious . . . the most artful form of subtle parody&#39; Joe Rogan &#39;Just as ...,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,6,books#volumes,1.0,books#volume,6pNbDwAAQBAJ,KWz+4sscI3c,https://www.googleapis.com/books/v1/volumes/6pNbDwAAQBAJ,how to be an antiracist,,Ibram X. Kendi,One World,2019-08-13,#1 new york times bestseller • from the national book award–winning author of stamped from the beginning comes a “groundbreaking” (time) approach to understanding and uprooting racism and inequality in our society—and in ourselves “the most courageous book to date on the problem of race in the western mind”—the new york times named one of the best books of the year by the new york times book review • time • npr • the washington post • shelf awareness • library journal • publishers weekly • kirkus reviews antiracism is a transformative concept that reorients and reenergizes the conversation about racism—and even more fundamentally points us toward liberating new ways of thinking about ourselves and each other at its core racism is a powerful system that creates false hierarchies of human value; its warped logic extends beyond race from the way we regard people of different ethnicities or skin colors to the way we treat people of different sexes gender identities and body types racism intersects with class and culture and geography and even changes the way we see and value ourselves in how to be an antiracist kendi takes readers through a widening circle of antiracist ideas—from the most basic concepts to visionary possibilities—that will help readers see all forms of racism clearly understand their poisonous consequences and work to oppose them in our systems and in ourselves kendi weaves an electrifying combination of ethics history law and science with his own personal story of awakening to antiracism this is an essential work for anyone who wants to go beyond the awareness of racism to the next step: contributing to the formation of a just and equitable society praise for how to be an antiracist “ibram x kendi’s new book how to be an antiracist couldn’t come at a better time    kendi has gifted us with a book that is not only an essential instruction manual but also a memoir of the author’s own path from anti-black racism to anti-white racism and finally to antiracism    how to be an antiracist gives us a clear and compelling way to approach as kendi puts it in his introduction ‘the basic struggle we’re all in the struggle to be fully human and to see that others are fully human’ ”—npr “kendi dissects why in a society where so few people consider themselves to be racist the divisions and inequalities of racism remain so prevalent how to be an antiracist punctures the myths of a post-racial america examining what racism really is—and what we should do about it”—time,ISBN_13,9780525509295,True,False,320.0,BOOK,Political Science,NOT_MATURE,True,1.7.6.0.preview.2,False,False,http://books.google.com/books/content?id=6pNbDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=6pNbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=6pNbDwAAQBAJ&printsec=frontcover&dq=isbn:9780525509295&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=6pNbDwAAQBAJ&dq=isbn:9780525509295&hl=&source=gbs_api,https://books.google.com/books/about/How_to_Be_an_Antiracist.html?hl=&id=6pNbDwAAQBAJ,NL,NOT_FOR_SALE,False,,,,,,,,,,NL,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,http://books.google.nl/books/download/How_to_Be_an_Antiracist-sample-epub.acsm?id=6pNbDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,False,http://play.google.com/books/reader?id=6pNbDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,This is an essential work for anyone who wants to go beyond the awareness of racism to the next step: contributing to the formation of a just and equitable society.,4.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
5,8,books#volumes,1.0,books#volume,LMovDgAAQBAJ,6L1dMtFNgdM,https://www.googleapis.com/books/v1/volumes/LMovDgAAQBAJ,why i’m no longer talking to white people about race,The Sunday Times Bestseller,Reni Eddo-Lodge,Bloomsbury Publishing,2017-06-01,'every voice raised against racism chips away at its power we can't afford to stay silent this book is an attempt to speak' the book that sparked a national conversation exploring everything from eradicated black history to the inextricable link between class and race why i'm no longer talking to white people about race is the essential handbook for anyone who wants to understand race relations in britain today the sunday times bestseller winner of the british book awards non-fiction narrative book of the year 2018 foyles non-fiction book of the year blackwell's non-fiction book of the year winner of the jhalak prize longlisted for the baillie gifford prize for non-fiction longlisted for the orwell prize shortlisted for a books are my bag readers award,ISBN_13,9781408870570,True,True,272.0,BOOK,Social Science,NOT_MATURE,True,2.8.9.0.preview.3,False,False,http://books.google.com/books/content?id=LMovDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=LMovDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=LMovDgAAQBAJ&printsec=frontcover&dq=isbn:9781408870570&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=LMovDgAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=LMovDgAAQBAJ,NL,FOR_SALE,True,12.13,EUR,8.25,EUR,https://play.google.com/store/books/details?id=LMovDgAAQBAJ&rdid=book-LMovDgAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,12130000.0,EUR,NL,PARTIAL,True,False,ALLOWED,True,http://books.google.nl/books/download/Why_I_m_No_Longer_Talking_to_White_Peopl-sample-epub.acsm?id=LMovDgAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,True,http://play.google.com/books/reader?id=LMovDgAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,&#39;Every voice raised against racism chips away at its power. We can&#39;t afford to stay silent. This book is an attempt to speak&#39; The book that sparked a national conversation.,4.5,12.0,http://books.google.nl/books/download/Why_I_m_No_Longer_Talking_to_White_Peopl-sample-pdf.acsm?id=LMovDgAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
6,10,books#volumes,1.0,books#volume,AerMswEACAAJ,sRptP+HshEY,https://www.googleapis.com/books/v1/volumes/AerMswEACAAJ,and she was,,Jessica Verdi,Scholastic Press,2018,when dara finds her birth certificate she is puzzled to find two strange names on it but when her mother mellie reveals that she is transgender and transitioned when dara's biological mother died soon after dara's birth dara is stunned and angry--and she sets off with her friend sam in search of the grandparents she never knew existed (and who may be able to fund her tennis career) and the family secrets she can only guess at,ISBN_10,1338150537,False,False,368.0,BOOK,Young Adult Fiction,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=AerMswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=AerMswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=AerMswEACAAJ&dq=isbn:9781338150537&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=AerMswEACAAJ&dq=isbn:9781338150537&hl=&source=gbs_api,https://books.google.com/books/about/And_She_Was.html?hl=&id=AerMswEACAAJ,NL,NOT_FOR_SALE,False,,,,,,,,,,NL,NO_PAGES,False,False,ALLOWED,False,,False,http://play.google.com/books/reader?id=AerMswEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Dara is stunned, devastated -- her mother has lied to her for her whole life. Dara takes off in search of her grandparents and her truth, her best friend Sam in tow. What she finds will challenge and surprise her more than she can imagine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
7,12,books#volumes,1.0,books#volume,6l4mDwAAQBAJ,nvr324fd2mI,https://www.googleapis.com/books/v1/volumes/6l4mDwAAQBAJ,when they call you a terrorist,A Black Lives Matter Memoir,Patrisse Khan-Cullors,St. Martin's Press,2018-01-16,"the instant new york times bestseller new york times editor’s pick library journal best books of 2019 time magazine's ""best memoirs of 2018 so far"" o oprah’s magazine’s “10 titles to pick up now” politics & current events 2018 owl book awards winner the root best of 2018 ""this remarkable book reveals what inspired patrisse's visionary and courageous activism and forces us to face the consequence of the choices our nation made when we criminalized a generation this book is a must-read for all of us"" - michelle alexander new york times bestselling author of the new jim crow a poetic and powerful memoir about what it means to be a black woman in america—and the co-founding of a movement that demands justice for all in the land of the free raised by a single mother in an impoverished neighborhood in los angeles patrisse khan-cullors experienced firsthand the prejudice and persecution black americans endure at the hands of law enforcement for patrisse the most vulnerable people in the country are black people deliberately and ruthlessly targeted by a criminal justice system serving a white privilege agenda black people are subjected to unjustifiable racial profiling and police brutality in 2013 when trayvon martin’s killer went free patrisse’s outrage led her to co-found black lives matter with alicia garza and opal tometi condemned as terrorists and as a threat to america these loving women founded a hashtag that birthed the movement to demand accountability from the authorities who continually turn a blind eye to the injustices inflicted upon people of black and brown skin championing human rights in the face of violent racism patrisse is a survivor she transformed her personal pain into political power giving voice to a people suffering inequality and a movement fueled by her strength and love to tell the country—and the world—that black lives matter when they call you a terrorist is patrisse khan-cullors and asha bandele’s reflection on humanity it is an empowering account of survival strength and resilience and a call to action to change the culture that declares innocent black life expendable",ISBN_13,9781250171092,True,False,304.0,BOOK,Biography & Autobiography,NOT_MATURE,True,1.7.7.0.preview.2,False,False,http://books.google.com/books/content?id=6l4mDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=6l4mDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=6l4mDwAAQBAJ&printsec=frontcover&dq=isbn:9781250171092&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=6l4mDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=6l4mDwAAQBAJ,NL,FOR_SALE,True,10.89,EUR,7.41,EUR,https://play.google.com/store/books/details?id=6l4mDwAAQBAJ&rdid=book-6l4mDwAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,10890000.0,EUR,NL,PARTIAL,True,False,ALLOWED,True,http://books.google.nl/books/download/When_They_Call_You_a_Terrorist-sample-epub.acsm?id=6l4mDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,False,http://play.google.com/books/reader?id=6l4mDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,This book is a must-read for all of us.,4.5,15.0,,asha bandele,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
8,14,books#volumes,1.0,books#volume,OTwYDQAAQBAJ,/wovxHoYBVI,https://www.googleapis.com/books/v1/volumes/OTwYDQAAQBAJ,the hate u give,,Angie Thomas,HarperCollins,2017-02-28,"8 starred reviews · goodreads choice awards best of the best · william c morris award winner · national book award longlist · printz honor book · coretta scott king honor book · #1 new york times bestseller ""absolutely riveting"" —jason reynolds ""stunning"" —john green ""this story is necessary this story is important"" —kirkus (starred review) ""heartbreakingly topical"" —publishers weekly (starred review) ""a marvel of verisimilitude"" —booklist (starred review) ""a powerful in-your-face novel"" —horn book (starred review) sixteen-year-old starr carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends the uneasy balance between these worlds is shattered when starr witnesses the fatal shooting of her childhood best friend khalil at the hands of a police officer khalil was unarmed soon afterward his death is a national headline some are calling him a thug maybe even a drug dealer and a gangbanger protesters are taking to the streets in khalil’s name some cops and the local drug lord try to intimidate starr and her family what everyone wants to know is: what really went down that night and the only person alive who can answer that is starr but what starr does—or does not—say could upend her community it could also endanger her life want more of garden heights catch maverick and seven’s story in concrete rose angie thomas's powerful prequel to the hate u give",ISBN_13,9780062498557,True,False,464.0,BOOK,Young Adult Fiction,NOT_MATURE,True,1.26.25.0.preview.2,False,False,http://books.google.com/books/content?id=OTwYDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=OTwYDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=OTwYDQAAQBAJ&printsec=frontcover&dq=isbn:9780062498557&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=OTwYDQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=OTwYDQAAQBAJ,NL,FOR_SALE,True,7.09,EUR,5.1,EUR,https://play.google.com/store/books/details?id=OTwYDQAAQBAJ&rdid=book-OTwYDQAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,7090000.0,EUR,NL,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,http://books.google.nl/books/download/The_Hate_U_Give-sample-epub.acsm?id=OTwYDQAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,False,http://play.google.com/books/reader?id=OTwYDQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"This story is important.&quot; —Kirkus (starred review) &quot;Heartbreakingly topical.&quot; —Publishers Weekly (starred review) &quot;A marvel of verisimilitude.&quot; —Booklist (starred review) &quot;A powerful, in-your-face novel.&quot; —Horn Book (starred review) ...",4.5,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
9,16,books#volumes,1.0,books#volume,bqgHrgEACAAJ,lM14+H922vk,https://www.googleapis.com/books/v1/volumes/bqgHrgEACAAJ,counting on community,,Innosanto Nagara,Triangle Square,2015-09-15,counting on community is the follow-up to nagara's hit abc book a is for activist (seven stories 2013) counting up from one stuffed pi¤ata to ten hefty hens - and always counting on each other - children are encouraged to recognise the value of community and the joys inherent in healthy eco-friendly activities a broad an inspiring vision of diversity is told through stories in words and original illustrations and there is a duck to find on every page,ISBN_10,1609806328,False,False,24.0,BOOK,Juvenile Nonfiction,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=bqgHrgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=bqgHrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=bqgHrgEACAAJ&dq=isbn:9781609806323&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=bqgHrgEACAAJ&dq=isbn:9781609806323&hl=&source=gbs_api,https://books.google.com/books/about/Counting_on_Community.html?hl=&id=bqgHrgEACAAJ,NL,NOT_FOR_SALE,False,,,,,,,,,,NL,NO_PAGES,False,False,ALLOWED,False,,False,http://play.google.com/books/reader?id=bqgHrgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Counting on Community is Innosanto Nagara&#39;s follow-up to his hit ABC book, A is for Activist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
