"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"OK","Copyright (c) 2021 The New York Times Company.  All Rights Reserved.","15","2021-05-05T22:21:47-04:00","Combined Print and E-Book Nonfiction","combined-print-and-e-book-nonfiction","2021-05-01","2021-05-16","latest","","2021-05-09","Combined Print & E-Book Nonfiction","15","WEEKLY","1","0","1","0","0","1250223180","9781250223180","Flatiron","An approach to dealing with trauma that shifts an essential question used to investigate it.","0.00","WHAT HAPPENED TO YOU?","Bruce D. Perry and Oprah Winfrey","by Bruce D. Perry and Oprah Winfrey","","https://storage.googleapis.com/du-prd/books/images/9781250223180.jpg","319","500","https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20","","","","","","1250223180","9781250223180","Amazon","https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20","nyt://book/5bd45771-6d8f-5a8e-aa45-46b74262534e"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1250223210","9781250223210","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=WHAT+HAPPENED+TO+YOU%3F&author=Bruce+D.+Perry+and+Oprah+Winfrey",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1250260655","9781250260659","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250223180",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FWHAT%252BHAPPENED%252BTO%252BYOU%25253F%252FBruce%252BD.%252BPerry%252Band%252BOprah%252BWinfrey%252F9781250223180&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DWHAT%252BHAPPENED%252BTO%252BYOU%25253F%252BBruce%252BD.%252BPerry%252Band%252BOprah%252BWinfrey",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250223180&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DWHAT%2BHAPPENED%2BTO%2BYOU%253F",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250223180%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DWHAT%2BHAPPENED%2BTO%2BYOU%253F%2BBruce%2BD.%2BPerry%2Band%2BOprah%2BWinfrey%26aff%3DNYT",""
"","","","","","","","","","","","","","","2","0","1","0","0","0316296619","9780316296618","Little, Brown","A look at the key players and outcomes of precision bombing during World War II.","0.00","THE BOMBER MAFIA","Malcolm Gladwell","by Malcolm Gladwell","","https://storage.googleapis.com/du-prd/books/images/9780316296618.jpg","336","500","https://www.amazon.com/dp/0316296619?tag=NYTBSREV-20","","","","","","0316296619","9780316296618","Amazon","https://www.amazon.com/dp/0316296619?tag=NYTBSREV-20","nyt://book/3f5784a5-de9f-5f92-88b1-620859dc688c"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0316309850","9780316309851","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+BOMBER+MAFIA&author=Malcolm+Gladwell",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0316296937","9780316296939","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316296618",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1735803227","9781735803227","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBOMBER%252BMAFIA%252FMalcolm%252BGladwell%252F9780316296618&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBOMBER%252BMAFIA%252BMalcolm%252BGladwell",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316296618&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BBOMBER%2BMAFIA",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316296618%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBOMBER%2BMAFIA%2BMalcolm%2BGladwell%26aff%3DNYT",""
"","","","","","","","","","","","","","","3","0","1","0","0","0593243625","9780593243626","Random House","An anthology of writing on the Black experience and shame resilience.","0.00","YOU ARE YOUR BEST THING","edited  Tarana Burke and Brené Brown","edited by Tarana Burke and Brené Brown","edited by Tarana Burke and Brené Brown","https://storage.googleapis.com/du-prd/books/images/9780593243626.jpg","325","500","https://www.amazon.com/dp/0593243625?tag=NYTBSREV-20","","","","","","0593243625","9780593243626","Amazon","https://www.amazon.com/dp/0593243625?tag=NYTBSREV-20","nyt://book/7c217829-b3f5-54da-ad5c-13987c7ab82e"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0593243641","9780593243640","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=YOU+ARE+YOUR+BEST+THING&author=edited++Tarana+Burke+and+Bren%C3%A9+Brown",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593243626",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FYOU%252BARE%252BYOUR%252BBEST%252BTHING%252Fedited%252B%252BTarana%252BBurke%252Band%252BBren%2525C3%2525A9%252BBrown%252F9780593243626&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DYOU%252BARE%252BYOUR%252BBEST%252BTHING%252Bedited%252B%252BTarana%252BBurke%252Band%252BBren%2525C3%2525A9%252BBrown",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593243626&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DYOU%2BARE%2BYOUR%2BBEST%2BTHING",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593243626%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DYOU%2BARE%2BYOUR%2BBEST%2BTHING%2Bedited%2B%2BTarana%2BBurke%2Band%2BBren%25C3%25A9%2BBrown%26aff%3DNYT",""
"","","","","","","","","","","","","","","4","0","1","0","0","0063076195","9780063076198","Morrow","A collection of essays by the Emmy-winning actor who became a viral sensation without knowing what that phrase meant at the time.","0.00","HOW Y'ALL DOING?","Leslie Jordan","by Leslie Jordan","","https://storage.googleapis.com/du-prd/books/images/9780063076198.jpg","346","500","https://www.amazon.com/dp/0063076195?tag=NYTBSREV-20","","","","","","0063076195","9780063076198","Amazon","https://www.amazon.com/dp/0063076195?tag=NYTBSREV-20","nyt://book/1346e33f-4d78-5d29-ad5b-2f071ed96662"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0063076217","9780063076211","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=HOW+Y%27ALL+DOING%3F&author=Leslie+Jordan",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063076198",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHOW%252BY%252527ALL%252BDOING%25253F%252FLeslie%252BJordan%252F9780063076198&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHOW%252BY%252527ALL%252BDOING%25253F%252BLeslie%252BJordan",""
