,results__books__description,results__books__title,results__books__author,results__books__amazon_product_url
0,An approach to dealing with trauma that shifts an essential question used to investigate it.,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20
6,A look at the key players and outcomes of precision bombing during World War II.,THE BOMBER MAFIA,Malcolm Gladwell,https://www.amazon.com/dp/0316296619?tag=NYTBSREV-20
12,An anthology of writing on the Black experience and shame resilience.,YOU ARE YOUR BEST THING,edited  Tarana Burke and Brené Brown,https://www.amazon.com/dp/0593243625?tag=NYTBSREV-20
18,A collection of essays by the Emmy-winning actor who became a viral sensation without knowing what that phrase meant at the time.,HOW Y'ALL DOING?,Leslie Jordan,https://www.amazon.com/dp/0063076195?tag=NYTBSREV-20
24,"How trauma affects the body and mind, and innovative treatments for recovery.",THE BODY KEEPS THE SCORE,Bessel van der Kolk,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20
30,"Forty-three portraits by the former president, of men and women who have immigrated to the United States.","OUT OF MANY, ONE",George W. Bush,https://www.amazon.com/dp/0593136969?tag=NYTBSREV-20
36,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,CASTE,Isabel Wilkerson,https://www.amazon.com/dp/0593230256?tag=NYTBSREV-20
42," A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend.",NOMADLAND,Jessica Bruder,https://www.amazon.com/dp/0393356310?tag=NYTBSREV-20
48,The activist and public speaker describes her journey of listening to her inner voice.,UNTAMED,Glennon Doyle,https://www.amazon.com/dp/1984801252?tag=NYTBSREV-20
54,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.,GREENLIGHTS,Matthew McConaughey,https://www.amazon.com/dp/0593139135?tag=NYTBSREV-20
60,"The daughter of a Korean mother and Jewish-American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",CRYING IN H MART,Michelle Zauner,https://www.amazon.com/dp/0525657746?tag=NYTBSREV-20
66,"How the Nobel Prize winner Jennifer Doudna and her colleagues invented CRISPR, a tool that can edit DNA.",THE CODE BREAKER,Walter Isaacson,https://www.amazon.com/dp/1982115858?tag=NYTBSREV-20
72,"The senior senator from Minnesota suggests ways to deal with monopolies, promote business competition and encourage innovation.",ANTITRUST,Amy Klobuchar,https://www.amazon.com/dp/0525654895?tag=NYTBSREV-20
78,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,THINK AGAIN,Adam Grant,https://www.amazon.com/dp/1984878107?tag=NYTBSREV-20
84,"A portrait of the Sackler family, known for their philanthropy toward institutions around the world, and their involvement with Valium and OxyContin.",EMPIRE OF PAIN,Patrick Radden Keefe,https://www.amazon.com/dp/0385545681?tag=NYTBSREV-20
