"kind","totalItems","items__kind","items__id","items__etag","items__selfLink","items__volumeInfo__title","items__volumeInfo__subtitle","items__volumeInfo__authors__001","items__volumeInfo__publisher","items__volumeInfo__publishedDate","items__volumeInfo__description","items__volumeInfo__industryIdentifiers__type","items__volumeInfo__industryIdentifiers__identifier","items__volumeInfo__readingModes__text","items__volumeInfo__readingModes__image","items__volumeInfo__printType","items__volumeInfo__categories__-","items__volumeInfo__averageRating","items__volumeInfo__ratingsCount","items__volumeInfo__maturityRating","items__volumeInfo__allowAnonLogging","items__volumeInfo__contentVersion","items__volumeInfo__panelizationSummary__containsEpubBubbles","items__volumeInfo__panelizationSummary__containsImageBubbles","items__volumeInfo__imageLinks__smallThumbnail","items__volumeInfo__imageLinks__thumbnail","items__volumeInfo__language","items__volumeInfo__previewLink","items__volumeInfo__infoLink","items__volumeInfo__canonicalVolumeLink","items__saleInfo__country","items__saleInfo__saleability","items__saleInfo__isEbook","items__accessInfo__country","items__accessInfo__viewability","items__accessInfo__embeddable","items__accessInfo__publicDomain","items__accessInfo__textToSpeechPermission","items__accessInfo__epub__isAvailable","items__accessInfo__epub__acsTokenLink","items__accessInfo__pdf__isAvailable","items__accessInfo__webReaderLink","items__accessInfo__accessViewStatus","items__accessInfo__quoteSharingAllowed","items__searchInfo__textSnippet","items__volumeInfo__pageCount","items__saleInfo__listPrice__amount","items__saleInfo__listPrice__currencyCode","items__saleInfo__retailPrice__amount","items__saleInfo__retailPrice__currencyCode","items__saleInfo__buyLink","items__saleInfo__offers__finskyOfferType","items__saleInfo__offers__listPrice__amountInMicros","items__saleInfo__offers__listPrice__currencyCode","items__saleInfo__offers__retailPrice__amountInMicros","items__saleInfo__offers__retailPrice__currencyCode","items__saleInfo__offers__giftable","items__accessInfo__pdf__acsTokenLink","items__volumeInfo__authors__002"
"books#volumes","1","books#volume","uVMAEAAAQBAJ","8IjUEdLZbZE","https://www.googleapis.com/books/v1/volumes/uVMAEAAAQBAJ","Unsettled","What Climate Science Tells Us, What It Doesn’t, and Why It Matters","Steven E. Koonin","BenBella Books","2021-05-04","“Surging sea levels are inundating the coasts.” “Hurricanes and tornadoes are becoming fiercer and more frequent.” “Climate change will be an economic disaster.” You’ve heard all this presented as fact. But according to science, all of these statements are profoundly misleading. When it comes to climate change, the media, politicians, and other prominent voices have declared that “the science is settled.” In reality, the long game of telephone from research to reports to the popular media is corrupted by misunderstanding and misinformation. Core questions—about the way the climate is responding to our influence, and what the impacts will be—remain largely unanswered. The climate is changing, but the why and how aren’t as clear as you’ve probably been led to believe. Now, one of America’s most distinguished scientists is clearing away the fog to explain what science really says (and doesn’t say) about our changing climate. In Unsettled: What Climate Science Tells Us, What It Doesn't, and Why It Matters, Steven Koonin draws upon his decades of experience—including as a top science advisor to the Obama administration—to provide up-to-date insights and expert perspective free from political agendas. Fascinating, clear-headed, and full of surprises, this book gives readers the tools to both understand the climate issue and be savvier consumers of science media in general. Koonin takes readers behind the headlines to the more nuanced science itself, showing us where it comes from and guiding us through the implications of the evidence. He dispels popular myths and unveils little-known truths: despite a dramatic rise in greenhouse gas emissions, global temperatures actually decreased from 1940 to 1970. What’s more, the models we use to predict the future aren’t able to accurately describe the climate of the past, suggesting they are deeply flawed. Koonin also tackles society’s response to a changing climate, using data-driven analysis to explain why many proposed “solutions” would be ineffective, and discussing how alternatives like adaptation and, if necessary, geoengineering will ensure humanity continues to prosper. Unsettled is a reality check buoyed by hope, offering the truth about climate science that you aren’t getting elsewhere—what we know, what we don’t, and what it all means for our future.","ISBN_13","9781953295248","True","False","BOOK","Science","5","1","NOT_MATURE","True","0.4.4.0.preview.2","False","False","http://books.google.com/books/content?id=uVMAEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=uVMAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=uVMAEAAAQBAJ&printsec=frontcover&dq=intitle:Unsettled:+What+Climate+Science+Tells+Us,+What+It+Doesn%E2%80%99t,+and+Why+It+Matters+inauthor:Steven+E.+Koonin&hl=&cd=1&source=gbs_api","http://books.google.com/books?id=uVMAEAAAQBAJ&dq=intitle:Unsettled:+What+Climate+Science+Tells+Us,+What+It+Doesn%E2%80%99t,+and+Why+It+Matters+inauthor:Steven+E.+Koonin&hl=&source=gbs_api","https://books.google.com/books/about/Unsettled.html?hl=&id=uVMAEAAAQBAJ","US","NOT_FOR_SALE","False","US","PARTIAL","True","False","ALLOWED","True","http://books.google.com/books/download/Unsettled-sample-epub.acsm?id=uVMAEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","False","http://play.google.com/books/reader?id=uVMAEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","Fascinating, clear-headed, and full of surprises, this book gives readers the tools to both understand the climate issue and be savvier consumers of science media in general.","","","","","","","","","","","","","",""
"","","","","","","","","","","","","ISBN_10","195329524X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","NJYREAAAQBAJ","9vOJ31Vdu6A","https://www.googleapis.com/books/v1/volumes/NJYREAAAQBAJ","Tears of the Silenced","An Amish True Crime Memoir of Childhood Sexual Abuse, Brutal Betrayal, and Ultimate Survival","Misty Griffin","Mango Media Inc.","2018-09-15","A “stunningly written memoir” that takes you on the journey of a child abuse and sexual assault survivor turned activist. Photo Gallery included (Medium). A #1 Bestseller in Cults & Demonism and Parenting & Relationships When Misty Griffin was six years old, her family started to live and dress like the Amish. Misty and her sister were kept as slaves on a mountain ranch and subjected to almost complete isolation, sexual abuse, and extreme physical violence. Their stepfather kept a loaded rifle by the door to make sure the young girls were too terrified to try to escape. No rescue would ever come since the few people who knew they existed did not care. When Misty reached her teens, her parents feared she and her sister would escape and took them to an Amish community. Devastated to again find herself in a world of fear, cruelty, and abuse, Misty was sexually assaulted by the bishop. After she escaped and reported the bishop, she found herself alone in a modern world with only a second-grade education and no ID or social security card. Misty has a message for abuse survivors: “Please be encouraged, the cycle of abuse can be broken. This is my story of survival and moving past the abuse to embrace my dreams.” In June 2019 Misty graduated nursing school. She continues to work to raise awareness about child abuse and sexual assault. “A testament to the courage, fortitude and power of one young woman to take back her life.” —Becca Anderson, author of The Book of Awesome Women","ISBN_13","9781633539327","True","True","BOOK","True Crime","4","6","NOT_MATURE","True","preview-1.0.0","False","False","http://books.google.com/books/content?id=NJYREAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=NJYREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=NJYREAAAQBAJ&printsec=frontcover&dq=intitle:Tears+of+the+Silenced:+An+Amish+True+Crime+Memoir+of+Childhood+Sexual+Abuse,+Brutal+Betrayal,+and+Ultimate+Survival+inauthor:Misty+Griffin&hl=&cd=1&source=gbs_api","https://play.google.com/store/books/details?id=NJYREAAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=NJYREAAAQBAJ","US","FOR_SALE","True","US","PARTIAL","True","False","ALLOWED","True","http://books.google.com/books/download/Tears_of_the_Silenced-sample-epub.acsm?id=NJYREAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://play.google.com/books/reader?id=NJYREAAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","Misty has a message for abuse survivors: “Please be encouraged, the cycle of abuse can be broken. This is my story of survival and moving past the abuse to embrace my dreams.” In June 2019 Misty graduated nursing school.","332","16.99","USD","16.99","USD","https://play.google.com/store/books/details?id=NJYREAAAQBAJ&rdid=book-NJYREAAAQBAJ&rdot=1&source=gbs_api","1","16990000","USD","16990000","USD","True","http://books.google.com/books/download/Tears_of_the_Silenced-sample-pdf.acsm?id=NJYREAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api",""
"","","","","","","","","","","","","ISBN_10","1633539326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","QttnzgEACAAJ","AtObtIVOuwI","https://www.googleapis.com/books/v1/volumes/QttnzgEACAAJ","Writing the Rules","A Fake Dating, Sports Romance","Mariah Dietz","","2021-04-21","Poppy Anderson was nailing her sophomore year at Brighton University. She liked her classes, had the greatest best friend, and was finally ready to start dating again. Or she was ... until her ex, Mike, transferred to Brighton and started exchanging long stares and inside jokes that Poppy thought he'd forgotten.Paxton Lawson was long ago labeled 'The Golden Boy.' Starting quarterback and team captain at Brighton University, his future was brighter than the sun until a short path of indiscretions tarnished his name and potentially his future. When he learns that his sister's best friend, Poppy, has backed herself into a corner and is facing as many doubts and uncertainties as he is, Paxton suggests the biggest ruse of the year: a fake relationship.Writing the rules was supposed to make things clear, defined, and definite. Only, their relationship becomes increasingly complex as the lines are blurred, days become weeks, and kisses for show begin to feel like confessions.Can lies lead to truths? And what happens when the rules they wrote begin to expire?One lie, Two hearts, And fifteen years of friendship are about to be put to the ultimate test.Writing the Rules is a complete standalone and can be read independently, but is book 6 in The Dating Playbook serie","ISBN_13","9798740801957","False","False","BOOK","","","","NOT_MATURE","False","preview-1.0.0","False","False","http://books.google.com/books/content?id=QttnzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=QttnzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=QttnzgEACAAJ&dq=intitle:Writing+the+Rules:+A+Fake+Dating+Standalone+inauthor:Mariah+Dietz&hl=&cd=1&source=gbs_api","http://books.google.com/books?id=QttnzgEACAAJ&dq=intitle:Writing+the+Rules:+A+Fake+Dating+Standalone+inauthor:Mariah+Dietz&hl=&source=gbs_api","https://books.google.com/books/about/Writing_the_Rules.html?hl=&id=QttnzgEACAAJ","US","NOT_FOR_SALE","False","US","NO_PAGES","False","False","ALLOWED","False","","False","http://play.google.com/books/reader?id=QttnzgEACAAJ&hl=&printsec=frontcover&source=gbs_api","NONE","False","And what happens when the rules they wrote begin to expire?One lie, Two hearts, And fifteen years of friendship are about to be put to the ultimate test.Writing the Rules is a complete standalone and can be read independently, but is book 6 ...","370","","","","","","","","","","","","",""
"books#volumes","1","books#volume","f_D3DwAAQBAJ","ZFID0ECSF7M","https://www.googleapis.com/books/v1/volumes/f_D3DwAAQBAJ","The Code Breaker","Jennifer Doudna, Gene Editing, and the Future of the Human Race","Walter Isaacson","Simon and Schuster","2021-03-09","The bestselling author of Leonardo da Vinci and Steve Jobs returns with a gripping account of how Nobel Prize winner Jennifer Doudna and her colleagues launched a revolution that will allow us to cure diseases, fend off viruses, and have healthier babies. When Jennifer Doudna was in sixth grade, she came home one day to find that her dad had left a paperback titled The Double Helix on her bed. She put it aside, thinking it was one of those detective tales she loved. When she read it on a rainy Saturday, she discovered she was right, in a way. As she sped through the pages, she became enthralled by the intense drama behind the competition to discover the code of life. Even though her high school counselor told her girls didn’t become scientists, she decided she would. Driven by a passion to understand how nature works and to turn discoveries into inventions, she would help to make what the book’s author, James Watson, told her was the most important biological advance since his co-discovery of the structure of DNA. She and her collaborators turned ​a curiosity ​of nature into an invention that will transform the human race: an easy-to-use tool that can edit DNA. Known as CRISPR, it opened a brave new world of medical miracles and moral questions. The development of CRISPR and the race to create vaccines for coronavirus will hasten our transition to the next great innovation revolution. The past half-century has been a digital age, based on the microchip, computer, and internet. Now we are entering a life-science revolution. Children who study digital coding will be joined by those who study genetic code. Should we use our new evolution-hacking powers to make us less susceptible to viruses? What a wonderful boon that would be! And what about preventing depression? Hmmm…Should we allow parents, if they can afford it, to enhance the height or muscles or IQ of their kids? After helping to discover CRISPR, Doudna became a leader in wrestling with these moral issues and, with her collaborator Emmanuelle Charpentier, won the Nobel Prize in 2020. Her story is a thrilling detective tale that involves the most profound wonders of nature, from the origins of life to the future of our species.","ISBN_13","9781982115876","True","False","BOOK","Biography & Autobiography","5","1","NOT_MATURE","True","2.4.4.0.preview.2","False","False","http://books.google.com/books/content?id=f_D3DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=f_D3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=f_D3DwAAQBAJ&pg=PR1&dq=intitle:The+Code+Breaker:+Jennifer+Doudna,+Gene+Editing,+and+the+Future+of+the+Human+Race+inauthor:Walter+Isaacson&hl=&cd=1&source=gbs_api","https://play.google.com/store/books/details?id=f_D3DwAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=f_D3DwAAQBAJ","US","FOR_SALE","True","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","True","http://books.google.com/books/download/The_Code_Breaker-sample-epub.acsm?id=f_D3DwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","False","http://play.google.com/books/reader?id=f_D3DwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","The bestselling author of Leonardo da Vinci and Steve Jobs returns with a gripping account of how Nobel Prize winner Jennifer Doudna and her colleagues launched a revolution that will allow us to cure diseases, fend off viruses, and have ...","560","16.99","USD","16.99","USD","https://play.google.com/store/books/details?id=f_D3DwAAQBAJ&rdid=book-f_D3DwAAQBAJ&rdot=1&source=gbs_api","1","16990000","USD","16990000","USD","True","",""
"","","","","","","","","","","","","ISBN_10","1982115874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","t1LXDwAAQBAJ","rcTp/GoZE0w","https://www.googleapis.com/books/v1/volumes/t1LXDwAAQBAJ","The Art of Gathering","How We Meet and Why It Matters","Priya Parker","Riverhead Books","2020-04-14","""Hosts of all kinds, this is a must-read!"" --Chris Anderson, owner and curator of TED From the host of the New York Times podcast Together Apart, an exciting new approach to how we gather that will transform the ways we spend our time together--at home, at work, in our communities, and beyond. In The Art of Gathering, Priya Parker argues that the gatherings in our lives are lackluster and unproductive--which they don't have to be. We rely too much on routine and the conventions of gatherings when we should focus on distinctiveness and the people involved. At a time when coming together is more important than ever, Parker sets forth a human-centered approach to gathering that will help everyone create meaningful, memorable experiences, large and small, for work and for play. Drawing on her expertise as a facilitator of high-powered gatherings around the world, Parker takes us inside events of all kinds to show what works, what doesn't, and why. She investigates a wide array of gatherings--conferences, meetings, a courtroom, a flash-mob party, an Arab-Israeli summer camp--and explains how simple, specific changes can invigorate any group experience. The result is a book that's both journey and guide, full of exciting ideas with real-world applications. The Art of Gathering will forever alter the way you look at your next meeting, industry conference, dinner party, and backyard barbecue--and how you host and attend them.","ISBN_13","9781594634932","False","False","BOOK","Business & Economics","5","1","NOT_MATURE","False","preview-1.0.0","False","False","http://books.google.com/books/content?id=t1LXDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=t1LXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=t1LXDwAAQBAJ&pg=PP1&dq=intitle:The+Art+of+Gathering:+How+We+Meet+and+Why+It+Matters+inauthor:Priya+Parker&hl=&cd=1&source=gbs_api","http://books.google.com/books?id=t1LXDwAAQBAJ&dq=intitle:The+Art+of+Gathering:+How+We+Meet+and+Why+It+Matters+inauthor:Priya+Parker&hl=&source=gbs_api","https://books.google.com/books/about/The_Art_of_Gathering.html?hl=&id=t1LXDwAAQBAJ","US","NOT_FOR_SALE","False","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","False","","False","http://play.google.com/books/reader?id=t1LXDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","&quot;Hosts of all kinds, this is a must-read!","320","","","","","","","","","","","","",""
"","","","","","","","","","","","","ISBN_10","1594634939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","fePcDwAAQBAJ","//6EeH6IpTE","https://www.googleapis.com/books/v1/volumes/fePcDwAAQBAJ","The Happiest Man on Earth","","Eddie Jaku","Macmillan Publishers Aus.","2020-07-28","Life can be beautiful if you make it beautiful. It is up to you. Eddie Jaku always considered himself a German first, a Jew second. He was proud of his country. But all of that changed on 9 November 1938, when he was beaten, arrested and taken to a concentration camp. Over the next seven years, Eddie faced unimaginable horrors every day, first in Buchenwald, then in Auschwitz, then on the Nazi death march. He lost family, friends, his country. Because he survived, Eddie made the vow to smile every day. He pays tribute to those who were lost by telling his story, sharing his wisdom and living his best possible life. He now believes he is the 'happiest man on earth'. Published as Eddie turns 100, this is a powerful, heartbreaking and ultimately hopeful memoir of how happiness can be found even in the darkest of times. Praise for The Happiest Man on Earth 'This simple, moving account of a remarkable life offers plenty to think about and reflect on . . . Highly recommended.' Canberra Weekly 'I have never met Eddie Jaku, but having read his book I feel like I have made a new friend . . . This is a beautiful book by a truly amazing man.' Daily Telegraph 'A reminder of the power of love, kindness and hope . . . A life-affirming story, beautifully told.' Sydney Morning Herald 'Jaku's memoir can be our private celebration of evil that was ultimately vanquished.' Country Style 'His tale is compelling and particularly pertinent as we struggle to make sense of challenging times.' Weekend Post 'He acknowledges suffering but resists being defined by it, adhering instead to his philosophy of choosing a radical form of humanity, a resistance both potent and infectious.' Australian Book Review 'What an amazing, beautiful human' Magda Szubanski 'A beautiful soul' Lisa Wilkinson 'Eddie is a human diamond, and his story of survival, hope and the importance of kindness is what the world needs now.' Zoë Foster Blake","ISBN_13","9781760982379","True","True","BOOK","Biography & Autobiography","5","3","NOT_MATURE","True","1.11.10.0.preview.3","False","False","http://books.google.com/books/content?id=fePcDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=fePcDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=fePcDwAAQBAJ&printsec=frontcover&dq=intitle:The+Happiest+Man+on+Earth:+The+Beautiful+Life+of+an+Auschwitz+Survivor+inauthor:Eddie+Jaku&hl=&cd=1&source=gbs_api","http://books.google.com/books?id=fePcDwAAQBAJ&dq=intitle:The+Happiest+Man+on+Earth:+The+Beautiful+Life+of+an+Auschwitz+Survivor+inauthor:Eddie+Jaku&hl=&source=gbs_api","https://books.google.com/books/about/The_Happiest_Man_on_Earth.html?hl=&id=fePcDwAAQBAJ","US","NOT_FOR_SALE","False","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","True","http://books.google.com/books/download/The_Happiest_Man_on_Earth-sample-epub.acsm?id=fePcDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://play.google.com/books/reader?id=fePcDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False",". . Highly recommended.&#39; Canberra Weekly &#39;I have never met Eddie Jaku, but having read his book I feel like I have made a new friend . . . This is a beautiful book by a truly amazing man.","300","","","","","","","","","","","","http://books.google.com/books/download/The_Happiest_Man_on_Earth-sample-pdf.acsm?id=fePcDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api",""
