"kind","totalItems","items__kind","items__id","items__etag","items__selfLink","items__volumeInfo__title","items__volumeInfo__subtitle","items__volumeInfo__authors__001","items__volumeInfo__publishedDate","items__volumeInfo__description","items__volumeInfo__industryIdentifiers__type","items__volumeInfo__industryIdentifiers__identifier","items__volumeInfo__readingModes__text","items__volumeInfo__readingModes__image","items__volumeInfo__pageCount","items__volumeInfo__printType","items__volumeInfo__categories__-","items__volumeInfo__averageRating","items__volumeInfo__ratingsCount","items__volumeInfo__maturityRating","items__volumeInfo__allowAnonLogging","items__volumeInfo__contentVersion","items__volumeInfo__panelizationSummary__containsEpubBubbles","items__volumeInfo__panelizationSummary__containsImageBubbles","items__volumeInfo__imageLinks__smallThumbnail","items__volumeInfo__imageLinks__thumbnail","items__volumeInfo__language","items__volumeInfo__previewLink","items__volumeInfo__infoLink","items__volumeInfo__canonicalVolumeLink","items__saleInfo__country","items__saleInfo__saleability","items__saleInfo__isEbook","items__accessInfo__country","items__accessInfo__viewability","items__accessInfo__embeddable","items__accessInfo__publicDomain","items__accessInfo__textToSpeechPermission","items__accessInfo__epub__isAvailable","items__accessInfo__pdf__isAvailable","items__accessInfo__webReaderLink","items__accessInfo__accessViewStatus","items__accessInfo__quoteSharingAllowed","items__searchInfo__textSnippet","items__volumeInfo__publisher","items__saleInfo__listPrice__amount","items__saleInfo__listPrice__currencyCode","items__saleInfo__retailPrice__amount","items__saleInfo__retailPrice__currencyCode","items__saleInfo__buyLink","items__saleInfo__offers__finskyOfferType","items__saleInfo__offers__listPrice__amountInMicros","items__saleInfo__offers__listPrice__currencyCode","items__saleInfo__offers__retailPrice__amountInMicros","items__saleInfo__offers__retailPrice__currencyCode","items__saleInfo__offers__giftable","items__accessInfo__epub__acsTokenLink","items__volumeInfo__authors__002"
"books#volumes","1","books#volume","UhkSEAAAQBAJ","1sy1SdI4Le8","https://www.googleapis.com/books/v1/volumes/UhkSEAAAQBAJ","Think Again","The Power of Knowing what You Don't Know","Adam Grant","2021","Examines the critical art of rethinking: learning to question your beliefs and to know what you don't know, which can position you for success at work and happiness at home. It is a book about the benefit of doubt, and about how we can get better at embracing the unknown and the joy of being wrong","ISBN_13","9781984878106","False","False","320","BOOK","Business & Economics","4","2","NOT_MATURE","False","0.2.0.0.preview.0","False","False","http://books.google.com/books/content?id=UhkSEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=UhkSEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=UhkSEAAAQBAJ&pg=PP1&dq=intitle:THINK+AGAIN+inauthor:Adam+Grant&hl=&cd=1&source=gbs_api","http://books.google.com/books?id=UhkSEAAAQBAJ&dq=intitle:THINK+AGAIN+inauthor:Adam+Grant&hl=&source=gbs_api","https://books.google.com/books/about/Think_Again.html?hl=&id=UhkSEAAAQBAJ","US","NOT_FOR_SALE","False","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","False","False","http://play.google.com/books/reader?id=UhkSEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","Examines the critical art of rethinking: learning to question your beliefs and to know what you don&#39;t know, which can position you for success at work and happiness at home.","","","","","","","","","","","","","",""
"","","","","","","","","","","","ISBN_10","1984878107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","sULYDwAAQBAJ","HRHd2U7X8lg","https://www.googleapis.com/books/v1/volumes/sULYDwAAQBAJ","Greenlights","","Matthew McConaughey","2020-10-20","From the Academy Award®–winning actor, an unconventional memoir filled with raucous stories, outlaw wisdom, and lessons learned the hard way about living with greater satisfaction “Unflinchingly honest and remarkably candid, Matthew McConaughey’s book invites us to grapple with the lessons of his life as he did—and to see that the point was never to win, but to understand.”—Mark Manson, author of The Subtle Art of Not Giving a F*ck I’ve been in this life for fifty years, been trying to work out its riddle for forty-two, and been keeping diaries of clues to that riddle for the last thirty-five. Notes about successes and failures, joys and sorrows, things that made me marvel, and things that made me laugh out loud. How to be fair. How to have less stress. How to have fun. How to hurt people less. How to get hurt less. How to be a good man. How to have meaning in life. How to be more me. Recently, I worked up the courage to sit down with those diaries. I found stories I experienced, lessons I learned and forgot, poems, prayers, prescriptions, beliefs about what matters, some great photographs, and a whole bunch of bumper stickers. I found a reliable theme, an approach to living that gave me more satisfaction, at the time, and still: If you know how, and when, to deal with life’s challenges—how to get relative with the inevitable—you can enjoy a state of success I call “catching greenlights.” So I took a one-way ticket to the desert and wrote this book: an album, a record, a story of my life so far. This is fifty years of my sights and seens, felts and figured-outs, cools and shamefuls. Graces, truths, and beauties of brutality. Getting away withs, getting caughts, and getting wets while trying to dance between the raindrops. Hopefully, it’s medicine that tastes good, a couple of aspirin instead of the infirmary, a spaceship to Mars without needing your pilot’s license, going to church without having to be born again, and laughing through the tears. It’s a love letter. To life. It’s also a guide to catching more greenlights—and to realizing that the yellows and reds eventually turn green too. Good luck.","ISBN_13","9780593139141","True","False","304","BOOK","Biography & Autobiography","4","8","NOT_MATURE","True","2.6.6.0.preview.2","False","False","http://books.google.com/books/content?id=sULYDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=sULYDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=sULYDwAAQBAJ&pg=PP1&dq=intitle:GREENLIGHTS+inauthor:Matthew+McConaughey&hl=&cd=1&source=gbs_api","https://play.google.com/store/books/details?id=sULYDwAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=sULYDwAAQBAJ","US","FOR_SALE","True","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","True","False","http://play.google.com/books/reader?id=sULYDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","I found a reliable theme, an approach to living that gave me more satisfaction, at the time, and still: If you know how, and when, to deal with life’s challenges—how to get relative with the inevitable—you can enjoy a state of success ...","Crown","14.99","USD","14.99","USD","https://play.google.com/store/books/details?id=sULYDwAAQBAJ&rdid=book-sULYDwAAQBAJ&rdot=1&source=gbs_api","1","14990000","USD","14990000","USD","True","http://books.google.com/books/download/Greenlights-sample-epub.acsm?id=sULYDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api",""
"","","","","","","","","","","","ISBN_10","0593139143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","kRjzDwAAQBAJ","jJr2ybWsNb4","https://www.googleapis.com/books/v1/volumes/kRjzDwAAQBAJ","Crying in H Mart","A Memoir","Michelle Zauner","2021-04-20","From the indie rockstar of Japanese Breakfast fame, and author of the viral 2018 New Yorker essay that shares the title of this book, an unflinching, powerful memoir about growing up Korean American, losing her mother, and forging her own identity. In this exquisite story of family, food, grief, and endurance, Michelle Zauner proves herself far more than a dazzling singer, songwriter, and guitarist. With humor and heart, she tells of growing up one of the few Asian American kids at her school in Eugene, Oregon; of struggling with her mother's particular, high expectations of her; of a painful adolescence; of treasured months spent in her grandmother's tiny apartment in Seoul, where she and her mother would bond, late at night, over heaping plates of food. As she grew up, moving to the East Coast for college, finding work in the restaurant industry, and performing gigs with her fledgling band--and meeting the man who would become her husband--her Koreanness began to feel ever more distant, even as she found the life she wanted to live. It was her mother's diagnosis of terminal cancer, when Michelle was twenty-five, that forced a reckoning with her identity and brought her to reclaim the gifts of taste, language, and history her mother had given her. Vivacious and plainspoken, lyrical and honest, Zauner's voice is as radiantly alive on the page as it is onstage. Rich with intimate anecdotes that will resonate widely, and complete with family photos, Crying in H Mart is a book to cherish, share, and reread.","ISBN_13","9780525657750","True","False","256","BOOK","Biography & Autobiography","5","1","NOT_MATURE","True","1.1.1.0.preview.2","False","False","http://books.google.com/books/content?id=kRjzDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=kRjzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=kRjzDwAAQBAJ&printsec=frontcover&dq=intitle:CRYING+IN+H+MART+inauthor:Michelle+Zauner&hl=&cd=1&source=gbs_api","https://play.google.com/store/books/details?id=kRjzDwAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=kRjzDwAAQBAJ","US","FOR_SALE","True","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","True","False","http://play.google.com/books/reader?id=kRjzDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","INSTANT NEW YORK TIMES BEST SELLER Named a Best Book of April 2021 by • AV Club • Bustle • Entertainment Weekly • Good Morning America • Chicago Review of Books • Fortune • TIME • CNN Underscored • Apartment Therapy • ...","Knopf","13.99","USD","13.99","USD","https://play.google.com/store/books/details?id=kRjzDwAAQBAJ&rdid=book-kRjzDwAAQBAJ&rdot=1&source=gbs_api","1","13990000","USD","13990000","USD","True","http://books.google.com/books/download/Crying_in_H_Mart-sample-epub.acsm?id=kRjzDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api",""
"","","","","","","","","","","","ISBN_10","0525657754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","6On8DwAAQBAJ","0fC9UmDN00E","https://www.googleapis.com/books/v1/volumes/6On8DwAAQBAJ","How Y'all Doing?","Misadventures and Mischief from a Life Well Lived","Leslie Jordan","2021-04-27","Viral sensation and Emmy Award-winner Leslie Jordan regales fans with entertaining stories about the odd, funny, and unforgettable events in his life in this unmissable essay collection that echoes his droll, irreverent voice. When actor Leslie Jordan learned he had “gone viral,” he had no idea what that meant or how much his life was about to change. On Instagram, his uproarious videos have entertained millions and have made him a global celebrity. Now, he brings his bon vivance to the page with this collection of intimate and sassy essays. Bursting with color and life, dripping with his puckish Southern charm, How Y’all Doing? is Leslie doing what Leslie does best: telling stories that make us laugh and lift our spirits even in the darkest days. Whether he’s writing about his brush with a group of ruffians in a West Hollywood Starbucks, or an unexpected phone call from legendary Hollywood start Debbie Reynolds, Leslie infuses each story with his fresh and saucy humor and pure heart. How Y’all Doing? is an authentic, warm, and joyful portrait of an American Sweetheart— a Southern Baptist celebutante, first-rate raconteur, and keen observer of the odd side of life whose quirky wit rivals the likes of Amy Sedaris, Jenny Lawson, David Rakoff, and Sarah Vowell.","ISBN_13","9780063076211","True","False","208","BOOK","Humor","","","NOT_MATURE","True","1.1.1.0.preview.2","False","False","http://books.google.com/books/content?id=6On8DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=6On8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=6On8DwAAQBAJ&pg=PT1&dq=intitle:HOW+Y%27ALL+DOING%3F+inauthor:Leslie+Jordan&hl=&cd=1&source=gbs_api","https://play.google.com/store/books/details?id=6On8DwAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=6On8DwAAQBAJ","US","FOR_SALE","True","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","True","False","http://play.google.com/books/reader?id=6On8DwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","Misadventures and Mischief from a Life Well Lived Leslie <b>Jordan</b>. Contents Cover <br>\nTitle Page How <b>Y&#39;all Doing</b>? The Time Debbie Reynolds Called My Mother <br>\nAmerican Horror Storytime The Short Journey Warhol Capote Not in My House&nbsp;...","HarperCollins","14.99","USD","14.99","USD","https://play.google.com/store/books/details?id=6On8DwAAQBAJ&rdid=book-6On8DwAAQBAJ&rdot=1&source=gbs_api","1","14990000","USD","14990000","USD","True","http://books.google.com/books/download/How_Y_all_Doing-sample-epub.acsm?id=6On8DwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api",""
"","","","","","","","","","","","ISBN_10","0063076217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"books#volumes","1","books#volume","Qb4IEAAAQBAJ","fywJylZgKfk","https://www.googleapis.com/books/v1/volumes/Qb4IEAAAQBAJ","Empire of Pain","The Secret History of the Sackler Dynasty","Patrick Radden Keefe","2021-04-13","A grand, devastating portrait of three generations of the Sackler family, famed for their philanthropy, whose fortune was built by Valium and whose reputation was destroyed by OxyContin, by the prize-winning, bestselling author of Say Nothing The Sackler name adorns the walls of many storied institutions—Harvard, the Metropolitan Museum of Art, Oxford, the Louvre. They are one of the richest families in the world, known for their lavish donations to the arts and the sciences. The source of the family fortune was vague, however, until it emerged that the Sacklers were responsible for making and marketing a blockbuster painkiller that was the catalyst for the opioid crisis. Empire of Pain begins with the story of three doctor brothers, Raymond, Mortimer and the incalculably energetic Arthur, who weathered the poverty of the Great Depression and appalling anti-Semitism. Working at a barbaric mental institution, Arthur saw a better way and conducted groundbreaking research into drug treatments. He also had a genius for marketing, especially for pharmaceuticals, and bought a small ad firm. Arthur devised the marketing for Valium, and built the first great Sackler fortune. He purchased a drug manufacturer, Purdue Frederick, which would be run by Raymond and Mortimer. The brothers began collecting art, and wives, and grand residences in exotic locales. Their children and grandchildren grew up in luxury. Forty years later, Raymond’s son Richard ran the family-owned Purdue. The template Arthur Sackler created to sell Valium—co-opting doctors, influencing the FDA, downplaying the drug’s addictiveness—was employed to launch a far more potent product: OxyContin. The drug went on to generate some thirty-five billion dollars in revenue, and to launch a public health crisis in which hundreds of thousands would die. This is the saga of three generations of a single family and the mark they would leave on the world, a tale that moves from the bustling streets of early twentieth-century Brooklyn to the seaside palaces of Greenwich, Connecticut, and Cap d’Antibes to the corridors of power in Washington, D.C. Empire of Pain chronicles the multiple investigations of the Sacklers and their company, and the scorched-earth legal tactics that the family has used to evade accountability. The history of the Sackler dynasty is rife with drama—baroque personal lives; bitter disputes over estates; fistfights in boardrooms; glittering art collections; Machiavellian courtroom maneuvers; and the calculated use of money to burnish reputations and crush the less powerful. Empire of Pain is a masterpiece of narrative reporting and writing, exhaustively documented and ferociously compelling. It is a portrait of the excesses of America’s second Gilded Age, a study of impunity among the super elite and a relentless investigation of the naked greed and indifference to human suffering that built one of the world’s great fortunes.","ISBN_13","9780385545693","True","False","560","BOOK","Biography & Autobiography","5","1","NOT_MATURE","True","1.3.3.0.preview.2","False","False","http://books.google.com/books/content?id=Qb4IEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=Qb4IEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=Qb4IEAAAQBAJ&printsec=frontcover&dq=intitle:EMPIRE+OF+PAIN+inauthor:Patrick+Radden+Keefe&hl=&cd=1&source=gbs_api","https://play.google.com/store/books/details?id=Qb4IEAAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=Qb4IEAAAQBAJ","US","FOR_SALE","True","US","PARTIAL","True","False","ALLOWED_FOR_ACCESSIBILITY","True","False","http://play.google.com/books/reader?id=Qb4IEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api","SAMPLE","False","This is the saga of three generations of a single family and the mark they would leave on the world, a tale that moves from the bustling streets of early twentieth-century Brooklyn to the seaside palaces of Greenwich, Connecticut, and Cap ...","Doubleday","15.99","USD","15.99","USD","https://play.google.com/store/books/details?id=Qb4IEAAAQBAJ&rdid=book-Qb4IEAAAQBAJ&rdot=1&source=gbs_api","1","15990000","USD","15990000","USD","True","http://books.google.com/books/download/Empire_of_Pain-sample-epub.acsm?id=Qb4IEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api",""
"","","","","","","","","","","","ISBN_10","038554569X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
