Book Name,Author,Rating,Customers_Rated,Price,Link
The Premonition: A Pandemic Story,Michael Lewis,4.5 out of 5 stars,356,$9.18 ,/Premonition-Pandemic-Story-Michael-Lewis-ebook/dp/B08V91YY8R/ref=zg_bs_157325011_1/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Swagger: Unleash Everything You Are and Become Everything You Want,Leslie Ehm,4.4 out of 5 stars,3,$0.99 ,/Swagger-Unleash-Everything-Become-Want-ebook/dp/B08SKKC96H/ref=zg_bs_157325011_2/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5 out of 5 stars,272,$14.99 ,/Killing-Mob-Against-Organized-OReillys-ebook/dp/B08MYNBDXW/ref=zg_bs_157325011_3/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"""The Good War"": An Oral History of World War II",Studs Terkel,4.5 out of 5 stars,353,$1.99 ,/Good-War-Oral-History-World-ebook/dp/B005LXC99G/ref=zg_bs_157325011_4/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Nancy Silverton's Pastries from the La Brea Bakery: A Baking Book,Nancy Silverton,4.3 out of 5 stars,70,$1.99 ,/Nancy-Silvertons-Pastries-Brea-Bakery-ebook/dp/B00C0AM0WE/ref=zg_bs_157325011_5/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
The Wrecking Crew: The Inside Story of Rock and Roll's Best-Kept Secret,Kent Hartman,4.6 out of 5 stars,773,$1.99 ,/Wrecking-Crew-Inside-Best-Kept-Secret-ebook/dp/B005XMMMRY/ref=zg_bs_157325011_6/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
The Happiest Man on Earth: The Beautiful Life of an Auschwitz Survivor,Eddie Jaku,4.7 out of 5 stars,"2,516",$12.99 ,/Happiest-Man-Earth-Beautiful-Auschwitz-ebook/dp/B08LVS5Q9K/ref=zg_bs_157325011_7/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"My Kind of Happy: The new feel-good, funny novel from the Sunday Times bestseller",Cathy Bramley,4.6 out of 5 stars,414,$0.99 ,/My-Kind-Happy-Cathy-Bramley-ebook/dp/B088G183CP/ref=zg_bs_157325011_8/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.4 out of 5 stars,"32,112",$4.99 ,/If-You-Tell-Unbreakable-Sisterhood-ebook/dp/B07Q5TL9SQ/ref=zg_bs_157325011_9/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Clean: The New Science of Skin,James Hamblin,4.5 out of 5 stars,513,$2.99 ,/Clean-Science-Skin-James-Hamblin-ebook/dp/B081M5SSJ2/ref=zg_bs_157325011_10/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
